=> Trial Start: ['betweenness']

=> Split: 0 | Features: ['betweenness']
=> Epoch 000 | Train: 1.3260 (Easy: 0.9693, Hard: 1.6599) | Val: 1.0832 (Easy: 0.7372, Hard: 1.4162) | LR: 0.001000
=> Epoch 001 | Train: 1.1676 (Easy: 0.7682, Hard: 1.5515) | Val: 1.0132 (Easy: 0.7045, Hard: 1.2983) | LR: 0.001000
=> Epoch 002 | Train: 1.1143 (Easy: 0.7438, Hard: 1.4837) | Val: 1.0041 (Easy: 0.6906, Hard: 1.2903) | LR: 0.001000
=> Epoch 003 | Train: 1.1007 (Easy: 0.7177, Hard: 1.4857) | Val: 1.0026 (Easy: 0.6840, Hard: 1.2930) | LR: 0.001000
=> Epoch 004 | Train: 1.0955 (Easy: 0.7106, Hard: 1.4773) | Val: 1.0025 (Easy: 0.6816, Hard: 1.2951) | LR: 0.001000
=> Epoch 005 | Train: 1.0780 (Easy: 0.7009, Hard: 1.4517) | Val: 1.0035 (Easy: 0.6798, Hard: 1.2995) | LR: 0.001000
=> Epoch 006 | Train: 1.0861 (Easy: 0.6977, Hard: 1.4744) | Val: 1.0045 (Easy: 0.6779, Hard: 1.3038) | LR: 0.001000
=> Epoch 007 | Train: 1.0861 (Easy: 0.6934, Hard: 1.4786) | Val: 1.0029 (Easy: 0.6768, Hard: 1.3013) | LR: 0.001000
=> Epoch 008 | Train: 1.0856 (Easy: 0.6988, Hard: 1.4706) | Val: 1.0026 (Easy: 0.6752, Hard: 1.3026) | LR: 0.001000
=> Epoch 009 | Train: 1.0790 (Easy: 0.6952, Hard: 1.4603) | Val: 1.0029 (Easy: 0.6748, Hard: 1.3039) | LR: 0.001000
=> Epoch 010 | Train: 1.0806 (Easy: 0.6940, Hard: 1.4631) | Val: 1.0026 (Easy: 0.6742, Hard: 1.3035) | LR: 0.001000
=> Epoch 011 | Train: 1.0714 (Easy: 0.6864, Hard: 1.4536) | Val: 1.0034 (Easy: 0.6733, Hard: 1.3058) | LR: 0.001000
=> Epoch 012 | Train: 1.0749 (Easy: 0.6912, Hard: 1.4547) | Val: 1.0027 (Easy: 0.6732, Hard: 1.3047) | LR: 0.001000
=> Epoch 013 | Train: 1.0736 (Easy: 0.6834, Hard: 1.4554) | Val: 1.0029 (Easy: 0.6731, Hard: 1.3049) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 014 | Train: 1.0751 (Easy: 0.6791, Hard: 1.4630) | Val: 1.0017 (Easy: 0.6750, Hard: 1.3040) | LR: 0.000500
=> Epoch 015 | Train: 1.0655 (Easy: 0.6831, Hard: 1.4392) | Val: 1.0017 (Easy: 0.6727, Hard: 1.3054) | LR: 0.000500
=> Epoch 016 | Train: 1.0631 (Easy: 0.6758, Hard: 1.4391) | Val: 1.0030 (Easy: 0.6735, Hard: 1.3080) | LR: 0.000500
=> Epoch 017 | Train: 1.0663 (Easy: 0.6790, Hard: 1.4431) | Val: 1.0026 (Easy: 0.6738, Hard: 1.3068) | LR: 0.000500
=> Epoch 018 | Train: 1.0684 (Easy: 0.6806, Hard: 1.4478) | Val: 1.0034 (Easy: 0.6729, Hard: 1.3102) | LR: 0.000500
=> Epoch 019 | Train: 1.0594 (Easy: 0.6779, Hard: 1.4270) | Val: 1.0036 (Easy: 0.6735, Hard: 1.3101) | LR: 0.000500
=> Epoch 020 | Train: 1.0610 (Easy: 0.6786, Hard: 1.4335) | Val: 1.0039 (Easy: 0.6728, Hard: 1.3110) | LR: 0.000500
=> Epoch 021 | Train: 1.0654 (Easy: 0.6729, Hard: 1.4453) | Val: 1.0056 (Easy: 0.6729, Hard: 1.3149) | LR: 0.000500
=> Epoch 022 | Train: 1.0606 (Easy: 0.6734, Hard: 1.4390) | Val: 1.0042 (Easy: 0.6726, Hard: 1.3124) | LR: 0.000500
=> Epoch 023 | Train: 1.0635 (Easy: 0.6790, Hard: 1.4365) | Val: 1.0050 (Easy: 0.6726, Hard: 1.3140) | LR: 0.000500
=> Epoch 024 | Train: 1.0608 (Easy: 0.6706, Hard: 1.4401) | Val: 1.0049 (Easy: 0.6730, Hard: 1.3137) | LR: 0.000500
=> LR reduced: 0.000500 -> 0.000250
=> Epoch 025 | Train: 1.0588 (Easy: 0.6686, Hard: 1.4372) | Val: 1.0052 (Easy: 0.6736, Hard: 1.3138) | LR: 0.000250
=> Epoch 026 | Train: 1.0657 (Easy: 0.6762, Hard: 1.4444) | Val: 1.0049 (Easy: 0.6732, Hard: 1.3136) | LR: 0.000250
=> Epoch 027 | Train: 1.0592 (Easy: 0.6728, Hard: 1.4316) | Val: 1.0054 (Easy: 0.6732, Hard: 1.3144) | LR: 0.000250
=> Epoch 028 | Train: 1.0591 (Easy: 0.6725, Hard: 1.4345) | Val: 1.0049 (Easy: 0.6730, Hard: 1.3134) | LR: 0.000250
=> Epoch 029 | Train: 1.0622 (Easy: 0.6721, Hard: 1.4424) | Val: 1.0051 (Easy: 0.6731, Hard: 1.3133) | LR: 0.000250
=> Early stopping triggered
=> Final Test Accuracy: 0.5176 | Easy: 0.6250 | Hard: 0.3485

=> Split: 1 | Features: ['betweenness']
=> Epoch 000 | Train: 1.3108 (Easy: 0.9381, Hard: 1.6730) | Val: 1.0295 (Easy: 0.6927, Hard: 1.4412) | LR: 0.001000
=> Epoch 001 | Train: 1.1806 (Easy: 0.7459, Hard: 1.6121) | Val: 0.9798 (Easy: 0.6645, Hard: 1.3755) | LR: 0.001000
=> Epoch 002 | Train: 1.1107 (Easy: 0.7167, Hard: 1.4956) | Val: 0.9527 (Easy: 0.6460, Hard: 1.3477) | LR: 0.001000
=> Epoch 003 | Train: 1.0877 (Easy: 0.6983, Hard: 1.4740) | Val: 0.9653 (Easy: 0.6401, Hard: 1.3903) | LR: 0.001000
=> Epoch 004 | Train: 1.0941 (Easy: 0.6925, Hard: 1.4877) | Val: 0.9683 (Easy: 0.6349, Hard: 1.4038) | LR: 0.001000
=> Epoch 005 | Train: 1.0768 (Easy: 0.6776, Hard: 1.4658) | Val: 0.9682 (Easy: 0.6314, Hard: 1.4073) | LR: 0.001000
=> Epoch 006 | Train: 1.0867 (Easy: 0.6763, Hard: 1.4874) | Val: 0.9647 (Easy: 0.6292, Hard: 1.4001) | LR: 0.001000
=> Epoch 007 | Train: 1.0791 (Easy: 0.6749, Hard: 1.4687) | Val: 0.9635 (Easy: 0.6284, Hard: 1.3983) | LR: 0.001000
=> Epoch 008 | Train: 1.0861 (Easy: 0.6740, Hard: 1.4914) | Val: 0.9522 (Easy: 0.6281, Hard: 1.3690) | LR: 0.001000
=> Epoch 009 | Train: 1.0769 (Easy: 0.6662, Hard: 1.4746) | Val: 0.9591 (Easy: 0.6259, Hard: 1.3896) | LR: 0.001000
=> Epoch 010 | Train: 1.0851 (Easy: 0.6689, Hard: 1.4924) | Val: 0.9517 (Easy: 0.6271, Hard: 1.3688) | LR: 0.001000
=> Epoch 011 | Train: 1.0696 (Easy: 0.6648, Hard: 1.4609) | Val: 0.9534 (Easy: 0.6255, Hard: 1.3752) | LR: 0.001000
=> Epoch 012 | Train: 1.0746 (Easy: 0.6569, Hard: 1.4782) | Val: 0.9464 (Easy: 0.6255, Hard: 1.3559) | LR: 0.001000
=> Epoch 013 | Train: 1.0686 (Easy: 0.6606, Hard: 1.4591) | Val: 0.9416 (Easy: 0.6257, Hard: 1.3439) | LR: 0.001000
=> Epoch 014 | Train: 1.0611 (Easy: 0.6566, Hard: 1.4530) | Val: 0.9443 (Easy: 0.6248, Hard: 1.3517) | LR: 0.001000
=> Epoch 015 | Train: 1.0667 (Easy: 0.6663, Hard: 1.4575) | Val: 0.9463 (Easy: 0.6255, Hard: 1.3561) | LR: 0.001000
=> Epoch 016 | Train: 1.0644 (Easy: 0.6633, Hard: 1.4530) | Val: 0.9480 (Easy: 0.6245, Hard: 1.3613) | LR: 0.001000
=> Epoch 017 | Train: 1.0605 (Easy: 0.6622, Hard: 1.4470) | Val: 0.9510 (Easy: 0.6241, Hard: 1.3695) | LR: 0.001000
=> Epoch 018 | Train: 1.0674 (Easy: 0.6573, Hard: 1.4654) | Val: 0.9363 (Easy: 0.6239, Hard: 1.3316) | LR: 0.001000
=> Epoch 019 | Train: 1.0630 (Easy: 0.6537, Hard: 1.4602) | Val: 0.9319 (Easy: 0.6236, Hard: 1.3196) | LR: 0.001000
=> Epoch 020 | Train: 1.0573 (Easy: 0.6554, Hard: 1.4465) | Val: 0.9353 (Easy: 0.6231, Hard: 1.3297) | LR: 0.001000
=> Epoch 021 | Train: 1.0657 (Easy: 0.6592, Hard: 1.4551) | Val: 0.9356 (Easy: 0.6217, Hard: 1.3314) | LR: 0.001000
=> Epoch 022 | Train: 1.0612 (Easy: 0.6541, Hard: 1.4566) | Val: 0.9313 (Easy: 0.6226, Hard: 1.3190) | LR: 0.001000
=> Epoch 023 | Train: 1.0569 (Easy: 0.6504, Hard: 1.4484) | Val: 0.9280 (Easy: 0.6228, Hard: 1.3103) | LR: 0.001000
=> Epoch 024 | Train: 1.0602 (Easy: 0.6591, Hard: 1.4467) | Val: 0.9292 (Easy: 0.6235, Hard: 1.3124) | LR: 0.001000
=> Epoch 025 | Train: 1.0558 (Easy: 0.6483, Hard: 1.4506) | Val: 0.9278 (Easy: 0.6231, Hard: 1.3095) | LR: 0.001000
