=> Trial Start: ['closeness']

=> Split: 0 | Features: ['closeness']
=> Epoch 000 | Train: 1.3267 (Easy: 0.9706, Hard: 1.6602) | Val: 1.0836 (Easy: 0.7385, Hard: 1.4156) | LR: 0.001000
=> Epoch 001 | Train: 1.1678 (Easy: 0.7688, Hard: 1.5507) | Val: 1.0122 (Easy: 0.7047, Hard: 1.2958) | LR: 0.001000
=> Epoch 002 | Train: 1.1142 (Easy: 0.7447, Hard: 1.4815) | Val: 1.0037 (Easy: 0.6900, Hard: 1.2900) | LR: 0.001000
=> Epoch 003 | Train: 1.0985 (Easy: 0.7163, Hard: 1.4814) | Val: 1.0025 (Easy: 0.6842, Hard: 1.2926) | LR: 0.001000
=> Epoch 004 | Train: 1.0935 (Easy: 0.7100, Hard: 1.4723) | Val: 1.0017 (Easy: 0.6814, Hard: 1.2934) | LR: 0.001000
=> Epoch 005 | Train: 1.0770 (Easy: 0.6991, Hard: 1.4503) | Val: 1.0025 (Easy: 0.6790, Hard: 1.2980) | LR: 0.001000
=> Epoch 006 | Train: 1.0841 (Easy: 0.6957, Hard: 1.4712) | Val: 1.0044 (Easy: 0.6773, Hard: 1.3043) | LR: 0.001000
=> Epoch 007 | Train: 1.0857 (Easy: 0.6912, Hard: 1.4790) | Val: 1.0018 (Easy: 0.6761, Hard: 1.2996) | LR: 0.001000
=> Epoch 008 | Train: 1.0841 (Easy: 0.6980, Hard: 1.4680) | Val: 1.0014 (Easy: 0.6744, Hard: 1.3009) | LR: 0.001000
=> Epoch 009 | Train: 1.0785 (Easy: 0.6936, Hard: 1.4589) | Val: 1.0009 (Easy: 0.6738, Hard: 1.3005) | LR: 0.001000
=> Epoch 010 | Train: 1.0773 (Easy: 0.6910, Hard: 1.4582) | Val: 1.0016 (Easy: 0.6730, Hard: 1.3026) | LR: 0.001000
=> Epoch 011 | Train: 1.0683 (Easy: 0.6836, Hard: 1.4483) | Val: 1.0035 (Easy: 0.6712, Hard: 1.3085) | LR: 0.001000
=> Epoch 012 | Train: 1.0736 (Easy: 0.6873, Hard: 1.4538) | Val: 1.0022 (Easy: 0.6717, Hard: 1.3055) | LR: 0.001000
=> Epoch 013 | Train: 1.0728 (Easy: 0.6802, Hard: 1.4567) | Val: 1.0021 (Easy: 0.6715, Hard: 1.3051) | LR: 0.001000
=> Epoch 014 | Train: 1.0747 (Easy: 0.6805, Hard: 1.4599) | Val: 1.0020 (Easy: 0.6711, Hard: 1.3052) | LR: 0.001000
=> Epoch 015 | Train: 1.0689 (Easy: 0.6817, Hard: 1.4497) | Val: 1.0017 (Easy: 0.6700, Hard: 1.3063) | LR: 0.001000
=> Epoch 016 | Train: 1.0676 (Easy: 0.6781, Hard: 1.4452) | Val: 1.0014 (Easy: 0.6706, Hard: 1.3046) | LR: 0.001000
=> Epoch 017 | Train: 1.0684 (Easy: 0.6765, Hard: 1.4489) | Val: 1.0013 (Easy: 0.6723, Hard: 1.3050) | LR: 0.001000
=> Epoch 018 | Train: 1.0706 (Easy: 0.6802, Hard: 1.4526) | Val: 1.0030 (Easy: 0.6710, Hard: 1.3103) | LR: 0.001000
=> Epoch 019 | Train: 1.0620 (Easy: 0.6766, Hard: 1.4332) | Val: 1.0038 (Easy: 0.6721, Hard: 1.3127) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 020 | Train: 1.0621 (Easy: 0.6753, Hard: 1.4381) | Val: 1.0048 (Easy: 0.6726, Hard: 1.3147) | LR: 0.000500
=> Epoch 021 | Train: 1.0629 (Easy: 0.6684, Hard: 1.4448) | Val: 1.0063 (Easy: 0.6722, Hard: 1.3173) | LR: 0.000500
=> Epoch 022 | Train: 1.0585 (Easy: 0.6687, Hard: 1.4372) | Val: 1.0051 (Easy: 0.6726, Hard: 1.3147) | LR: 0.000500
=> Epoch 023 | Train: 1.0615 (Easy: 0.6759, Hard: 1.4345) | Val: 1.0056 (Easy: 0.6723, Hard: 1.3159) | LR: 0.000500
=> Epoch 024 | Train: 1.0601 (Easy: 0.6682, Hard: 1.4411) | Val: 1.0059 (Easy: 0.6722, Hard: 1.3160) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.5176 | Easy: 0.6250 | Hard: 0.3485

=> Split: 1 | Features: ['closeness']
=> Epoch 000 | Train: 1.3130 (Easy: 0.9416, Hard: 1.6742) | Val: 1.0304 (Easy: 0.6938, Hard: 1.4420) | LR: 0.001000
=> Epoch 001 | Train: 1.1804 (Easy: 0.7465, Hard: 1.6110) | Val: 0.9762 (Easy: 0.6644, Hard: 1.3678) | LR: 0.001000
=> Epoch 002 | Train: 1.1077 (Easy: 0.7153, Hard: 1.4901) | Val: 0.9471 (Easy: 0.6459, Hard: 1.3329) | LR: 0.001000
