=> Trial Start: ['ct']

=> Split: 0 | Features: ['ct']
=> Epoch 000 | Train: 1.6666 (Easy: 1.5828, Hard: 1.7429) | Val: 1.4370 (Easy: 1.3908, Hard: 1.4951) | LR: 0.001000
=> Epoch 001 | Train: 1.5051 (Easy: 1.3364, Hard: 1.6857) | Val: 1.3984 (Easy: 1.3157, Hard: 1.5070) | LR: 0.001000
=> Epoch 002 | Train: 1.4915 (Easy: 1.3137, Hard: 1.6853) | Val: 1.3850 (Easy: 1.2784, Hard: 1.5229) | LR: 0.001000
=> Epoch 003 | Train: 1.4657 (Easy: 1.2752, Hard: 1.6730) | Val: 1.3675 (Easy: 1.2937, Hard: 1.4666) | LR: 0.001000
=> Epoch 004 | Train: 1.4707 (Easy: 1.2993, Hard: 1.6540) | Val: 1.3610 (Easy: 1.2736, Hard: 1.4757) | LR: 0.001000
=> Epoch 005 | Train: 1.4535 (Easy: 1.2745, Hard: 1.6532) | Val: 1.3504 (Easy: 1.2819, Hard: 1.4413) | LR: 0.001000
=> Epoch 006 | Train: 1.4586 (Easy: 1.2825, Hard: 1.6561) | Val: 1.3490 (Easy: 1.2679, Hard: 1.4557) | LR: 0.001000
=> Epoch 007 | Train: 1.4392 (Easy: 1.2610, Hard: 1.6359) | Val: 1.3307 (Easy: 1.2687, Hard: 1.4126) | LR: 0.001000
=> Epoch 008 | Train: 1.4248 (Easy: 1.2448, Hard: 1.6219) | Val: 1.3197 (Easy: 1.2636, Hard: 1.3971) | LR: 0.001000
=> Epoch 009 | Train: 1.4321 (Easy: 1.2591, Hard: 1.6242) | Val: 1.3150 (Easy: 1.2620, Hard: 1.3880) | LR: 0.001000
=> Epoch 010 | Train: 1.4274 (Easy: 1.2524, Hard: 1.6224) | Val: 1.3083 (Easy: 1.2502, Hard: 1.3900) | LR: 0.001000
=> Epoch 011 | Train: 1.4269 (Easy: 1.2575, Hard: 1.6175) | Val: 1.3075 (Easy: 1.2535, Hard: 1.3830) | LR: 0.001000
=> Epoch 012 | Train: 1.4243 (Easy: 1.2545, Hard: 1.6096) | Val: 1.3054 (Easy: 1.2387, Hard: 1.3967) | LR: 0.001000
=> Epoch 013 | Train: 1.4132 (Easy: 1.2340, Hard: 1.6068) | Val: 1.3029 (Easy: 1.2524, Hard: 1.3750) | LR: 0.001000
=> Epoch 014 | Train: 1.3949 (Easy: 1.2013, Hard: 1.6099) | Val: 1.2997 (Easy: 1.2409, Hard: 1.3802) | LR: 0.001000
=> Epoch 015 | Train: 1.4103 (Easy: 1.2443, Hard: 1.5936) | Val: 1.3026 (Easy: 1.2401, Hard: 1.3863) | LR: 0.001000
=> Epoch 016 | Train: 1.4073 (Easy: 1.2424, Hard: 1.5939) | Val: 1.2977 (Easy: 1.2389, Hard: 1.3773) | LR: 0.001000
=> Epoch 017 | Train: 1.4078 (Easy: 1.2340, Hard: 1.6046) | Val: 1.2947 (Easy: 1.2363, Hard: 1.3758) | LR: 0.001000
=> Epoch 018 | Train: 1.4087 (Easy: 1.2414, Hard: 1.5982) | Val: 1.2975 (Easy: 1.2300, Hard: 1.3879) | LR: 0.001000
=> Epoch 019 | Train: 1.4033 (Easy: 1.2437, Hard: 1.5823) | Val: 1.3048 (Easy: 1.2550, Hard: 1.3724) | LR: 0.001000
=> Epoch 020 | Train: 1.4084 (Easy: 1.2439, Hard: 1.5989) | Val: 1.3029 (Easy: 1.2299, Hard: 1.3989) | LR: 0.001000
=> Epoch 021 | Train: 1.3986 (Easy: 1.2182, Hard: 1.5979) | Val: 1.2946 (Easy: 1.2214, Hard: 1.3906) | LR: 0.001000
=> Epoch 022 | Train: 1.3968 (Easy: 1.2230, Hard: 1.5914) | Val: 1.2965 (Easy: 1.2227, Hard: 1.3942) | LR: 0.001000
=> Epoch 023 | Train: 1.4090 (Easy: 1.2476, Hard: 1.5989) | Val: 1.2962 (Easy: 1.2329, Hard: 1.3810) | LR: 0.001000
=> Epoch 024 | Train: 1.4116 (Easy: 1.2492, Hard: 1.5941) | Val: 1.2990 (Easy: 1.2238, Hard: 1.3985) | LR: 0.001000
=> Epoch 025 | Train: 1.4035 (Easy: 1.2291, Hard: 1.5963) | Val: 1.2973 (Easy: 1.2235, Hard: 1.3939) | LR: 0.001000
=> Epoch 026 | Train: 1.3953 (Easy: 1.2212, Hard: 1.5857) | Val: 1.2942 (Easy: 1.2197, Hard: 1.3924) | LR: 0.001000
=> Epoch 027 | Train: 1.3968 (Easy: 1.2207, Hard: 1.5890) | Val: 1.2914 (Easy: 1.2227, Hard: 1.3816) | LR: 0.001000
=> Epoch 028 | Train: 1.3859 (Easy: 1.1855, Hard: 1.5989) | Val: 1.2965 (Easy: 1.2260, Hard: 1.3883) | LR: 0.001000
=> Epoch 029 | Train: 1.3911 (Easy: 1.2176, Hard: 1.5828) | Val: 1.2950 (Easy: 1.2268, Hard: 1.3842) | LR: 0.001000
=> Epoch 030 | Train: 1.3948 (Easy: 1.2242, Hard: 1.5858) | Val: 1.2953 (Easy: 1.2266, Hard: 1.3855) | LR: 0.001000
=> Epoch 031 | Train: 1.3761 (Easy: 1.1751, Hard: 1.5905) | Val: 1.2959 (Easy: 1.2201, Hard: 1.3932) | LR: 0.001000
=> Epoch 032 | Train: 1.3938 (Easy: 1.2175, Hard: 1.5870) | Val: 1.2939 (Easy: 1.2185, Hard: 1.3921) | LR: 0.001000
=> Epoch 033 | Train: 1.3917 (Easy: 1.2048, Hard: 1.5903) | Val: 1.2921 (Easy: 1.2282, Hard: 1.3731) | LR: 0.001000
=> Epoch 034 | Train: 1.3884 (Easy: 1.2122, Hard: 1.5847) | Val: 1.2943 (Easy: 1.2235, Hard: 1.3846) | LR: 0.001000
=> Epoch 035 | Train: 1.3946 (Easy: 1.2196, Hard: 1.5907) | Val: 1.2943 (Easy: 1.2267, Hard: 1.3806) | LR: 0.001000
=> Epoch 036 | Train: 1.3834 (Easy: 1.1941, Hard: 1.5926) | Val: 1.2959 (Easy: 1.2228, Hard: 1.3896) | LR: 0.001000
=> Epoch 037 | Train: 1.4007 (Easy: 1.2376, Hard: 1.5836) | Val: 1.2960 (Easy: 1.2198, Hard: 1.3936) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 038 | Train: 1.4047 (Easy: 1.2398, Hard: 1.5907) | Val: 1.2929 (Easy: 1.2230, Hard: 1.3817) | LR: 0.000500
=> Epoch 039 | Train: 1.3944 (Easy: 1.2252, Hard: 1.5868) | Val: 1.2958 (Easy: 1.2203, Hard: 1.3922) | LR: 0.000500
=> Epoch 040 | Train: 1.3934 (Easy: 1.2170, Hard: 1.5917) | Val: 1.2930 (Easy: 1.2247, Hard: 1.3800) | LR: 0.000500
=> Epoch 041 | Train: 1.3886 (Easy: 1.2183, Hard: 1.5797) | Val: 1.2923 (Easy: 1.2271, Hard: 1.3750) | LR: 0.000500
=> Epoch 042 | Train: 1.3818 (Easy: 1.2126, Hard: 1.5751) | Val: 1.2918 (Easy: 1.2216, Hard: 1.3818) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.5176 | Easy: 0.6298 | Hard: 0.3409

=> Split: 1 | Features: ['ct']
=> Epoch 000 | Train: 1.6992 (Easy: 1.6435, Hard: 1.7356) | Val: 1.5203 (Easy: 1.5080, Hard: 1.5114) | LR: 0.001000
=> Epoch 001 | Train: 1.5200 (Easy: 1.3595, Hard: 1.6833) | Val: 1.4390 (Easy: 1.3648, Hard: 1.5001) | LR: 0.001000
=> Epoch 002 | Train: 1.4988 (Easy: 1.3278, Hard: 1.6761) | Val: 1.4280 (Easy: 1.3328, Hard: 1.5093) | LR: 0.001000
=> Epoch 003 | Train: 1.4924 (Easy: 1.3173, Hard: 1.6729) | Val: 1.4194 (Easy: 1.3163, Hard: 1.5063) | LR: 0.001000
=> Epoch 004 | Train: 1.4818 (Easy: 1.3072, Hard: 1.6630) | Val: 1.4054 (Easy: 1.3138, Hard: 1.4760) | LR: 0.001000
=> Epoch 005 | Train: 1.4604 (Easy: 1.2992, Hard: 1.6417) | Val: 1.3947 (Easy: 1.3072, Hard: 1.4577) | LR: 0.001000
=> Epoch 006 | Train: 1.4388 (Easy: 1.2746, Hard: 1.6220) | Val: 1.3859 (Easy: 1.2960, Hard: 1.4486) | LR: 0.001000
=> Epoch 007 | Train: 1.4431 (Easy: 1.2786, Hard: 1.6126) | Val: 1.3791 (Easy: 1.2965, Hard: 1.4342) | LR: 0.001000
=> Epoch 008 | Train: 1.4507 (Easy: 1.2919, Hard: 1.6301) | Val: 1.3724 (Easy: 1.2943, Hard: 1.4195) | LR: 0.001000
=> Epoch 009 | Train: 1.4461 (Easy: 1.2903, Hard: 1.6177) | Val: 1.3774 (Easy: 1.3115, Hard: 1.4115) | LR: 0.001000
=> Epoch 010 | Train: 1.4310 (Easy: 1.2768, Hard: 1.6032) | Val: 1.3676 (Easy: 1.2829, Hard: 1.4234) | LR: 0.001000
=> Epoch 011 | Train: 1.4366 (Easy: 1.2784, Hard: 1.6148) | Val: 1.3703 (Easy: 1.2872, Hard: 1.4244) | LR: 0.001000
=> Epoch 012 | Train: 1.4154 (Easy: 1.2571, Hard: 1.5934) | Val: 1.3704 (Easy: 1.2846, Hard: 1.4251) | LR: 0.001000
=> Epoch 013 | Train: 1.4234 (Easy: 1.2589, Hard: 1.6016) | Val: 1.3695 (Easy: 1.2767, Hard: 1.4319) | LR: 0.001000
=> Epoch 014 | Train: 1.4230 (Easy: 1.2550, Hard: 1.6096) | Val: 1.3653 (Easy: 1.2802, Hard: 1.4192) | LR: 0.001000
=> Epoch 015 | Train: 1.4169 (Easy: 1.2622, Hard: 1.5852) | Val: 1.3640 (Easy: 1.2761, Hard: 1.4205) | LR: 0.001000
=> Epoch 016 | Train: 1.4226 (Easy: 1.2762, Hard: 1.5860) | Val: 1.3611 (Easy: 1.2687, Hard: 1.4218) | LR: 0.001000
=> Epoch 017 | Train: 1.4266 (Easy: 1.2727, Hard: 1.5985) | Val: 1.3644 (Easy: 1.2741, Hard: 1.4244) | LR: 0.001000
=> Epoch 018 | Train: 1.4103 (Easy: 1.2522, Hard: 1.5814) | Val: 1.3663 (Easy: 1.2781, Hard: 1.4240) | LR: 0.001000
=> Epoch 019 | Train: 1.4182 (Easy: 1.2545, Hard: 1.5994) | Val: 1.3617 (Easy: 1.2702, Hard: 1.4227) | LR: 0.001000
=> Epoch 020 | Train: 1.4032 (Easy: 1.2433, Hard: 1.5799) | Val: 1.3628 (Easy: 1.2693, Hard: 1.4272) | LR: 0.001000
=> Epoch 021 | Train: 1.4165 (Easy: 1.2564, Hard: 1.5966) | Val: 1.3612 (Easy: 1.2713, Hard: 1.4203) | LR: 0.001000
=> Epoch 022 | Train: 1.4178 (Easy: 1.2628, Hard: 1.5970) | Val: 1.3559 (Easy: 1.2629, Hard: 1.4183) | LR: 0.001000
=> Epoch 023 | Train: 1.4120 (Easy: 1.2429, Hard: 1.5971) | Val: 1.3527 (Easy: 1.2613, Hard: 1.4138) | LR: 0.001000
=> Epoch 024 | Train: 1.4040 (Easy: 1.2467, Hard: 1.5801) | Val: 1.3644 (Easy: 1.2777, Hard: 1.4214) | LR: 0.001000
=> Epoch 025 | Train: 1.4010 (Easy: 1.2527, Hard: 1.5713) | Val: 1.3601 (Easy: 1.2665, Hard: 1.4246) | LR: 0.001000
=> Epoch 026 | Train: 1.4095 (Easy: 1.2457, Hard: 1.5917) | Val: 1.3628 (Easy: 1.2778, Hard: 1.4172) | LR: 0.001000
=> Epoch 027 | Train: 1.4118 (Easy: 1.2597, Hard: 1.5848) | Val: 1.3668 (Easy: 1.2826, Hard: 1.4205) | LR: 0.001000
=> Epoch 028 | Train: 1.4051 (Easy: 1.2517, Hard: 1.5818) | Val: 1.3623 (Easy: 1.2747, Hard: 1.4192) | LR: 0.001000
=> Epoch 029 | Train: 1.4058 (Easy: 1.2390, Hard: 1.5969) | Val: 1.3494 (Easy: 1.2535, Hard: 1.4146) | LR: 0.001000
=> Epoch 030 | Train: 1.4055 (Easy: 1.2424, Hard: 1.5883) | Val: 1.3542 (Easy: 1.2631, Hard: 1.4149) | LR: 0.001000
=> Epoch 031 | Train: 1.4070 (Easy: 1.2572, Hard: 1.5741) | Val: 1.3526 (Easy: 1.2620, Hard: 1.4123) | LR: 0.001000
=> Epoch 032 | Train: 1.3936 (Easy: 1.2183, Hard: 1.5857) | Val: 1.3606 (Easy: 1.2756, Hard: 1.4156) | LR: 0.001000
