=> Trial Start: ['degree']

=> Split: 0 | Features: ['degree']
=> Epoch 000 | Train: 1.3310 (Easy: 1.0001, Hard: 1.6438) | Val: 1.0580 (Easy: 0.7405, Hard: 1.3571) | LR: 0.001000
=> Epoch 001 | Train: 1.1488 (Easy: 0.7652, Hard: 1.5231) | Val: 1.0077 (Easy: 0.6989, Hard: 1.2895) | LR: 0.001000
=> Epoch 002 | Train: 1.1128 (Easy: 0.7441, Hard: 1.4818) | Val: 1.0054 (Easy: 0.6917, Hard: 1.2900) | LR: 0.001000
=> Epoch 003 | Train: 1.1051 (Easy: 0.7205, Hard: 1.4928) | Val: 1.0048 (Easy: 0.6879, Hard: 1.2914) | LR: 0.001000
=> Epoch 004 | Train: 1.1022 (Easy: 0.7189, Hard: 1.4831) | Val: 1.0061 (Easy: 0.6849, Hard: 1.2971) | LR: 0.001000
=> Epoch 005 | Train: 1.0874 (Easy: 0.7098, Hard: 1.4627) | Val: 1.0079 (Easy: 0.6824, Hard: 1.3040) | LR: 0.001000
=> Epoch 006 | Train: 1.0952 (Easy: 0.7079, Hard: 1.4818) | Val: 1.0083 (Easy: 0.6819, Hard: 1.3056) | LR: 0.001000
=> Epoch 007 | Train: 1.0969 (Easy: 0.7039, Hard: 1.4901) | Val: 1.0064 (Easy: 0.6811, Hard: 1.3020) | LR: 0.001000
=> Epoch 008 | Train: 1.0940 (Easy: 0.7065, Hard: 1.4786) | Val: 1.0066 (Easy: 0.6810, Hard: 1.3031) | LR: 0.001000
=> Epoch 009 | Train: 1.0966 (Easy: 0.7076, Hard: 1.4834) | Val: 1.0076 (Easy: 0.6811, Hard: 1.3055) | LR: 0.001000
=> Epoch 010 | Train: 1.0974 (Easy: 0.7064, Hard: 1.4850) | Val: 1.0059 (Easy: 0.6792, Hard: 1.3037) | LR: 0.001000
=> Epoch 011 | Train: 1.0902 (Easy: 0.6983, Hard: 1.4803) | Val: 1.0048 (Easy: 0.6780, Hard: 1.3027) | LR: 0.001000
=> Epoch 012 | Train: 1.0878 (Easy: 0.7001, Hard: 1.4725) | Val: 1.0043 (Easy: 0.6759, Hard: 1.3044) | LR: 0.001000
=> Epoch 013 | Train: 1.0862 (Easy: 0.6911, Hard: 1.4747) | Val: 1.0037 (Easy: 0.6750, Hard: 1.3051) | LR: 0.001000
=> Epoch 014 | Train: 1.0846 (Easy: 0.6913, Hard: 1.4720) | Val: 1.0035 (Easy: 0.6751, Hard: 1.3045) | LR: 0.001000
=> Epoch 015 | Train: 1.0815 (Easy: 0.6938, Hard: 1.4675) | Val: 1.0043 (Easy: 0.6734, Hard: 1.3085) | LR: 0.001000
=> Epoch 016 | Train: 1.0830 (Easy: 0.6896, Hard: 1.4696) | Val: 1.0021 (Easy: 0.6732, Hard: 1.3040) | LR: 0.001000
=> Epoch 017 | Train: 1.0778 (Easy: 0.6864, Hard: 1.4620) | Val: 1.0011 (Easy: 0.6730, Hard: 1.3035) | LR: 0.001000
=> Epoch 018 | Train: 1.0791 (Easy: 0.6893, Hard: 1.4634) | Val: 1.0030 (Easy: 0.6718, Hard: 1.3099) | LR: 0.001000
=> Epoch 019 | Train: 1.0744 (Easy: 0.6866, Hard: 1.4519) | Val: 1.0022 (Easy: 0.6723, Hard: 1.3086) | LR: 0.001000
=> Epoch 020 | Train: 1.0708 (Easy: 0.6861, Hard: 1.4516) | Val: 1.0029 (Easy: 0.6723, Hard: 1.3100) | LR: 0.001000
=> Epoch 021 | Train: 1.0752 (Easy: 0.6787, Hard: 1.4631) | Val: 1.0030 (Easy: 0.6719, Hard: 1.3107) | LR: 0.001000
=> Epoch 022 | Train: 1.0733 (Easy: 0.6810, Hard: 1.4588) | Val: 1.0022 (Easy: 0.6722, Hard: 1.3086) | LR: 0.001000
=> Epoch 023 | Train: 1.0734 (Easy: 0.6871, Hard: 1.4500) | Val: 1.0036 (Easy: 0.6710, Hard: 1.3123) | LR: 0.001000
=> Epoch 024 | Train: 1.0753 (Easy: 0.6746, Hard: 1.4705) | Val: 1.0025 (Easy: 0.6719, Hard: 1.3102) | LR: 0.001000
=> Epoch 025 | Train: 1.0655 (Easy: 0.6806, Hard: 1.4433) | Val: 1.0020 (Easy: 0.6736, Hard: 1.3068) | LR: 0.001000
=> Epoch 026 | Train: 1.0783 (Easy: 0.6878, Hard: 1.4641) | Val: 1.0038 (Easy: 0.6721, Hard: 1.3124) | LR: 0.001000
=> Epoch 027 | Train: 1.0717 (Easy: 0.6776, Hard: 1.4566) | Val: 1.0038 (Easy: 0.6727, Hard: 1.3128) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 028 | Train: 1.0651 (Easy: 0.6737, Hard: 1.4497) | Val: 1.0063 (Easy: 0.6736, Hard: 1.3188) | LR: 0.000500
=> Epoch 029 | Train: 1.0672 (Easy: 0.6804, Hard: 1.4485) | Val: 1.0053 (Easy: 0.6745, Hard: 1.3147) | LR: 0.000500
=> Epoch 030 | Train: 1.0664 (Easy: 0.6780, Hard: 1.4478) | Val: 1.0066 (Easy: 0.6742, Hard: 1.3185) | LR: 0.000500
=> Epoch 031 | Train: 1.0643 (Easy: 0.6820, Hard: 1.4388) | Val: 1.0058 (Easy: 0.6738, Hard: 1.3170) | LR: 0.000500
=> Epoch 032 | Train: 1.0677 (Easy: 0.6790, Hard: 1.4465) | Val: 1.0052 (Easy: 0.6735, Hard: 1.3153) | LR: 0.000500
=> Early stopping triggered
=> Final Test Accuracy: 0.4941 | Easy: 0.6250 | Hard: 0.2879

=> Split: 1 | Features: ['degree']
=> Epoch 000 | Train: 1.3314 (Easy: 0.9910, Hard: 1.6646) | Val: 1.0107 (Easy: 0.6909, Hard: 1.4096) | LR: 0.001000
=> Epoch 001 | Train: 1.1395 (Easy: 0.7302, Hard: 1.5509) | Val: 0.9667 (Easy: 0.6548, Hard: 1.3694) | LR: 0.001000
