=> Trial Start: ['dir_sim']

=> Split: 0 | Features: ['dir_sim']
=> Epoch 000 | Train: 1.5193 (Easy: 1.2242, Hard: 1.8427) | Val: 1.2240 (Easy: 1.0715, Hard: 1.4341) | LR: 0.001000
=> Epoch 001 | Train: 1.3605 (Easy: 1.0885, Hard: 1.6730) | Val: 1.1921 (Easy: 1.0701, Hard: 1.3848) | LR: 0.001000
=> Epoch 002 | Train: 1.3492 (Easy: 1.0943, Hard: 1.6505) | Val: 1.2016 (Easy: 1.0876, Hard: 1.3867) | LR: 0.001000
=> Epoch 003 | Train: 1.3390 (Easy: 1.0793, Hard: 1.6434) | Val: 1.2002 (Easy: 1.0882, Hard: 1.3827) | LR: 0.001000
=> Epoch 004 | Train: 1.3358 (Easy: 1.0811, Hard: 1.6283) | Val: 1.1983 (Easy: 1.0870, Hard: 1.3806) | LR: 0.001000
=> Epoch 005 | Train: 1.3318 (Easy: 1.0802, Hard: 1.6289) | Val: 1.1967 (Easy: 1.0857, Hard: 1.3799) | LR: 0.001000
=> Epoch 006 | Train: 1.3299 (Easy: 1.0832, Hard: 1.6164) | Val: 1.1917 (Easy: 1.0821, Hard: 1.3730) | LR: 0.001000
=> Epoch 007 | Train: 1.3141 (Easy: 1.0639, Hard: 1.6055) | Val: 1.1966 (Easy: 1.0908, Hard: 1.3712) | LR: 0.001000
=> Epoch 008 | Train: 1.3101 (Easy: 1.0673, Hard: 1.5951) | Val: 1.1956 (Easy: 1.0929, Hard: 1.3655) | LR: 0.001000
=> Epoch 009 | Train: 1.3166 (Easy: 1.0879, Hard: 1.5810) | Val: 1.1940 (Easy: 1.0900, Hard: 1.3664) | LR: 0.001000
=> Epoch 010 | Train: 1.3087 (Easy: 1.0725, Hard: 1.5846) | Val: 1.1898 (Easy: 1.0873, Hard: 1.3590) | LR: 0.001000
=> Epoch 011 | Train: 1.2968 (Easy: 1.0704, Hard: 1.5566) | Val: 1.1850 (Easy: 1.0817, Hard: 1.3556) | LR: 0.001000
=> Epoch 012 | Train: 1.3055 (Easy: 1.0815, Hard: 1.5674) | Val: 1.2028 (Easy: 1.1095, Hard: 1.3590) | LR: 0.001000
=> Epoch 013 | Train: 1.2914 (Easy: 1.0678, Hard: 1.5499) | Val: 1.2134 (Easy: 1.1253, Hard: 1.3620) | LR: 0.001000
=> Epoch 014 | Train: 1.2787 (Easy: 1.0493, Hard: 1.5423) | Val: 1.1714 (Easy: 1.0729, Hard: 1.3362) | LR: 0.001000
=> Epoch 015 | Train: 1.2744 (Easy: 1.0530, Hard: 1.5239) | Val: 1.1953 (Easy: 1.0998, Hard: 1.3557) | LR: 0.001000
=> Epoch 016 | Train: 1.2772 (Easy: 1.0709, Hard: 1.5127) | Val: 1.1841 (Easy: 1.0913, Hard: 1.3448) | LR: 0.001000
