=> Trial Start: ['dir_sim', 'betweenness']

=> Split: 0 | Features: ['dir_sim', 'betweenness']
=> Epoch 000 | Train: 1.2487 (Easy: 0.8503, Hard: 1.6279) | Val: 0.9773 (Easy: 0.5984, Hard: 1.3473) | LR: 0.001000
=> Epoch 001 | Train: 1.1092 (Easy: 0.6156, Hard: 1.5727) | Val: 0.9544 (Easy: 0.5958, Hard: 1.3034) | LR: 0.001000
=> Epoch 002 | Train: 1.0775 (Easy: 0.6076, Hard: 1.5227) | Val: 0.9457 (Easy: 0.6241, Hard: 1.2542) | LR: 0.001000
=> Epoch 003 | Train: 1.0451 (Easy: 0.5960, Hard: 1.4805) | Val: 0.9445 (Easy: 0.6468, Hard: 1.2258) | LR: 0.001000
=> Epoch 004 | Train: 1.0259 (Easy: 0.5850, Hard: 1.4493) | Val: 0.9184 (Easy: 0.6130, Hard: 1.2119) | LR: 0.001000
=> Epoch 005 | Train: 1.0091 (Easy: 0.5724, Hard: 1.4351) | Val: 0.9100 (Easy: 0.6068, Hard: 1.2045) | LR: 0.001000
=> Epoch 006 | Train: 1.0040 (Easy: 0.5685, Hard: 1.4320) | Val: 0.8929 (Easy: 0.5809, Hard: 1.2020) | LR: 0.001000
=> Epoch 007 | Train: 0.9748 (Easy: 0.5506, Hard: 1.3886) | Val: 0.8843 (Easy: 0.5656, Hard: 1.2062) | LR: 0.001000
=> Epoch 008 | Train: 0.9726 (Easy: 0.5421, Hard: 1.3974) | Val: 0.8684 (Easy: 0.5480, Hard: 1.1953) | LR: 0.001000
=> Epoch 009 | Train: 0.9606 (Easy: 0.5440, Hard: 1.3708) | Val: 0.8598 (Easy: 0.5375, Hard: 1.1911) | LR: 0.001000
=> Epoch 010 | Train: 0.9657 (Easy: 0.5399, Hard: 1.3843) | Val: 0.8581 (Easy: 0.5441, Hard: 1.1806) | LR: 0.001000
=> Epoch 011 | Train: 0.9413 (Easy: 0.5284, Hard: 1.3446) | Val: 0.8490 (Easy: 0.5256, Hard: 1.1878) | LR: 0.001000
=> Epoch 012 | Train: 0.9516 (Easy: 0.5326, Hard: 1.3683) | Val: 0.8604 (Easy: 0.5388, Hard: 1.1943) | LR: 0.001000
=> Epoch 013 | Train: 0.9464 (Easy: 0.5267, Hard: 1.3638) | Val: 0.8328 (Easy: 0.5142, Hard: 1.1647) | LR: 0.001000
=> Epoch 014 | Train: 0.9325 (Easy: 0.5259, Hard: 1.3372) | Val: 0.8255 (Easy: 0.5079, Hard: 1.1563) | LR: 0.001000
=> Epoch 015 | Train: 0.9397 (Easy: 0.5228, Hard: 1.3564) | Val: 0.8287 (Easy: 0.5104, Hard: 1.1637) | LR: 0.001000
=> Epoch 016 | Train: 0.9163 (Easy: 0.5234, Hard: 1.3026) | Val: 0.8419 (Easy: 0.5222, Hard: 1.1798) | LR: 0.001000
=> Epoch 017 | Train: 0.9243 (Easy: 0.5226, Hard: 1.3287) | Val: 0.8295 (Easy: 0.5114, Hard: 1.1643) | LR: 0.001000
=> Epoch 018 | Train: 0.9428 (Easy: 0.5229, Hard: 1.3613) | Val: 0.8250 (Easy: 0.5113, Hard: 1.1528) | LR: 0.001000
=> Epoch 019 | Train: 0.9155 (Easy: 0.5152, Hard: 1.3167) | Val: 0.8262 (Easy: 0.5086, Hard: 1.1569) | LR: 0.001000
=> Epoch 020 | Train: 0.9176 (Easy: 0.5201, Hard: 1.3135) | Val: 0.8148 (Easy: 0.4995, Hard: 1.1458) | LR: 0.001000
=> Epoch 021 | Train: 0.9108 (Easy: 0.5190, Hard: 1.3009) | Val: 0.8225 (Easy: 0.5094, Hard: 1.1540) | LR: 0.001000
=> Epoch 022 | Train: 0.9073 (Easy: 0.5152, Hard: 1.3002) | Val: 0.8262 (Easy: 0.5111, Hard: 1.1620) | LR: 0.001000
=> Epoch 023 | Train: 0.9114 (Easy: 0.5168, Hard: 1.3050) | Val: 0.8164 (Easy: 0.4995, Hard: 1.1465) | LR: 0.001000
=> Epoch 024 | Train: 0.9147 (Easy: 0.5138, Hard: 1.3195) | Val: 0.8081 (Easy: 0.4994, Hard: 1.1303) | LR: 0.001000
=> Epoch 025 | Train: 0.9127 (Easy: 0.5126, Hard: 1.3112) | Val: 0.8172 (Easy: 0.5060, Hard: 1.1443) | LR: 0.001000
=> Epoch 026 | Train: 0.9043 (Easy: 0.5125, Hard: 1.2956) | Val: 0.8098 (Easy: 0.4959, Hard: 1.1311) | LR: 0.001000
=> Epoch 027 | Train: 0.9035 (Easy: 0.5137, Hard: 1.2889) | Val: 0.8128 (Easy: 0.4989, Hard: 1.1417) | LR: 0.001000
=> Epoch 028 | Train: 0.9046 (Easy: 0.5060, Hard: 1.2997) | Val: 0.8129 (Easy: 0.5063, Hard: 1.1305) | LR: 0.001000
=> Epoch 029 | Train: 0.8980 (Easy: 0.5083, Hard: 1.2865) | Val: 0.8120 (Easy: 0.5022, Hard: 1.1421) | LR: 0.001000
=> Epoch 030 | Train: 0.9023 (Easy: 0.5102, Hard: 1.2941) | Val: 0.8117 (Easy: 0.4984, Hard: 1.1392) | LR: 0.001000
=> Epoch 031 | Train: 0.8913 (Easy: 0.5103, Hard: 1.2732) | Val: 0.8080 (Easy: 0.4890, Hard: 1.1378) | LR: 0.001000
=> Epoch 032 | Train: 0.9031 (Easy: 0.5046, Hard: 1.2982) | Val: 0.8136 (Easy: 0.5003, Hard: 1.1362) | LR: 0.001000
=> Epoch 033 | Train: 0.8856 (Easy: 0.5051, Hard: 1.2620) | Val: 0.8068 (Easy: 0.4916, Hard: 1.1302) | LR: 0.001000
=> Epoch 034 | Train: 0.8941 (Easy: 0.5022, Hard: 1.2867) | Val: 0.8104 (Easy: 0.4944, Hard: 1.1355) | LR: 0.001000
=> Epoch 035 | Train: 0.8908 (Easy: 0.4978, Hard: 1.2813) | Val: 0.8132 (Easy: 0.5004, Hard: 1.1326) | LR: 0.001000
