=> Trial Start: ['dir_sim', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'closeness']
=> Epoch 000 | Train: 1.2520 (Easy: 0.8513, Hard: 1.6319) | Val: 0.9814 (Easy: 0.6069, Hard: 1.3455) | LR: 0.001000
=> Epoch 001 | Train: 1.1119 (Easy: 0.6170, Hard: 1.5750) | Val: 0.9602 (Easy: 0.6069, Hard: 1.3036) | LR: 0.001000
=> Epoch 002 | Train: 1.0811 (Easy: 0.6095, Hard: 1.5266) | Val: 0.9565 (Easy: 0.6377, Hard: 1.2615) | LR: 0.001000
=> Epoch 003 | Train: 1.0497 (Easy: 0.5958, Hard: 1.4876) | Val: 0.9513 (Easy: 0.6508, Hard: 1.2360) | LR: 0.001000
=> Epoch 004 | Train: 1.0296 (Easy: 0.5859, Hard: 1.4531) | Val: 0.9183 (Easy: 0.6057, Hard: 1.2210) | LR: 0.001000
=> Epoch 005 | Train: 1.0110 (Easy: 0.5703, Hard: 1.4396) | Val: 0.9118 (Easy: 0.5981, Hard: 1.2192) | LR: 0.001000
=> Epoch 006 | Train: 1.0063 (Easy: 0.5657, Hard: 1.4378) | Val: 0.8958 (Easy: 0.5735, Hard: 1.2173) | LR: 0.001000
=> Epoch 007 | Train: 0.9773 (Easy: 0.5478, Hard: 1.3949) | Val: 0.8899 (Easy: 0.5624, Hard: 1.2214) | LR: 0.001000
=> Epoch 008 | Train: 0.9743 (Easy: 0.5420, Hard: 1.4004) | Val: 0.8776 (Easy: 0.5483, Hard: 1.2138) | LR: 0.001000
=> Epoch 009 | Train: 0.9621 (Easy: 0.5435, Hard: 1.3726) | Val: 0.8697 (Easy: 0.5409, Hard: 1.2068) | LR: 0.001000
=> Epoch 010 | Train: 0.9677 (Easy: 0.5382, Hard: 1.3897) | Val: 0.8620 (Easy: 0.5422, Hard: 1.1895) | LR: 0.001000
=> Epoch 011 | Train: 0.9460 (Easy: 0.5280, Hard: 1.3525) | Val: 0.8601 (Easy: 0.5314, Hard: 1.2038) | LR: 0.001000
=> Epoch 012 | Train: 0.9553 (Easy: 0.5340, Hard: 1.3722) | Val: 0.8631 (Easy: 0.5387, Hard: 1.1993) | LR: 0.001000
=> Epoch 013 | Train: 0.9509 (Easy: 0.5283, Hard: 1.3698) | Val: 0.8345 (Easy: 0.5162, Hard: 1.1648) | LR: 0.001000
=> Epoch 014 | Train: 0.9377 (Easy: 0.5283, Hard: 1.3438) | Val: 0.8318 (Easy: 0.5143, Hard: 1.1599) | LR: 0.001000
=> Epoch 015 | Train: 0.9438 (Easy: 0.5236, Hard: 1.3614) | Val: 0.8286 (Easy: 0.5117, Hard: 1.1615) | LR: 0.001000
=> Epoch 016 | Train: 0.9189 (Easy: 0.5244, Hard: 1.3046) | Val: 0.8329 (Easy: 0.5152, Hard: 1.1686) | LR: 0.001000
=> Epoch 017 | Train: 0.9250 (Easy: 0.5246, Hard: 1.3267) | Val: 0.8356 (Easy: 0.5178, Hard: 1.1704) | LR: 0.001000
=> Epoch 018 | Train: 0.9445 (Easy: 0.5236, Hard: 1.3621) | Val: 0.8250 (Easy: 0.5121, Hard: 1.1504) | LR: 0.001000
=> Epoch 019 | Train: 0.9181 (Easy: 0.5176, Hard: 1.3191) | Val: 0.8299 (Easy: 0.5163, Hard: 1.1560) | LR: 0.001000
=> Epoch 020 | Train: 0.9189 (Easy: 0.5216, Hard: 1.3132) | Val: 0.8215 (Easy: 0.5072, Hard: 1.1473) | LR: 0.001000
=> Epoch 021 | Train: 0.9140 (Easy: 0.5215, Hard: 1.3041) | Val: 0.8186 (Easy: 0.5085, Hard: 1.1471) | LR: 0.001000
=> Epoch 022 | Train: 0.9096 (Easy: 0.5161, Hard: 1.3035) | Val: 0.8206 (Easy: 0.5097, Hard: 1.1523) | LR: 0.001000
=> Epoch 023 | Train: 0.9123 (Easy: 0.5171, Hard: 1.3059) | Val: 0.8174 (Easy: 0.5022, Hard: 1.1454) | LR: 0.001000
=> Epoch 024 | Train: 0.9162 (Easy: 0.5157, Hard: 1.3195) | Val: 0.8118 (Easy: 0.5026, Hard: 1.1365) | LR: 0.001000
=> Epoch 025 | Train: 0.9145 (Easy: 0.5134, Hard: 1.3132) | Val: 0.8184 (Easy: 0.5077, Hard: 1.1428) | LR: 0.001000
=> Epoch 026 | Train: 0.9058 (Easy: 0.5129, Hard: 1.2965) | Val: 0.8105 (Easy: 0.4948, Hard: 1.1350) | LR: 0.001000
=> Epoch 027 | Train: 0.9039 (Easy: 0.5138, Hard: 1.2890) | Val: 0.8164 (Easy: 0.5029, Hard: 1.1509) | LR: 0.001000
=> Epoch 028 | Train: 0.9059 (Easy: 0.5055, Hard: 1.3026) | Val: 0.8155 (Easy: 0.5085, Hard: 1.1338) | LR: 0.001000
=> Epoch 029 | Train: 0.8979 (Easy: 0.5086, Hard: 1.2860) | Val: 0.8123 (Easy: 0.5009, Hard: 1.1448) | LR: 0.001000
=> Epoch 030 | Train: 0.9022 (Easy: 0.5094, Hard: 1.2920) | Val: 0.8095 (Easy: 0.4959, Hard: 1.1355) | LR: 0.001000
