=> Trial Start: ['dir_sim', 'ct']

=> Split: 0 | Features: ['dir_sim', 'ct']
=> Epoch 000 | Train: 1.4804 (Easy: 1.2550, Hard: 1.7112) | Val: 1.2657 (Easy: 1.1144, Hard: 1.4265) | LR: 0.001000
=> Epoch 001 | Train: 1.3442 (Easy: 1.0964, Hard: 1.6099) | Val: 1.2303 (Easy: 1.1031, Hard: 1.3700) | LR: 0.001000
=> Epoch 002 | Train: 1.3214 (Easy: 1.1007, Hard: 1.5617) | Val: 1.2106 (Easy: 1.0992, Hard: 1.3379) | LR: 0.001000
=> Epoch 003 | Train: 1.2945 (Easy: 1.0711, Hard: 1.5406) | Val: 1.1892 (Easy: 1.0832, Hard: 1.3189) | LR: 0.001000
=> Epoch 004 | Train: 1.2835 (Easy: 1.0776, Hard: 1.5106) | Val: 1.1813 (Easy: 1.0823, Hard: 1.3065) | LR: 0.001000
=> Epoch 005 | Train: 1.2661 (Easy: 1.0678, Hard: 1.4877) | Val: 1.1791 (Easy: 1.0975, Hard: 1.2896) | LR: 0.001000
=> Epoch 006 | Train: 1.2720 (Easy: 1.0667, Hard: 1.5051) | Val: 1.1757 (Easy: 1.0946, Hard: 1.2866) | LR: 0.001000
=> Epoch 007 | Train: 1.2513 (Easy: 1.0618, Hard: 1.4648) | Val: 1.1540 (Easy: 1.0627, Hard: 1.2835) | LR: 0.001000
=> Epoch 008 | Train: 1.2476 (Easy: 1.0521, Hard: 1.4697) | Val: 1.1480 (Easy: 1.0625, Hard: 1.2743) | LR: 0.001000
=> Epoch 009 | Train: 1.2341 (Easy: 1.0456, Hard: 1.4456) | Val: 1.1351 (Easy: 1.0514, Hard: 1.2598) | LR: 0.001000
=> Epoch 010 | Train: 1.2286 (Easy: 1.0407, Hard: 1.4447) | Val: 1.1277 (Easy: 1.0417, Hard: 1.2581) | LR: 0.001000
=> Epoch 011 | Train: 1.2142 (Easy: 1.0323, Hard: 1.4241) | Val: 1.1263 (Easy: 1.0435, Hard: 1.2550) | LR: 0.001000
=> Epoch 012 | Train: 1.2249 (Easy: 1.0424, Hard: 1.4376) | Val: 1.1349 (Easy: 1.0558, Hard: 1.2573) | LR: 0.001000
=> Epoch 013 | Train: 1.2163 (Easy: 1.0350, Hard: 1.4212) | Val: 1.1316 (Easy: 1.0506, Hard: 1.2605) | LR: 0.001000
