=> Trial Start: ['dir_sim', 'degree']

=> Split: 0 | Features: ['dir_sim', 'degree']
=> Epoch 000 | Train: 1.2648 (Easy: 0.8634, Hard: 1.6493) | Val: 0.9971 (Easy: 0.6304, Hard: 1.3464) | LR: 0.001000
=> Epoch 001 | Train: 1.1186 (Easy: 0.6236, Hard: 1.5869) | Val: 0.9766 (Easy: 0.6188, Hard: 1.3198) | LR: 0.001000
=> Epoch 002 | Train: 1.0866 (Easy: 0.6148, Hard: 1.5374) | Val: 0.9770 (Easy: 0.6536, Hard: 1.2855) | LR: 0.001000
=> Epoch 003 | Train: 1.0585 (Easy: 0.5924, Hard: 1.5097) | Val: 0.9492 (Easy: 0.6230, Hard: 1.2699) | LR: 0.001000
=> Epoch 004 | Train: 1.0395 (Easy: 0.5755, Hard: 1.4839) | Val: 0.9254 (Easy: 0.5899, Hard: 1.2651) | LR: 0.001000
=> Epoch 005 | Train: 1.0182 (Easy: 0.5547, Hard: 1.4686) | Val: 0.9271 (Easy: 0.5812, Hard: 1.2829) | LR: 0.001000
=> Epoch 006 | Train: 1.0147 (Easy: 0.5523, Hard: 1.4658) | Val: 0.9102 (Easy: 0.5576, Hard: 1.2740) | LR: 0.001000
=> Epoch 007 | Train: 0.9896 (Easy: 0.5362, Hard: 1.4300) | Val: 0.9081 (Easy: 0.5489, Hard: 1.2811) | LR: 0.001000
=> Epoch 008 | Train: 0.9847 (Easy: 0.5356, Hard: 1.4268) | Val: 0.8978 (Easy: 0.5386, Hard: 1.2714) | LR: 0.001000
=> Epoch 009 | Train: 0.9787 (Easy: 0.5395, Hard: 1.4053) | Val: 0.8905 (Easy: 0.5386, Hard: 1.2543) | LR: 0.001000
=> Epoch 010 | Train: 0.9851 (Easy: 0.5332, Hard: 1.4258) | Val: 0.8910 (Easy: 0.5416, Hard: 1.2543) | LR: 0.001000
