=> Trial Start: ['dir_sim', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'exit_dist']
=> Epoch 000 | Train: 1.4444 (Easy: 1.0963, Hard: 1.7874) | Val: 1.0399 (Easy: 0.7177, Hard: 1.3434) | LR: 0.001000
=> Epoch 001 | Train: 1.1229 (Easy: 0.6592, Hard: 1.5655) | Val: 0.9919 (Easy: 0.6364, Hard: 1.3332) | LR: 0.001000
=> Epoch 002 | Train: 1.1030 (Easy: 0.6361, Hard: 1.5531) | Val: 0.9719 (Easy: 0.6053, Hard: 1.3307) | LR: 0.001000
=> Epoch 003 | Train: 1.0877 (Easy: 0.6150, Hard: 1.5412) | Val: 0.9604 (Easy: 0.5877, Hard: 1.3301) | LR: 0.001000
=> Epoch 004 | Train: 1.0710 (Easy: 0.6093, Hard: 1.5180) | Val: 0.9594 (Easy: 0.5710, Hard: 1.3486) | LR: 0.001000
=> Epoch 005 | Train: 1.0650 (Easy: 0.5936, Hard: 1.5237) | Val: 0.9465 (Easy: 0.5668, Hard: 1.3247) | LR: 0.001000
=> Epoch 006 | Train: 1.0573 (Easy: 0.5886, Hard: 1.5153) | Val: 0.9447 (Easy: 0.5635, Hard: 1.3270) | LR: 0.001000
=> Epoch 007 | Train: 1.0447 (Easy: 0.5897, Hard: 1.4876) | Val: 0.9432 (Easy: 0.5752, Hard: 1.3053) | LR: 0.001000
=> Epoch 008 | Train: 1.0374 (Easy: 0.5813, Hard: 1.4855) | Val: 0.9308 (Easy: 0.5572, Hard: 1.3008) | LR: 0.001000
=> Epoch 009 | Train: 1.0408 (Easy: 0.5887, Hard: 1.4809) | Val: 0.9340 (Easy: 0.5709, Hard: 1.2935) | LR: 0.001000
=> Epoch 010 | Train: 1.0362 (Easy: 0.5789, Hard: 1.4869) | Val: 0.9319 (Easy: 0.5703, Hard: 1.2894) | LR: 0.001000
=> Epoch 011 | Train: 1.0259 (Easy: 0.5793, Hard: 1.4618) | Val: 0.9269 (Easy: 0.5690, Hard: 1.2806) | LR: 0.001000
=> Epoch 012 | Train: 1.0357 (Easy: 0.5788, Hard: 1.4834) | Val: 0.9181 (Easy: 0.5563, Hard: 1.2806) | LR: 0.001000
