=> Trial Start: ['dir_sim', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'has_dead']
=> Epoch 000 | Train: 1.5139 (Easy: 1.1065, Hard: 1.9246) | Val: 1.2276 (Easy: 0.8965, Hard: 1.5759) | LR: 0.001000
=> Epoch 001 | Train: 1.2260 (Easy: 0.7179, Hard: 1.7390) | Val: 1.0931 (Easy: 0.7619, Hard: 1.4497) | LR: 0.001000
=> Epoch 002 | Train: 1.1680 (Easy: 0.6828, Hard: 1.6643) | Val: 1.0522 (Easy: 0.7350, Hard: 1.4044) | LR: 0.001000
=> Epoch 003 | Train: 1.1480 (Easy: 0.6622, Hard: 1.6440) | Val: 1.0375 (Easy: 0.7299, Hard: 1.3862) | LR: 0.001000
=> Epoch 004 | Train: 1.1262 (Easy: 0.6641, Hard: 1.5949) | Val: 1.0201 (Easy: 0.7174, Hard: 1.3673) | LR: 0.001000
=> Epoch 005 | Train: 1.1300 (Easy: 0.6689, Hard: 1.6061) | Val: 1.0144 (Easy: 0.7110, Hard: 1.3650) | LR: 0.001000
=> Epoch 006 | Train: 1.1135 (Easy: 0.6615, Hard: 1.5913) | Val: 1.0077 (Easy: 0.7076, Hard: 1.3572) | LR: 0.001000
=> Epoch 007 | Train: 1.1058 (Easy: 0.6495, Hard: 1.5748) | Val: 1.0069 (Easy: 0.7075, Hard: 1.3566) | LR: 0.001000
=> Epoch 008 | Train: 1.1048 (Easy: 0.6451, Hard: 1.5778) | Val: 0.9988 (Easy: 0.6985, Hard: 1.3481) | LR: 0.001000
=> Epoch 009 | Train: 1.0940 (Easy: 0.6498, Hard: 1.5474) | Val: 0.9972 (Easy: 0.6996, Hard: 1.3411) | LR: 0.001000
=> Epoch 010 | Train: 1.0890 (Easy: 0.6427, Hard: 1.5465) | Val: 0.9901 (Easy: 0.6953, Hard: 1.3324) | LR: 0.001000
=> Epoch 011 | Train: 1.0777 (Easy: 0.6352, Hard: 1.5224) | Val: 0.9932 (Easy: 0.7046, Hard: 1.3228) | LR: 0.001000
=> Epoch 012 | Train: 1.0726 (Easy: 0.6317, Hard: 1.5226) | Val: 0.9864 (Easy: 0.7008, Hard: 1.3085) | LR: 0.001000
=> Epoch 013 | Train: 1.0709 (Easy: 0.6401, Hard: 1.5136) | Val: 0.9750 (Easy: 0.6881, Hard: 1.3018) | LR: 0.001000
