=> Trial Start: ['dir_sim', 'has_target']

=> Split: 0 | Features: ['dir_sim', 'has_target']
=> Epoch 000 | Train: 1.5573 (Easy: 1.2371, Hard: 1.8815) | Val: 1.1819 (Easy: 0.8769, Hard: 1.4923) | LR: 0.001000
=> Epoch 001 | Train: 1.2581 (Easy: 0.8130, Hard: 1.6996) | Val: 1.0621 (Easy: 0.7315, Hard: 1.4253) | LR: 0.001000
=> Epoch 002 | Train: 1.1883 (Easy: 0.7716, Hard: 1.6004) | Val: 1.0315 (Easy: 0.7000, Hard: 1.3950) | LR: 0.001000
=> Epoch 003 | Train: 1.1564 (Easy: 0.7291, Hard: 1.5735) | Val: 1.0116 (Easy: 0.6865, Hard: 1.3692) | LR: 0.001000
=> Epoch 004 | Train: 1.1463 (Easy: 0.7335, Hard: 1.5465) | Val: 0.9936 (Easy: 0.6741, Hard: 1.3466) | LR: 0.001000
=> Epoch 005 | Train: 1.1259 (Easy: 0.7140, Hard: 1.5335) | Val: 0.9807 (Easy: 0.6574, Hard: 1.3402) | LR: 0.001000
=> Epoch 006 | Train: 1.1175 (Easy: 0.7119, Hard: 1.5277) | Val: 0.9728 (Easy: 0.6537, Hard: 1.3242) | LR: 0.001000
=> Epoch 007 | Train: 1.0984 (Easy: 0.7085, Hard: 1.4907) | Val: 0.9654 (Easy: 0.6549, Hard: 1.3100) | LR: 0.001000
=> Epoch 008 | Train: 1.0940 (Easy: 0.6994, Hard: 1.4921) | Val: 0.9580 (Easy: 0.6467, Hard: 1.3050) | LR: 0.001000
=> Epoch 009 | Train: 1.0804 (Easy: 0.6962, Hard: 1.4644) | Val: 0.9597 (Easy: 0.6583, Hard: 1.2924) | LR: 0.001000
=> Epoch 010 | Train: 1.0831 (Easy: 0.6811, Hard: 1.4942) | Val: 0.9535 (Easy: 0.6525, Hard: 1.2911) | LR: 0.001000
=> Epoch 011 | Train: 1.0703 (Easy: 0.6796, Hard: 1.4684) | Val: 0.9480 (Easy: 0.6522, Hard: 1.2843) | LR: 0.001000
=> Epoch 012 | Train: 1.0724 (Easy: 0.6820, Hard: 1.4652) | Val: 0.9483 (Easy: 0.6587, Hard: 1.2771) | LR: 0.001000
=> Epoch 013 | Train: 1.0677 (Easy: 0.6805, Hard: 1.4644) | Val: 0.9409 (Easy: 0.6446, Hard: 1.2759) | LR: 0.001000
=> Epoch 014 | Train: 1.0656 (Easy: 0.6773, Hard: 1.4613) | Val: 0.9473 (Easy: 0.6727, Hard: 1.2655) | LR: 0.001000
=> Epoch 015 | Train: 1.0491 (Easy: 0.6599, Hard: 1.4416) | Val: 0.9385 (Easy: 0.6548, Hard: 1.2701) | LR: 0.001000
=> Epoch 016 | Train: 1.0466 (Easy: 0.6693, Hard: 1.4291) | Val: 0.9379 (Easy: 0.6520, Hard: 1.2727) | LR: 0.001000
=> Epoch 017 | Train: 1.0394 (Easy: 0.6568, Hard: 1.4286) | Val: 0.9256 (Easy: 0.6309, Hard: 1.2694) | LR: 0.001000
=> Epoch 018 | Train: 1.0389 (Easy: 0.6516, Hard: 1.4414) | Val: 0.9283 (Easy: 0.6424, Hard: 1.2661) | LR: 0.001000
=> Epoch 019 | Train: 1.0307 (Easy: 0.6478, Hard: 1.4196) | Val: 0.9329 (Easy: 0.6742, Hard: 1.2436) | LR: 0.001000
=> Epoch 020 | Train: 1.0275 (Easy: 0.6479, Hard: 1.4202) | Val: 0.9230 (Easy: 0.6296, Hard: 1.2648) | LR: 0.001000
