=> Trial Start: ['dir_sim', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'is_classroom']
=> Epoch 000 | Train: 1.4692 (Easy: 1.0712, Hard: 1.8783) | Val: 1.1611 (Easy: 0.8057, Hard: 1.5524) | LR: 0.001000
=> Epoch 001 | Train: 1.2567 (Easy: 0.8039, Hard: 1.7281) | Val: 1.0506 (Easy: 0.7147, Hard: 1.4186) | LR: 0.001000
=> Epoch 002 | Train: 1.1723 (Easy: 0.7313, Hard: 1.6264) | Val: 1.0267 (Easy: 0.6857, Hard: 1.4041) | LR: 0.001000
=> Epoch 003 | Train: 1.1505 (Easy: 0.6978, Hard: 1.6097) | Val: 1.0135 (Easy: 0.6845, Hard: 1.3808) | LR: 0.001000
=> Epoch 004 | Train: 1.1275 (Easy: 0.6932, Hard: 1.5707) | Val: 1.0061 (Easy: 0.6841, Hard: 1.3712) | LR: 0.001000
=> Epoch 005 | Train: 1.1165 (Easy: 0.6811, Hard: 1.5641) | Val: 1.0007 (Easy: 0.6888, Hard: 1.3573) | LR: 0.001000
=> Epoch 006 | Train: 1.1103 (Easy: 0.6851, Hard: 1.5490) | Val: 0.9907 (Easy: 0.6847, Hard: 1.3423) | LR: 0.001000
=> Epoch 007 | Train: 1.1005 (Easy: 0.6736, Hard: 1.5365) | Val: 0.9862 (Easy: 0.6788, Hard: 1.3400) | LR: 0.001000
=> Epoch 008 | Train: 1.0869 (Easy: 0.6575, Hard: 1.5227) | Val: 0.9785 (Easy: 0.6669, Hard: 1.3391) | LR: 0.001000
=> Epoch 009 | Train: 1.0822 (Easy: 0.6630, Hard: 1.5119) | Val: 0.9712 (Easy: 0.6609, Hard: 1.3284) | LR: 0.001000
=> Epoch 010 | Train: 1.0730 (Easy: 0.6538, Hard: 1.4980) | Val: 0.9556 (Easy: 0.6400, Hard: 1.3153) | LR: 0.001000
=> Epoch 011 | Train: 1.0545 (Easy: 0.6237, Hard: 1.4914) | Val: 0.9375 (Easy: 0.6153, Hard: 1.2937) | LR: 0.001000
=> Epoch 012 | Train: 1.0445 (Easy: 0.6211, Hard: 1.4751) | Val: 0.9376 (Easy: 0.6267, Hard: 1.2703) | LR: 0.001000
=> Epoch 013 | Train: 1.0351 (Easy: 0.5978, Hard: 1.4741) | Val: 0.9222 (Easy: 0.6097, Hard: 1.2643) | LR: 0.001000
=> Epoch 014 | Train: 1.0284 (Easy: 0.6046, Hard: 1.4630) | Val: 0.9056 (Easy: 0.6026, Hard: 1.2256) | LR: 0.001000
=> Epoch 015 | Train: 1.0236 (Easy: 0.5943, Hard: 1.4536) | Val: 0.9290 (Easy: 0.6247, Hard: 1.2593) | LR: 0.001000
=> Epoch 016 | Train: 1.0054 (Easy: 0.5933, Hard: 1.4211) | Val: 0.9195 (Easy: 0.6252, Hard: 1.2275) | LR: 0.001000
=> Epoch 017 | Train: 1.0278 (Easy: 0.6089, Hard: 1.4563) | Val: 0.9105 (Easy: 0.6054, Hard: 1.2422) | LR: 0.001000
=> Epoch 018 | Train: 1.0110 (Easy: 0.5935, Hard: 1.4286) | Val: 0.9052 (Easy: 0.6007, Hard: 1.2384) | LR: 0.001000
=> Epoch 019 | Train: 0.9974 (Easy: 0.5759, Hard: 1.4264) | Val: 0.9010 (Easy: 0.6153, Hard: 1.2036) | LR: 0.001000
=> Epoch 020 | Train: 0.9981 (Easy: 0.5848, Hard: 1.4124) | Val: 0.8958 (Easy: 0.6040, Hard: 1.2138) | LR: 0.001000
=> Epoch 021 | Train: 0.9891 (Easy: 0.5825, Hard: 1.4031) | Val: 0.8841 (Easy: 0.6108, Hard: 1.1777) | LR: 0.001000
=> Epoch 022 | Train: 0.9887 (Easy: 0.5882, Hard: 1.3955) | Val: 0.8814 (Easy: 0.6076, Hard: 1.1892) | LR: 0.001000
=> Epoch 023 | Train: 0.9820 (Easy: 0.5730, Hard: 1.3962) | Val: 0.8799 (Easy: 0.6131, Hard: 1.1705) | LR: 0.001000
=> Epoch 024 | Train: 0.9843 (Easy: 0.5787, Hard: 1.3946) | Val: 0.8707 (Easy: 0.5979, Hard: 1.1655) | LR: 0.001000
=> Epoch 025 | Train: 0.9752 (Easy: 0.5750, Hard: 1.3804) | Val: 0.8584 (Easy: 0.5941, Hard: 1.1478) | LR: 0.001000
=> Epoch 026 | Train: 0.9631 (Easy: 0.5782, Hard: 1.3483) | Val: 0.8442 (Easy: 0.5696, Hard: 1.1528) | LR: 0.001000
=> Epoch 027 | Train: 0.9669 (Easy: 0.5783, Hard: 1.3597) | Val: 0.8528 (Easy: 0.5721, Hard: 1.1673) | LR: 0.001000
=> Epoch 028 | Train: 0.9680 (Easy: 0.5922, Hard: 1.3474) | Val: 0.8378 (Easy: 0.5604, Hard: 1.1455) | LR: 0.001000
=> Epoch 029 | Train: 0.9497 (Easy: 0.5662, Hard: 1.3424) | Val: 0.8289 (Easy: 0.5545, Hard: 1.1356) | LR: 0.001000
=> Epoch 030 | Train: 0.9372 (Easy: 0.5607, Hard: 1.3200) | Val: 0.8288 (Easy: 0.5540, Hard: 1.1331) | LR: 0.001000
=> Epoch 031 | Train: 0.9328 (Easy: 0.5487, Hard: 1.3198) | Val: 0.8249 (Easy: 0.5527, Hard: 1.1254) | LR: 0.001000
=> Epoch 032 | Train: 0.9398 (Easy: 0.5649, Hard: 1.3240) | Val: 0.8310 (Easy: 0.5510, Hard: 1.1475) | LR: 0.001000
=> Epoch 033 | Train: 0.9217 (Easy: 0.5361, Hard: 1.3049) | Val: 0.8253 (Easy: 0.5474, Hard: 1.1272) | LR: 0.001000
=> Epoch 034 | Train: 0.9342 (Easy: 0.5528, Hard: 1.3189) | Val: 0.8256 (Easy: 0.5406, Hard: 1.1466) | LR: 0.001000
=> Epoch 035 | Train: 0.9313 (Easy: 0.5579, Hard: 1.3129) | Val: 0.8219 (Easy: 0.5466, Hard: 1.1296) | LR: 0.001000
=> Epoch 036 | Train: 0.9261 (Easy: 0.5302, Hard: 1.3170) | Val: 0.8188 (Easy: 0.5507, Hard: 1.1199) | LR: 0.001000
=> Epoch 037 | Train: 0.9180 (Easy: 0.5476, Hard: 1.2901) | Val: 0.8125 (Easy: 0.5384, Hard: 1.1179) | LR: 0.001000
=> Epoch 038 | Train: 0.9050 (Easy: 0.5280, Hard: 1.2796) | Val: 0.8115 (Easy: 0.5401, Hard: 1.1138) | LR: 0.001000
=> Epoch 039 | Train: 0.9224 (Easy: 0.5422, Hard: 1.3007) | Val: 0.8147 (Easy: 0.5425, Hard: 1.1194) | LR: 0.001000
=> Epoch 040 | Train: 0.9165 (Easy: 0.5339, Hard: 1.3054) | Val: 0.8099 (Easy: 0.5331, Hard: 1.1158) | LR: 0.001000
=> Epoch 041 | Train: 0.9180 (Easy: 0.5439, Hard: 1.2907) | Val: 0.8117 (Easy: 0.5354, Hard: 1.1207) | LR: 0.001000
=> Epoch 042 | Train: 0.9075 (Easy: 0.5318, Hard: 1.2869) | Val: 0.8119 (Easy: 0.5431, Hard: 1.1082) | LR: 0.001000
=> Epoch 043 | Train: 0.9193 (Easy: 0.5411, Hard: 1.2986) | Val: 0.8069 (Easy: 0.5317, Hard: 1.1107) | LR: 0.001000
=> Epoch 044 | Train: 0.9106 (Easy: 0.5408, Hard: 1.2760) | Val: 0.8095 (Easy: 0.5320, Hard: 1.1127) | LR: 0.001000
=> Epoch 045 | Train: 0.8901 (Easy: 0.5099, Hard: 1.2721) | Val: 0.8084 (Easy: 0.5375, Hard: 1.1077) | LR: 0.001000
=> Epoch 046 | Train: 0.9056 (Easy: 0.5210, Hard: 1.2864) | Val: 0.8047 (Easy: 0.5266, Hard: 1.1084) | LR: 0.001000
=> Epoch 047 | Train: 0.9072 (Easy: 0.5214, Hard: 1.2936) | Val: 0.8083 (Easy: 0.5394, Hard: 1.1024) | LR: 0.001000
=> Epoch 048 | Train: 0.8972 (Easy: 0.5419, Hard: 1.2494) | Val: 0.8086 (Easy: 0.5362, Hard: 1.1051) | LR: 0.001000
=> Epoch 049 | Train: 0.9154 (Easy: 0.5192, Hard: 1.3086) | Val: 0.8036 (Easy: 0.5290, Hard: 1.0990) | LR: 0.001000
=> Epoch 050 | Train: 0.8953 (Easy: 0.5161, Hard: 1.2701) | Val: 0.8053 (Easy: 0.5310, Hard: 1.1039) | LR: 0.001000
