=> Trial Start: ['dir_sim', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'is_common']
=> Epoch 000 | Train: 1.5355 (Easy: 1.1945, Hard: 1.8904) | Val: 1.1515 (Easy: 0.8707, Hard: 1.4649) | LR: 0.001000
=> Epoch 001 | Train: 1.1726 (Easy: 0.7233, Hard: 1.6242) | Val: 1.0078 (Easy: 0.6818, Hard: 1.3467) | LR: 0.001000
=> Epoch 002 | Train: 1.1156 (Easy: 0.6492, Hard: 1.5862) | Val: 0.9957 (Easy: 0.6977, Hard: 1.3180) | LR: 0.001000
=> Epoch 003 | Train: 1.0942 (Easy: 0.6380, Hard: 1.5559) | Val: 0.9652 (Easy: 0.6635, Hard: 1.2994) | LR: 0.001000
=> Epoch 004 | Train: 1.0748 (Easy: 0.6268, Hard: 1.5220) | Val: 0.9515 (Easy: 0.6468, Hard: 1.2904) | LR: 0.001000
=> Epoch 005 | Train: 1.0592 (Easy: 0.6062, Hard: 1.5166) | Val: 0.9422 (Easy: 0.6348, Hard: 1.2810) | LR: 0.001000
=> Epoch 006 | Train: 1.0571 (Easy: 0.6134, Hard: 1.5099) | Val: 0.9378 (Easy: 0.6282, Hard: 1.2786) | LR: 0.001000
=> Epoch 007 | Train: 1.0425 (Easy: 0.6001, Hard: 1.4889) | Val: 0.9291 (Easy: 0.6178, Hard: 1.2819) | LR: 0.001000
=> Epoch 008 | Train: 1.0451 (Easy: 0.5969, Hard: 1.5039) | Val: 0.9224 (Easy: 0.6059, Hard: 1.2738) | LR: 0.001000
=> Epoch 009 | Train: 1.0295 (Easy: 0.5910, Hard: 1.4722) | Val: 0.9172 (Easy: 0.5945, Hard: 1.2697) | LR: 0.001000
=> Epoch 010 | Train: 1.0244 (Easy: 0.5821, Hard: 1.4757) | Val: 0.9106 (Easy: 0.5906, Hard: 1.2637) | LR: 0.001000
=> Epoch 011 | Train: 1.0107 (Easy: 0.5682, Hard: 1.4562) | Val: 0.9101 (Easy: 0.5875, Hard: 1.2665) | LR: 0.001000
