=> Trial Start: ['dir_sim', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'is_entrance']
=> Epoch 000 | Train: 1.2721 (Easy: 0.9062, Hard: 1.6263) | Val: 0.9999 (Easy: 0.6621, Hard: 1.3428) | LR: 0.001000
=> Epoch 001 | Train: 1.1003 (Easy: 0.6433, Hard: 1.5403) | Val: 0.9563 (Easy: 0.5882, Hard: 1.3170) | LR: 0.001000
=> Epoch 002 | Train: 1.0871 (Easy: 0.6210, Hard: 1.5405) | Val: 0.9454 (Easy: 0.5748, Hard: 1.3097) | LR: 0.001000
=> Epoch 003 | Train: 1.0680 (Easy: 0.5966, Hard: 1.5278) | Val: 0.9355 (Easy: 0.5777, Hard: 1.2890) | LR: 0.001000
=> Epoch 004 | Train: 1.0514 (Easy: 0.5992, Hard: 1.4935) | Val: 0.9356 (Easy: 0.5975, Hard: 1.2687) | LR: 0.001000
=> Epoch 005 | Train: 1.0377 (Easy: 0.5879, Hard: 1.4815) | Val: 0.9496 (Easy: 0.6396, Hard: 1.2550) | LR: 0.001000
=> Epoch 006 | Train: 1.0165 (Easy: 0.5760, Hard: 1.4508) | Val: 0.9307 (Easy: 0.6127, Hard: 1.2520) | LR: 0.001000
=> Epoch 007 | Train: 1.0121 (Easy: 0.5770, Hard: 1.4370) | Val: 0.9226 (Easy: 0.6038, Hard: 1.2459) | LR: 0.001000
=> Epoch 008 | Train: 0.9946 (Easy: 0.5671, Hard: 1.4185) | Val: 0.8985 (Easy: 0.5736, Hard: 1.2321) | LR: 0.001000
=> Epoch 009 | Train: 0.9906 (Easy: 0.5653, Hard: 1.4102) | Val: 0.8966 (Easy: 0.5741, Hard: 1.2307) | LR: 0.001000
=> Epoch 010 | Train: 0.9859 (Easy: 0.5595, Hard: 1.4108) | Val: 0.8709 (Easy: 0.5414, Hard: 1.2150) | LR: 0.001000
=> Epoch 011 | Train: 0.9838 (Easy: 0.5528, Hard: 1.4088) | Val: 0.8793 (Easy: 0.5542, Hard: 1.2193) | LR: 0.001000
=> Epoch 012 | Train: 0.9773 (Easy: 0.5537, Hard: 1.4007) | Val: 0.8697 (Easy: 0.5427, Hard: 1.2109) | LR: 0.001000
=> Epoch 013 | Train: 0.9739 (Easy: 0.5526, Hard: 1.3897) | Val: 0.8593 (Easy: 0.5321, Hard: 1.2043) | LR: 0.001000
=> Epoch 014 | Train: 0.9682 (Easy: 0.5481, Hard: 1.3864) | Val: 0.8727 (Easy: 0.5526, Hard: 1.2078) | LR: 0.001000
=> Epoch 015 | Train: 0.9651 (Easy: 0.5421, Hard: 1.3807) | Val: 0.8550 (Easy: 0.5277, Hard: 1.2010) | LR: 0.001000
=> Epoch 016 | Train: 0.9654 (Easy: 0.5533, Hard: 1.3733) | Val: 0.8513 (Easy: 0.5214, Hard: 1.2011) | LR: 0.001000
=> Epoch 017 | Train: 0.9651 (Easy: 0.5421, Hard: 1.3850) | Val: 0.8604 (Easy: 0.5375, Hard: 1.2000) | LR: 0.001000
=> Epoch 018 | Train: 0.9682 (Easy: 0.5430, Hard: 1.3939) | Val: 0.8465 (Easy: 0.5280, Hard: 1.1800) | LR: 0.001000
=> Epoch 019 | Train: 0.9614 (Easy: 0.5443, Hard: 1.3741) | Val: 0.8418 (Easy: 0.5178, Hard: 1.1866) | LR: 0.001000
=> Epoch 020 | Train: 0.9584 (Easy: 0.5483, Hard: 1.3673) | Val: 0.8357 (Easy: 0.5138, Hard: 1.1761) | LR: 0.001000
=> Epoch 021 | Train: 0.9579 (Easy: 0.5386, Hard: 1.3751) | Val: 0.8424 (Easy: 0.5194, Hard: 1.1833) | LR: 0.001000
