=> Trial Start: ['dir_sim', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'is_hallway']
=> Epoch 000 | Train: 1.4888 (Easy: 0.9753, Hard: 1.9841) | Val: 1.2932 (Easy: 0.8474, Hard: 1.7252) | LR: 0.001000
=> Epoch 001 | Train: 1.3254 (Easy: 0.7637, Hard: 1.8712) | Val: 1.0862 (Easy: 0.6141, Hard: 1.5561) | LR: 0.001000
=> Epoch 002 | Train: 1.1854 (Easy: 0.6553, Hard: 1.6981) | Val: 1.0194 (Easy: 0.6018, Hard: 1.4326) | LR: 0.001000
=> Epoch 003 | Train: 1.1010 (Easy: 0.5912, Hard: 1.5901) | Val: 0.9712 (Easy: 0.5538, Hard: 1.3920) | LR: 0.001000
=> Epoch 004 | Train: 1.0630 (Easy: 0.5727, Hard: 1.5357) | Val: 0.9476 (Easy: 0.5396, Hard: 1.3599) | LR: 0.001000
=> Epoch 005 | Train: 1.0507 (Easy: 0.5598, Hard: 1.5207) | Val: 0.9484 (Easy: 0.5364, Hard: 1.3684) | LR: 0.001000
=> Epoch 006 | Train: 1.0443 (Easy: 0.5531, Hard: 1.5147) | Val: 0.9332 (Easy: 0.5279, Hard: 1.3432) | LR: 0.001000
=> Epoch 007 | Train: 1.0444 (Easy: 0.5543, Hard: 1.5144) | Val: 0.9222 (Easy: 0.5077, Hard: 1.3457) | LR: 0.001000
=> Epoch 008 | Train: 1.0226 (Easy: 0.5426, Hard: 1.4845) | Val: 0.9184 (Easy: 0.5218, Hard: 1.3237) | LR: 0.001000
=> Epoch 009 | Train: 1.0087 (Easy: 0.5423, Hard: 1.4654) | Val: 0.9083 (Easy: 0.5222, Hard: 1.3013) | LR: 0.001000
=> Epoch 010 | Train: 1.0120 (Easy: 0.5366, Hard: 1.4734) | Val: 0.8970 (Easy: 0.5247, Hard: 1.2741) | LR: 0.001000
=> Epoch 011 | Train: 0.9914 (Easy: 0.5354, Hard: 1.4304) | Val: 0.8867 (Easy: 0.5221, Hard: 1.2552) | LR: 0.001000
=> Epoch 012 | Train: 0.9856 (Easy: 0.5253, Hard: 1.4347) | Val: 0.8729 (Easy: 0.5116, Hard: 1.2411) | LR: 0.001000
=> Epoch 013 | Train: 0.9857 (Easy: 0.5326, Hard: 1.4270) | Val: 0.8590 (Easy: 0.5041, Hard: 1.2171) | LR: 0.001000
=> Epoch 014 | Train: 0.9749 (Easy: 0.5270, Hard: 1.4099) | Val: 0.8579 (Easy: 0.5123, Hard: 1.2073) | LR: 0.001000
=> Epoch 015 | Train: 0.9782 (Easy: 0.5306, Hard: 1.4105) | Val: 0.8540 (Easy: 0.5185, Hard: 1.1908) | LR: 0.001000
=> Epoch 016 | Train: 0.9580 (Easy: 0.5265, Hard: 1.3741) | Val: 0.8462 (Easy: 0.5195, Hard: 1.1718) | LR: 0.001000
=> Epoch 017 | Train: 0.9531 (Easy: 0.5153, Hard: 1.3789) | Val: 0.8477 (Easy: 0.5174, Hard: 1.1760) | LR: 0.001000
=> Epoch 018 | Train: 0.9589 (Easy: 0.5131, Hard: 1.3996) | Val: 0.8415 (Easy: 0.5069, Hard: 1.1732) | LR: 0.001000
=> Epoch 019 | Train: 0.9563 (Easy: 0.5153, Hard: 1.3796) | Val: 0.8392 (Easy: 0.5108, Hard: 1.1679) | LR: 0.001000
=> Epoch 020 | Train: 0.9370 (Easy: 0.5014, Hard: 1.3636) | Val: 0.8415 (Easy: 0.5186, Hard: 1.1582) | LR: 0.001000
=> Epoch 021 | Train: 0.9426 (Easy: 0.5176, Hard: 1.3569) | Val: 0.8406 (Easy: 0.5185, Hard: 1.1599) | LR: 0.001000
=> Epoch 022 | Train: 0.9502 (Easy: 0.5205, Hard: 1.3646) | Val: 0.8285 (Easy: 0.5095, Hard: 1.1446) | LR: 0.001000
=> Epoch 023 | Train: 0.9416 (Easy: 0.5150, Hard: 1.3579) | Val: 0.8326 (Easy: 0.5146, Hard: 1.1447) | LR: 0.001000
=> Epoch 024 | Train: 0.9403 (Easy: 0.5078, Hard: 1.3719) | Val: 0.8192 (Easy: 0.4942, Hard: 1.1410) | LR: 0.001000
=> Epoch 025 | Train: 0.9359 (Easy: 0.5060, Hard: 1.3564) | Val: 0.8186 (Easy: 0.5018, Hard: 1.1345) | LR: 0.001000
=> Epoch 026 | Train: 0.9390 (Easy: 0.5087, Hard: 1.3594) | Val: 0.8153 (Easy: 0.5037, Hard: 1.1258) | LR: 0.001000
=> Epoch 027 | Train: 0.9378 (Easy: 0.5107, Hard: 1.3608) | Val: 0.8157 (Easy: 0.5083, Hard: 1.1189) | LR: 0.001000
=> Epoch 028 | Train: 0.9264 (Easy: 0.5070, Hard: 1.3367) | Val: 0.8169 (Easy: 0.5148, Hard: 1.1123) | LR: 0.001000
=> Epoch 029 | Train: 0.9242 (Easy: 0.5027, Hard: 1.3404) | Val: 0.8144 (Easy: 0.5089, Hard: 1.1144) | LR: 0.001000
=> Epoch 030 | Train: 0.9210 (Easy: 0.5036, Hard: 1.3377) | Val: 0.8167 (Easy: 0.5107, Hard: 1.1163) | LR: 0.001000
=> Epoch 031 | Train: 0.9142 (Easy: 0.5054, Hard: 1.3186) | Val: 0.8113 (Easy: 0.5137, Hard: 1.1050) | LR: 0.001000
=> Epoch 032 | Train: 0.9105 (Easy: 0.4957, Hard: 1.3164) | Val: 0.8078 (Easy: 0.5018, Hard: 1.1139) | LR: 0.001000
=> Epoch 033 | Train: 0.9139 (Easy: 0.4929, Hard: 1.3261) | Val: 0.8085 (Easy: 0.5060, Hard: 1.1089) | LR: 0.001000
=> Epoch 034 | Train: 0.9123 (Easy: 0.4987, Hard: 1.3218) | Val: 0.8203 (Easy: 0.5289, Hard: 1.1062) | LR: 0.001000
=> Epoch 035 | Train: 0.9175 (Easy: 0.5043, Hard: 1.3264) | Val: 0.7998 (Easy: 0.5066, Hard: 1.0880) | LR: 0.001000
=> Epoch 036 | Train: 0.9085 (Easy: 0.4998, Hard: 1.3082) | Val: 0.8105 (Easy: 0.5162, Hard: 1.0988) | LR: 0.001000
=> Epoch 037 | Train: 0.9221 (Easy: 0.5034, Hard: 1.3375) | Val: 0.8023 (Easy: 0.5062, Hard: 1.0995) | LR: 0.001000
=> Epoch 038 | Train: 0.9065 (Easy: 0.4979, Hard: 1.3134) | Val: 0.8103 (Easy: 0.5167, Hard: 1.1057) | LR: 0.001000
=> Epoch 039 | Train: 0.9157 (Easy: 0.5051, Hard: 1.3181) | Val: 0.8025 (Easy: 0.5072, Hard: 1.0930) | LR: 0.001000
=> Epoch 040 | Train: 0.9044 (Easy: 0.4990, Hard: 1.2998) | Val: 0.8098 (Easy: 0.5262, Hard: 1.0857) | LR: 0.001000
=> Epoch 041 | Train: 0.9100 (Easy: 0.5010, Hard: 1.3104) | Val: 0.8103 (Easy: 0.5229, Hard: 1.0903) | LR: 0.001000
=> Epoch 042 | Train: 0.8995 (Easy: 0.4972, Hard: 1.2993) | Val: 0.8079 (Easy: 0.5298, Hard: 1.0801) | LR: 0.001000
=> Epoch 043 | Train: 0.9030 (Easy: 0.4997, Hard: 1.2941) | Val: 0.8003 (Easy: 0.5166, Hard: 1.0783) | LR: 0.001000
=> Epoch 044 | Train: 0.9047 (Easy: 0.4997, Hard: 1.2986) | Val: 0.7952 (Easy: 0.5049, Hard: 1.0820) | LR: 0.001000
=> Epoch 045 | Train: 0.8962 (Easy: 0.4897, Hard: 1.2926) | Val: 0.8010 (Easy: 0.5074, Hard: 1.0969) | LR: 0.001000
=> Epoch 046 | Train: 0.8994 (Easy: 0.4885, Hard: 1.3011) | Val: 0.7918 (Easy: 0.5040, Hard: 1.0778) | LR: 0.001000
=> Epoch 047 | Train: 0.8963 (Easy: 0.4947, Hard: 1.2833) | Val: 0.8046 (Easy: 0.5265, Hard: 1.0741) | LR: 0.001000
=> Epoch 048 | Train: 0.8900 (Easy: 0.4975, Hard: 1.2746) | Val: 0.7924 (Easy: 0.5092, Hard: 1.0712) | LR: 0.001000
=> Epoch 049 | Train: 0.8942 (Easy: 0.4863, Hard: 1.2983) | Val: 0.7886 (Easy: 0.5025, Hard: 1.0755) | LR: 0.001000
=> Epoch 050 | Train: 0.8957 (Easy: 0.4939, Hard: 1.2875) | Val: 0.8064 (Easy: 0.5311, Hard: 1.0778) | LR: 0.001000
=> Epoch 051 | Train: 0.8966 (Easy: 0.4873, Hard: 1.3008) | Val: 0.7907 (Easy: 0.5025, Hard: 1.0816) | LR: 0.001000
=> Epoch 052 | Train: 0.9006 (Easy: 0.4974, Hard: 1.2946) | Val: 0.7978 (Easy: 0.5086, Hard: 1.0832) | LR: 0.001000
