=> Trial Start: ['dir_sim', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'is_outside']
=> Epoch 000 | Train: 1.2082 (Easy: 0.8437, Hard: 1.5746) | Val: 0.9580 (Easy: 0.5946, Hard: 1.3070) | LR: 0.001000
=> Epoch 001 | Train: 1.0741 (Easy: 0.6063, Hard: 1.5461) | Val: 0.9341 (Easy: 0.5841, Hard: 1.2686) | LR: 0.001000
=> Epoch 002 | Train: 1.0408 (Easy: 0.5957, Hard: 1.4889) | Val: 0.9408 (Easy: 0.6296, Hard: 1.2343) | LR: 0.001000
=> Epoch 003 | Train: 1.0149 (Easy: 0.5792, Hard: 1.4566) | Val: 0.9270 (Easy: 0.6239, Hard: 1.2183) | LR: 0.001000
=> Epoch 004 | Train: 0.9911 (Easy: 0.5639, Hard: 1.4168) | Val: 0.8845 (Easy: 0.5654, Hard: 1.2030) | LR: 0.001000
=> Epoch 005 | Train: 0.9811 (Easy: 0.5512, Hard: 1.4162) | Val: 0.8784 (Easy: 0.5532, Hard: 1.2080) | LR: 0.001000
=> Epoch 006 | Train: 0.9854 (Easy: 0.5517, Hard: 1.4233) | Val: 0.8709 (Easy: 0.5451, Hard: 1.2024) | LR: 0.001000
=> Epoch 007 | Train: 0.9604 (Easy: 0.5418, Hard: 1.3783) | Val: 0.8764 (Easy: 0.5451, Hard: 1.2163) | LR: 0.001000
=> Epoch 008 | Train: 0.9608 (Easy: 0.5410, Hard: 1.3787) | Val: 0.8557 (Easy: 0.5242, Hard: 1.1977) | LR: 0.001000
=> Epoch 009 | Train: 0.9633 (Easy: 0.5448, Hard: 1.3830) | Val: 0.8561 (Easy: 0.5256, Hard: 1.1976) | LR: 0.001000
=> Epoch 010 | Train: 0.9627 (Easy: 0.5396, Hard: 1.3853) | Val: 0.8570 (Easy: 0.5298, Hard: 1.1941) | LR: 0.001000
=> Epoch 011 | Train: 0.9444 (Easy: 0.5313, Hard: 1.3516) | Val: 0.8570 (Easy: 0.5201, Hard: 1.2115) | LR: 0.001000
=> Epoch 012 | Train: 0.9618 (Easy: 0.5432, Hard: 1.3833) | Val: 0.8552 (Easy: 0.5300, Hard: 1.1922) | LR: 0.001000
=> Epoch 013 | Train: 0.9558 (Easy: 0.5339, Hard: 1.3758) | Val: 0.8464 (Easy: 0.5197, Hard: 1.1848) | LR: 0.001000
=> Epoch 014 | Train: 0.9462 (Easy: 0.5386, Hard: 1.3550) | Val: 0.8546 (Easy: 0.5320, Hard: 1.1887) | LR: 0.001000
