=> Trial Start: ['dir_sim', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'is_stair']
=> Epoch 000 | Train: 1.5498 (Easy: 1.2239, Hard: 1.8907) | Val: 1.1965 (Easy: 0.9555, Hard: 1.4630) | LR: 0.001000
=> Epoch 001 | Train: 1.2295 (Easy: 0.8373, Hard: 1.6327) | Val: 1.0510 (Easy: 0.7313, Hard: 1.3658) | LR: 0.001000
=> Epoch 002 | Train: 1.1305 (Easy: 0.6963, Hard: 1.5756) | Val: 1.0219 (Easy: 0.7075, Hard: 1.3286) | LR: 0.001000
=> Epoch 003 | Train: 1.1026 (Easy: 0.6412, Hard: 1.5681) | Val: 0.9895 (Easy: 0.6696, Hard: 1.3069) | LR: 0.001000
=> Epoch 004 | Train: 1.0818 (Easy: 0.6256, Hard: 1.5445) | Val: 0.9819 (Easy: 0.6770, Hard: 1.2911) | LR: 0.001000
=> Epoch 005 | Train: 1.0642 (Easy: 0.6074, Hard: 1.5277) | Val: 0.9683 (Easy: 0.6576, Hard: 1.2902) | LR: 0.001000
=> Epoch 006 | Train: 1.0649 (Easy: 0.6085, Hard: 1.5366) | Val: 0.9467 (Easy: 0.6307, Hard: 1.2829) | LR: 0.001000
=> Epoch 007 | Train: 1.0405 (Easy: 0.5960, Hard: 1.5009) | Val: 0.9378 (Easy: 0.6211, Hard: 1.2816) | LR: 0.001000
=> Epoch 008 | Train: 1.0380 (Easy: 0.5889, Hard: 1.4973) | Val: 0.9342 (Easy: 0.6142, Hard: 1.2799) | LR: 0.001000
=> Epoch 009 | Train: 1.0251 (Easy: 0.5903, Hard: 1.4766) | Val: 0.9270 (Easy: 0.6103, Hard: 1.2748) | LR: 0.001000
=> Epoch 010 | Train: 1.0097 (Easy: 0.5803, Hard: 1.4627) | Val: 0.9101 (Easy: 0.5907, Hard: 1.2638) | LR: 0.001000
=> Epoch 011 | Train: 1.0005 (Easy: 0.5725, Hard: 1.4469) | Val: 0.9298 (Easy: 0.6089, Hard: 1.2907) | LR: 0.001000
=> Epoch 012 | Train: 1.0020 (Easy: 0.5736, Hard: 1.4519) | Val: 0.8964 (Easy: 0.5857, Hard: 1.2450) | LR: 0.001000
=> Epoch 013 | Train: 0.9976 (Easy: 0.5726, Hard: 1.4456) | Val: 0.8928 (Easy: 0.5901, Hard: 1.2352) | LR: 0.001000
=> Epoch 014 | Train: 0.9932 (Easy: 0.5736, Hard: 1.4309) | Val: 0.8770 (Easy: 0.5760, Hard: 1.2154) | LR: 0.001000
=> Epoch 015 | Train: 0.9837 (Easy: 0.5760, Hard: 1.4042) | Val: 0.8779 (Easy: 0.5809, Hard: 1.2103) | LR: 0.001000
