=> Trial Start: ['dir_sim', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'last_node']
=> Epoch 000 | Train: 1.3577 (Easy: 1.0032, Hard: 1.7037) | Val: 1.0157 (Easy: 0.6058, Hard: 1.4348) | LR: 0.001000
=> Epoch 001 | Train: 1.1518 (Easy: 0.6524, Hard: 1.6402) | Val: 0.9825 (Easy: 0.5586, Hard: 1.4179) | LR: 0.001000
=> Epoch 002 | Train: 1.1343 (Easy: 0.6391, Hard: 1.6234) | Val: 0.9646 (Easy: 0.5555, Hard: 1.3852) | LR: 0.001000
=> Epoch 003 | Train: 1.1160 (Easy: 0.6233, Hard: 1.6075) | Val: 0.9651 (Easy: 0.5847, Hard: 1.3551) | LR: 0.001000
=> Epoch 004 | Train: 1.0930 (Easy: 0.6159, Hard: 1.5663) | Val: 0.9630 (Easy: 0.5906, Hard: 1.3486) | LR: 0.001000
=> Epoch 005 | Train: 1.0863 (Easy: 0.6068, Hard: 1.5668) | Val: 0.9620 (Easy: 0.5927, Hard: 1.3490) | LR: 0.001000
=> Epoch 006 | Train: 1.0775 (Easy: 0.5990, Hard: 1.5651) | Val: 0.9483 (Easy: 0.5733, Hard: 1.3487) | LR: 0.001000
=> Epoch 007 | Train: 1.0661 (Easy: 0.6002, Hard: 1.5371) | Val: 0.9509 (Easy: 0.5819, Hard: 1.3475) | LR: 0.001000
=> Epoch 008 | Train: 1.0498 (Easy: 0.5871, Hard: 1.5222) | Val: 0.9187 (Easy: 0.5302, Hard: 1.3421) | LR: 0.001000
=> Epoch 009 | Train: 1.0423 (Easy: 0.5916, Hard: 1.5027) | Val: 0.9268 (Easy: 0.5517, Hard: 1.3367) | LR: 0.001000
=> Epoch 010 | Train: 1.0387 (Easy: 0.5831, Hard: 1.5068) | Val: 0.8985 (Easy: 0.5215, Hard: 1.3146) | LR: 0.001000
=> Epoch 011 | Train: 1.0226 (Easy: 0.5727, Hard: 1.4835) | Val: 0.8876 (Easy: 0.5107, Hard: 1.3047) | LR: 0.001000
=> Epoch 012 | Train: 1.0239 (Easy: 0.5761, Hard: 1.4871) | Val: 0.8807 (Easy: 0.5047, Hard: 1.2954) | LR: 0.001000
=> Epoch 013 | Train: 1.0194 (Easy: 0.5736, Hard: 1.4744) | Val: 0.8713 (Easy: 0.4964, Hard: 1.2805) | LR: 0.001000
=> Epoch 014 | Train: 1.0075 (Easy: 0.5701, Hard: 1.4549) | Val: 0.8645 (Easy: 0.4853, Hard: 1.2753) | LR: 0.001000
=> Epoch 015 | Train: 1.0035 (Easy: 0.5693, Hard: 1.4455) | Val: 0.8701 (Easy: 0.4956, Hard: 1.2816) | LR: 0.001000
=> Epoch 016 | Train: 0.9882 (Easy: 0.5611, Hard: 1.4199) | Val: 0.8588 (Easy: 0.4829, Hard: 1.2665) | LR: 0.001000
=> Epoch 017 | Train: 0.9964 (Easy: 0.5643, Hard: 1.4334) | Val: 0.8584 (Easy: 0.4824, Hard: 1.2573) | LR: 0.001000
=> Epoch 018 | Train: 1.0004 (Easy: 0.5625, Hard: 1.4446) | Val: 0.8582 (Easy: 0.4814, Hard: 1.2576) | LR: 0.001000
=> Epoch 019 | Train: 0.9991 (Easy: 0.5707, Hard: 1.4332) | Val: 0.8518 (Easy: 0.4846, Hard: 1.2453) | LR: 0.001000
=> Epoch 020 | Train: 0.9798 (Easy: 0.5599, Hard: 1.4081) | Val: 0.8590 (Easy: 0.4922, Hard: 1.2563) | LR: 0.001000
=> Epoch 021 | Train: 0.9849 (Easy: 0.5641, Hard: 1.4126) | Val: 0.8508 (Easy: 0.4821, Hard: 1.2461) | LR: 0.001000
=> Epoch 022 | Train: 0.9705 (Easy: 0.5555, Hard: 1.3912) | Val: 0.8561 (Easy: 0.4800, Hard: 1.2527) | LR: 0.001000
=> Epoch 023 | Train: 0.9822 (Easy: 0.5652, Hard: 1.4033) | Val: 0.8506 (Easy: 0.4882, Hard: 1.2349) | LR: 0.001000
=> Epoch 024 | Train: 0.9844 (Easy: 0.5611, Hard: 1.4172) | Val: 0.8494 (Easy: 0.4852, Hard: 1.2370) | LR: 0.001000
=> Epoch 025 | Train: 0.9831 (Easy: 0.5564, Hard: 1.4137) | Val: 0.8483 (Easy: 0.4889, Hard: 1.2284) | LR: 0.001000
=> Epoch 026 | Train: 0.9796 (Easy: 0.5618, Hard: 1.4002) | Val: 0.8452 (Easy: 0.4841, Hard: 1.2302) | LR: 0.001000
=> Epoch 027 | Train: 0.9790 (Easy: 0.5681, Hard: 1.3895) | Val: 0.8425 (Easy: 0.4856, Hard: 1.2213) | LR: 0.001000
=> Epoch 028 | Train: 0.9732 (Easy: 0.5636, Hard: 1.3886) | Val: 0.8456 (Easy: 0.4862, Hard: 1.2276) | LR: 0.001000
=> Epoch 029 | Train: 0.9725 (Easy: 0.5599, Hard: 1.3878) | Val: 0.8378 (Easy: 0.4811, Hard: 1.2134) | LR: 0.001000
=> Epoch 030 | Train: 0.9676 (Easy: 0.5633, Hard: 1.3780) | Val: 0.8371 (Easy: 0.4836, Hard: 1.2137) | LR: 0.001000
=> Epoch 031 | Train: 0.9664 (Easy: 0.5578, Hard: 1.3794) | Val: 0.8418 (Easy: 0.4825, Hard: 1.2252) | LR: 0.001000
=> Epoch 032 | Train: 0.9527 (Easy: 0.5486, Hard: 1.3552) | Val: 0.8350 (Easy: 0.4803, Hard: 1.2103) | LR: 0.001000
=> Epoch 033 | Train: 0.9618 (Easy: 0.5513, Hard: 1.3714) | Val: 0.8355 (Easy: 0.4833, Hard: 1.2103) | LR: 0.001000
