=> Trial Start: ['dir_sim', 'recency']

=> Split: 0 | Features: ['dir_sim', 'recency']
=> Epoch 000 | Train: 1.4350 (Easy: 1.0807, Hard: 1.7726) | Val: 1.0645 (Easy: 0.6730, Hard: 1.4637) | LR: 0.001000
=> Epoch 001 | Train: 1.1533 (Easy: 0.6499, Hard: 1.6361) | Val: 0.9749 (Easy: 0.5842, Hard: 1.3709) | LR: 0.001000
=> Epoch 002 | Train: 1.1142 (Easy: 0.6307, Hard: 1.5926) | Val: 0.9402 (Easy: 0.5548, Hard: 1.3379) | LR: 0.001000
=> Epoch 003 | Train: 1.0775 (Easy: 0.5932, Hard: 1.5586) | Val: 0.9178 (Easy: 0.5598, Hard: 1.2932) | LR: 0.001000
=> Epoch 004 | Train: 1.0626 (Easy: 0.5916, Hard: 1.5303) | Val: 0.8910 (Easy: 0.5222, Hard: 1.2815) | LR: 0.001000
=> Epoch 005 | Train: 1.0461 (Easy: 0.5779, Hard: 1.5122) | Val: 0.8957 (Easy: 0.5453, Hard: 1.2722) | LR: 0.001000
=> Epoch 006 | Train: 1.0503 (Easy: 0.5829, Hard: 1.5238) | Val: 0.8805 (Easy: 0.5190, Hard: 1.2775) | LR: 0.001000
=> Epoch 007 | Train: 1.0204 (Easy: 0.5656, Hard: 1.4777) | Val: 0.8680 (Easy: 0.5159, Hard: 1.2589) | LR: 0.001000
=> Epoch 008 | Train: 1.0046 (Easy: 0.5499, Hard: 1.4703) | Val: 0.8579 (Easy: 0.5088, Hard: 1.2466) | LR: 0.001000
=> Epoch 009 | Train: 1.0027 (Easy: 0.5496, Hard: 1.4639) | Val: 0.8554 (Easy: 0.5067, Hard: 1.2456) | LR: 0.001000
=> Epoch 010 | Train: 0.9895 (Easy: 0.5344, Hard: 1.4590) | Val: 0.8543 (Easy: 0.5046, Hard: 1.2448) | LR: 0.001000
=> Epoch 011 | Train: 0.9785 (Easy: 0.5337, Hard: 1.4227) | Val: 0.8372 (Easy: 0.4862, Hard: 1.2281) | LR: 0.001000
=> Epoch 012 | Train: 0.9721 (Easy: 0.5315, Hard: 1.4161) | Val: 0.8320 (Easy: 0.4853, Hard: 1.2129) | LR: 0.001000
=> Epoch 013 | Train: 0.9771 (Easy: 0.5372, Hard: 1.4158) | Val: 0.8189 (Easy: 0.4765, Hard: 1.1967) | LR: 0.001000
=> Epoch 014 | Train: 0.9592 (Easy: 0.5213, Hard: 1.3949) | Val: 0.8069 (Easy: 0.4685, Hard: 1.1740) | LR: 0.001000
=> Epoch 015 | Train: 0.9580 (Easy: 0.5248, Hard: 1.3839) | Val: 0.8101 (Easy: 0.4743, Hard: 1.1735) | LR: 0.001000
=> Epoch 016 | Train: 0.9495 (Easy: 0.5292, Hard: 1.3615) | Val: 0.8049 (Easy: 0.4686, Hard: 1.1673) | LR: 0.001000
=> Epoch 017 | Train: 0.9458 (Easy: 0.5216, Hard: 1.3550) | Val: 0.8069 (Easy: 0.4678, Hard: 1.1710) | LR: 0.001000
