=> Trial Start: ['dir_sim', 'recency', 'betweenness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'betweenness']
=> Epoch 000 | Train: 1.1992 (Easy: 0.8349, Hard: 1.5461) | Val: 0.9186 (Easy: 0.5460, Hard: 1.2880) | LR: 0.001000
=> Epoch 001 | Train: 1.0391 (Easy: 0.5803, Hard: 1.4931) | Val: 0.8792 (Easy: 0.5189, Hard: 1.2427) | LR: 0.001000
=> Epoch 002 | Train: 1.0165 (Easy: 0.5802, Hard: 1.4564) | Val: 0.8550 (Easy: 0.5194, Hard: 1.1948) | LR: 0.001000
=> Epoch 003 | Train: 0.9944 (Easy: 0.5685, Hard: 1.4251) | Val: 0.8459 (Easy: 0.5217, Hard: 1.1773) | LR: 0.001000
=> Epoch 004 | Train: 0.9896 (Easy: 0.5703, Hard: 1.4140) | Val: 0.8422 (Easy: 0.5255, Hard: 1.1659) | LR: 0.001000
=> Epoch 005 | Train: 0.9710 (Easy: 0.5550, Hard: 1.3973) | Val: 0.8512 (Easy: 0.5491, Hard: 1.1597) | LR: 0.001000
=> Epoch 006 | Train: 0.9686 (Easy: 0.5541, Hard: 1.3985) | Val: 0.8365 (Easy: 0.5281, Hard: 1.1600) | LR: 0.001000
=> Epoch 007 | Train: 0.9593 (Easy: 0.5471, Hard: 1.3849) | Val: 0.8302 (Easy: 0.5210, Hard: 1.1566) | LR: 0.001000
=> Epoch 008 | Train: 0.9584 (Easy: 0.5445, Hard: 1.3885) | Val: 0.8168 (Easy: 0.5021, Hard: 1.1501) | LR: 0.001000
=> Epoch 009 | Train: 0.9503 (Easy: 0.5436, Hard: 1.3684) | Val: 0.8201 (Easy: 0.5156, Hard: 1.1441) | LR: 0.001000
=> Epoch 010 | Train: 0.9505 (Easy: 0.5366, Hard: 1.3792) | Val: 0.8092 (Easy: 0.5047, Hard: 1.1373) | LR: 0.001000
=> Epoch 011 | Train: 0.9423 (Easy: 0.5335, Hard: 1.3619) | Val: 0.8181 (Easy: 0.5202, Hard: 1.1356) | LR: 0.001000
=> Epoch 012 | Train: 0.9419 (Easy: 0.5275, Hard: 1.3730) | Val: 0.7989 (Easy: 0.4915, Hard: 1.1331) | LR: 0.001000
=> Epoch 013 | Train: 0.9283 (Easy: 0.5163, Hard: 1.3542) | Val: 0.7860 (Easy: 0.4747, Hard: 1.1256) | LR: 0.001000
=> Epoch 014 | Train: 0.9228 (Easy: 0.5187, Hard: 1.3423) | Val: 0.7862 (Easy: 0.4790, Hard: 1.1209) | LR: 0.001000
=> Epoch 015 | Train: 0.9218 (Easy: 0.5106, Hard: 1.3447) | Val: 0.7834 (Easy: 0.4816, Hard: 1.1151) | LR: 0.001000
=> Epoch 016 | Train: 0.9121 (Easy: 0.5143, Hard: 1.3187) | Val: 0.7797 (Easy: 0.4759, Hard: 1.1133) | LR: 0.001000
=> Epoch 017 | Train: 0.9027 (Easy: 0.5067, Hard: 1.3106) | Val: 0.7697 (Easy: 0.4728, Hard: 1.0955) | LR: 0.001000
=> Epoch 018 | Train: 0.8931 (Easy: 0.5034, Hard: 1.2961) | Val: 0.7699 (Easy: 0.4715, Hard: 1.0962) | LR: 0.001000
=> Epoch 019 | Train: 0.8838 (Easy: 0.4999, Hard: 1.2718) | Val: 0.7574 (Easy: 0.4661, Hard: 1.0737) | LR: 0.001000
=> Epoch 020 | Train: 0.8744 (Easy: 0.5009, Hard: 1.2517) | Val: 0.7516 (Easy: 0.4716, Hard: 1.0567) | LR: 0.001000
=> Epoch 021 | Train: 0.8705 (Easy: 0.5006, Hard: 1.2515) | Val: 0.7442 (Easy: 0.4581, Hard: 1.0495) | LR: 0.001000
=> Epoch 022 | Train: 0.8695 (Easy: 0.4987, Hard: 1.2471) | Val: 0.7416 (Easy: 0.4637, Hard: 1.0375) | LR: 0.001000
=> Epoch 023 | Train: 0.8588 (Easy: 0.4983, Hard: 1.2263) | Val: 0.7374 (Easy: 0.4646, Hard: 1.0285) | LR: 0.001000
=> Epoch 024 | Train: 0.8526 (Easy: 0.4935, Hard: 1.2173) | Val: 0.7356 (Easy: 0.4714, Hard: 1.0202) | LR: 0.001000
=> Epoch 025 | Train: 0.8624 (Easy: 0.4938, Hard: 1.2338) | Val: 0.7411 (Easy: 0.4659, Hard: 1.0326) | LR: 0.001000
=> Epoch 026 | Train: 0.8382 (Easy: 0.4881, Hard: 1.1932) | Val: 0.7290 (Easy: 0.4664, Hard: 1.0095) | LR: 0.001000
=> Epoch 027 | Train: 0.8506 (Easy: 0.4985, Hard: 1.2073) | Val: 0.7322 (Easy: 0.4674, Hard: 1.0126) | LR: 0.001000
=> Epoch 028 | Train: 0.8436 (Easy: 0.4994, Hard: 1.1920) | Val: 0.7278 (Easy: 0.4694, Hard: 1.0025) | LR: 0.001000
=> Epoch 029 | Train: 0.8386 (Easy: 0.4928, Hard: 1.1891) | Val: 0.7321 (Easy: 0.4630, Hard: 1.0138) | LR: 0.001000
