=> Trial Start: ['dir_sim', 'recency', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'closeness']
=> Epoch 000 | Train: 1.2114 (Easy: 0.8429, Hard: 1.5619) | Val: 0.9227 (Easy: 0.5529, Hard: 1.2894) | LR: 0.001000
=> Epoch 001 | Train: 1.0414 (Easy: 0.5839, Hard: 1.4926) | Val: 0.8797 (Easy: 0.5220, Hard: 1.2433) | LR: 0.001000
=> Epoch 002 | Train: 1.0203 (Easy: 0.5825, Hard: 1.4608) | Val: 0.8574 (Easy: 0.5245, Hard: 1.1950) | LR: 0.001000
=> Epoch 003 | Train: 0.9980 (Easy: 0.5716, Hard: 1.4275) | Val: 0.8505 (Easy: 0.5279, Hard: 1.1806) | LR: 0.001000
=> Epoch 004 | Train: 0.9906 (Easy: 0.5717, Hard: 1.4135) | Val: 0.8525 (Easy: 0.5384, Hard: 1.1744) | LR: 0.001000
=> Epoch 005 | Train: 0.9756 (Easy: 0.5575, Hard: 1.4021) | Val: 0.8556 (Easy: 0.5505, Hard: 1.1674) | LR: 0.001000
=> Epoch 006 | Train: 0.9755 (Easy: 0.5576, Hard: 1.4072) | Val: 0.8454 (Easy: 0.5363, Hard: 1.1687) | LR: 0.001000
=> Epoch 007 | Train: 0.9634 (Easy: 0.5523, Hard: 1.3880) | Val: 0.8366 (Easy: 0.5261, Hard: 1.1639) | LR: 0.001000
=> Epoch 008 | Train: 0.9637 (Easy: 0.5471, Hard: 1.3952) | Val: 0.8236 (Easy: 0.5060, Hard: 1.1590) | LR: 0.001000
=> Epoch 009 | Train: 0.9564 (Easy: 0.5473, Hard: 1.3770) | Val: 0.8241 (Easy: 0.5185, Hard: 1.1500) | LR: 0.001000
=> Epoch 010 | Train: 0.9549 (Easy: 0.5406, Hard: 1.3846) | Val: 0.8123 (Easy: 0.5053, Hard: 1.1423) | LR: 0.001000
=> Epoch 011 | Train: 0.9488 (Easy: 0.5369, Hard: 1.3716) | Val: 0.8219 (Easy: 0.5244, Hard: 1.1376) | LR: 0.001000
=> Epoch 012 | Train: 0.9456 (Easy: 0.5344, Hard: 1.3734) | Val: 0.8057 (Easy: 0.4990, Hard: 1.1377) | LR: 0.001000
