=> Trial Start: ['dir_sim', 'recency', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'ct']
=> Epoch 000 | Train: 1.3804 (Easy: 1.0619, Hard: 1.6809) | Val: 1.0280 (Easy: 0.6657, Hard: 1.3879) | LR: 0.001000
=> Epoch 001 | Train: 1.1068 (Easy: 0.6325, Hard: 1.5642) | Val: 0.9623 (Easy: 0.6020, Hard: 1.3216) | LR: 0.001000
=> Epoch 002 | Train: 1.0622 (Easy: 0.6058, Hard: 1.5097) | Val: 0.9231 (Easy: 0.5725, Hard: 1.2765) | LR: 0.001000
=> Epoch 003 | Train: 1.0333 (Easy: 0.5794, Hard: 1.4808) | Val: 0.8995 (Easy: 0.5559, Hard: 1.2517) | LR: 0.001000
=> Epoch 004 | Train: 1.0130 (Easy: 0.5753, Hard: 1.4393) | Val: 0.9092 (Easy: 0.5806, Hard: 1.2466) | LR: 0.001000
=> Epoch 005 | Train: 1.0059 (Easy: 0.5693, Hard: 1.4385) | Val: 0.8864 (Easy: 0.5583, Hard: 1.2250) | LR: 0.001000
=> Epoch 006 | Train: 1.0110 (Easy: 0.5703, Hard: 1.4452) | Val: 0.8527 (Easy: 0.5086, Hard: 1.2147) | LR: 0.001000
=> Epoch 007 | Train: 0.9768 (Easy: 0.5482, Hard: 1.3982) | Val: 0.8604 (Easy: 0.5299, Hard: 1.2085) | LR: 0.001000
=> Epoch 008 | Train: 0.9795 (Easy: 0.5530, Hard: 1.4083) | Val: 0.8502 (Easy: 0.5178, Hard: 1.2030) | LR: 0.001000
=> Epoch 009 | Train: 0.9686 (Easy: 0.5447, Hard: 1.3868) | Val: 0.8401 (Easy: 0.5062, Hard: 1.1958) | LR: 0.001000
=> Epoch 010 | Train: 0.9670 (Easy: 0.5350, Hard: 1.4033) | Val: 0.8350 (Easy: 0.4951, Hard: 1.1985) | LR: 0.001000
=> Epoch 011 | Train: 0.9509 (Easy: 0.5360, Hard: 1.3611) | Val: 0.8399 (Easy: 0.5033, Hard: 1.2011) | LR: 0.001000
=> Epoch 012 | Train: 0.9521 (Easy: 0.5392, Hard: 1.3650) | Val: 0.8378 (Easy: 0.5040, Hard: 1.1975) | LR: 0.001000
=> Epoch 013 | Train: 0.9446 (Easy: 0.5325, Hard: 1.3560) | Val: 0.8325 (Easy: 0.4921, Hard: 1.1991) | LR: 0.001000
=> Epoch 014 | Train: 0.9343 (Easy: 0.5253, Hard: 1.3456) | Val: 0.8303 (Easy: 0.4908, Hard: 1.2023) | LR: 0.001000
