=> Trial Start: ['dir_sim', 'recency', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'degree']
=> Epoch 000 | Train: 1.2860 (Easy: 0.9230, Hard: 1.6347) | Val: 0.9708 (Easy: 0.5963, Hard: 1.3398) | LR: 0.001000
=> Epoch 001 | Train: 1.0715 (Easy: 0.5977, Hard: 1.5354) | Val: 0.9002 (Easy: 0.5537, Hard: 1.2433) | LR: 0.001000
=> Epoch 002 | Train: 1.0408 (Easy: 0.5964, Hard: 1.4867) | Val: 0.8731 (Easy: 0.5357, Hard: 1.2104) | LR: 0.001000
=> Epoch 003 | Train: 1.0158 (Easy: 0.5799, Hard: 1.4524) | Val: 0.8573 (Easy: 0.5466, Hard: 1.1707) | LR: 0.001000
=> Epoch 004 | Train: 1.0058 (Easy: 0.5807, Hard: 1.4305) | Val: 0.8462 (Easy: 0.5342, Hard: 1.1617) | LR: 0.001000
=> Epoch 005 | Train: 1.0005 (Easy: 0.5672, Hard: 1.4352) | Val: 0.8605 (Easy: 0.5476, Hard: 1.1742) | LR: 0.001000
=> Epoch 006 | Train: 0.9965 (Easy: 0.5682, Hard: 1.4311) | Val: 0.8481 (Easy: 0.5510, Hard: 1.1513) | LR: 0.001000
=> Epoch 007 | Train: 0.9796 (Easy: 0.5620, Hard: 1.4062) | Val: 0.8357 (Easy: 0.5358, Hard: 1.1465) | LR: 0.001000
=> Epoch 008 | Train: 0.9808 (Easy: 0.5541, Hard: 1.4189) | Val: 0.8245 (Easy: 0.5164, Hard: 1.1462) | LR: 0.001000
=> Epoch 009 | Train: 0.9716 (Easy: 0.5570, Hard: 1.3911) | Val: 0.8344 (Easy: 0.5397, Hard: 1.1441) | LR: 0.001000
=> Epoch 010 | Train: 0.9646 (Easy: 0.5482, Hard: 1.3936) | Val: 0.8162 (Easy: 0.5186, Hard: 1.1322) | LR: 0.001000
=> Epoch 011 | Train: 0.9649 (Easy: 0.5445, Hard: 1.3869) | Val: 0.8252 (Easy: 0.5215, Hard: 1.1485) | LR: 0.001000
=> Epoch 012 | Train: 0.9555 (Easy: 0.5425, Hard: 1.3805) | Val: 0.8049 (Easy: 0.5031, Hard: 1.1323) | LR: 0.001000
=> Epoch 013 | Train: 0.9402 (Easy: 0.5249, Hard: 1.3634) | Val: 0.7949 (Easy: 0.4873, Hard: 1.1300) | LR: 0.001000
=> Epoch 014 | Train: 0.9385 (Easy: 0.5230, Hard: 1.3644) | Val: 0.7954 (Easy: 0.4888, Hard: 1.1314) | LR: 0.001000
=> Epoch 015 | Train: 0.9365 (Easy: 0.5190, Hard: 1.3622) | Val: 0.7965 (Easy: 0.4805, Hard: 1.1452) | LR: 0.001000
=> Epoch 016 | Train: 0.9233 (Easy: 0.5176, Hard: 1.3369) | Val: 0.7879 (Easy: 0.4725, Hard: 1.1320) | LR: 0.001000
=> Epoch 017 | Train: 0.9060 (Easy: 0.5170, Hard: 1.3001) | Val: 0.7687 (Easy: 0.4692, Hard: 1.0919) | LR: 0.001000
=> Epoch 018 | Train: 0.8960 (Easy: 0.5045, Hard: 1.2928) | Val: 0.7730 (Easy: 0.4690, Hard: 1.0958) | LR: 0.001000
=> Epoch 019 | Train: 0.8920 (Easy: 0.5040, Hard: 1.2750) | Val: 0.7583 (Easy: 0.4584, Hard: 1.0805) | LR: 0.001000
=> Epoch 020 | Train: 0.8788 (Easy: 0.5058, Hard: 1.2472) | Val: 0.7505 (Easy: 0.4631, Hard: 1.0595) | LR: 0.001000
=> Epoch 021 | Train: 0.8855 (Easy: 0.5085, Hard: 1.2643) | Val: 0.7481 (Easy: 0.4577, Hard: 1.0559) | LR: 0.001000
=> Epoch 022 | Train: 0.8775 (Easy: 0.5021, Hard: 1.2528) | Val: 0.7556 (Easy: 0.4625, Hard: 1.0608) | LR: 0.001000
=> Epoch 023 | Train: 0.8682 (Easy: 0.5029, Hard: 1.2357) | Val: 0.7610 (Easy: 0.4828, Hard: 1.0522) | LR: 0.001000
=> Epoch 024 | Train: 0.8571 (Easy: 0.4985, Hard: 1.2155) | Val: 0.7462 (Easy: 0.4680, Hard: 1.0410) | LR: 0.001000
=> Epoch 025 | Train: 0.8776 (Easy: 0.5012, Hard: 1.2482) | Val: 0.7601 (Easy: 0.4744, Hard: 1.0572) | LR: 0.001000
=> Epoch 026 | Train: 0.8515 (Easy: 0.4941, Hard: 1.2094) | Val: 0.7487 (Easy: 0.4694, Hard: 1.0393) | LR: 0.001000
=> Epoch 027 | Train: 0.8630 (Easy: 0.5043, Hard: 1.2184) | Val: 0.7432 (Easy: 0.4638, Hard: 1.0339) | LR: 0.001000
=> Epoch 028 | Train: 0.8579 (Easy: 0.5061, Hard: 1.2090) | Val: 0.7453 (Easy: 0.4741, Hard: 1.0279) | LR: 0.001000
=> Epoch 029 | Train: 0.8537 (Easy: 0.5039, Hard: 1.2055) | Val: 0.7465 (Easy: 0.4640, Hard: 1.0374) | LR: 0.001000
=> Epoch 030 | Train: 0.8381 (Easy: 0.5008, Hard: 1.1761) | Val: 0.7447 (Easy: 0.4650, Hard: 1.0312) | LR: 0.001000
=> Epoch 031 | Train: 0.8417 (Easy: 0.5029, Hard: 1.1784) | Val: 0.7425 (Easy: 0.4684, Hard: 1.0246) | LR: 0.001000
=> Epoch 032 | Train: 0.8297 (Easy: 0.4870, Hard: 1.1712) | Val: 0.7428 (Easy: 0.4682, Hard: 1.0257) | LR: 0.001000
=> Epoch 033 | Train: 0.8289 (Easy: 0.4948, Hard: 1.1576) | Val: 0.7309 (Easy: 0.4652, Hard: 1.0087) | LR: 0.001000
=> Epoch 034 | Train: 0.8388 (Easy: 0.4976, Hard: 1.1802) | Val: 0.7379 (Easy: 0.4660, Hard: 1.0190) | LR: 0.001000
=> Epoch 035 | Train: 0.8293 (Easy: 0.4901, Hard: 1.1618) | Val: 0.7338 (Easy: 0.4669, Hard: 1.0091) | LR: 0.001000
=> Epoch 036 | Train: 0.8249 (Easy: 0.4893, Hard: 1.1558) | Val: 0.7419 (Easy: 0.4726, Hard: 1.0170) | LR: 0.001000
=> Epoch 037 | Train: 0.8190 (Easy: 0.4908, Hard: 1.1459) | Val: 0.7389 (Easy: 0.4702, Hard: 1.0152) | LR: 0.001000
=> Epoch 038 | Train: 0.8267 (Easy: 0.4897, Hard: 1.1599) | Val: 0.7635 (Easy: 0.5015, Hard: 1.0270) | LR: 0.001000
=> Epoch 039 | Train: 0.8368 (Easy: 0.5012, Hard: 1.1716) | Val: 0.7425 (Easy: 0.4787, Hard: 1.0085) | LR: 0.001000
=> Epoch 040 | Train: 0.8222 (Easy: 0.4875, Hard: 1.1506) | Val: 0.7450 (Easy: 0.4814, Hard: 1.0129) | LR: 0.001000
=> Epoch 041 | Train: 0.8290 (Easy: 0.4878, Hard: 1.1646) | Val: 0.7415 (Easy: 0.4846, Hard: 1.0038) | LR: 0.001000
=> Epoch 042 | Train: 0.8104 (Easy: 0.4958, Hard: 1.1244) | Val: 0.7481 (Easy: 0.4894, Hard: 1.0088) | LR: 0.001000
