=> Trial Start: ['dir_sim', 'recency', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'exit_dist']
=> Epoch 000 | Train: 1.3225 (Easy: 0.9496, Hard: 1.6718) | Val: 0.9872 (Easy: 0.5904, Hard: 1.3853) | LR: 0.001000
=> Epoch 001 | Train: 1.0632 (Easy: 0.5808, Hard: 1.5307) | Val: 0.9201 (Easy: 0.5441, Hard: 1.2923) | LR: 0.001000
=> Epoch 002 | Train: 1.0271 (Easy: 0.5811, Hard: 1.4684) | Val: 0.8827 (Easy: 0.5191, Hard: 1.2544) | LR: 0.001000
=> Epoch 003 | Train: 1.0025 (Easy: 0.5485, Hard: 1.4575) | Val: 0.8756 (Easy: 0.5154, Hard: 1.2452) | LR: 0.001000
=> Epoch 004 | Train: 0.9988 (Easy: 0.5494, Hard: 1.4442) | Val: 0.8651 (Easy: 0.5032, Hard: 1.2398) | LR: 0.001000
=> Epoch 005 | Train: 0.9743 (Easy: 0.5389, Hard: 1.4067) | Val: 0.8695 (Easy: 0.5291, Hard: 1.2203) | LR: 0.001000
=> Epoch 006 | Train: 0.9764 (Easy: 0.5458, Hard: 1.4069) | Val: 0.8484 (Easy: 0.4854, Hard: 1.2341) | LR: 0.001000
=> Epoch 007 | Train: 0.9626 (Easy: 0.5301, Hard: 1.3894) | Val: 0.8483 (Easy: 0.5084, Hard: 1.2064) | LR: 0.001000
=> Epoch 008 | Train: 0.9541 (Easy: 0.5325, Hard: 1.3780) | Val: 0.8371 (Easy: 0.4866, Hard: 1.2126) | LR: 0.001000
=> Epoch 009 | Train: 0.9450 (Easy: 0.5337, Hard: 1.3501) | Val: 0.8257 (Easy: 0.4892, Hard: 1.1858) | LR: 0.001000
=> Epoch 010 | Train: 0.9387 (Easy: 0.5234, Hard: 1.3534) | Val: 0.8240 (Easy: 0.5033, Hard: 1.1677) | LR: 0.001000
=> Epoch 011 | Train: 0.9273 (Easy: 0.5218, Hard: 1.3302) | Val: 0.8233 (Easy: 0.5073, Hard: 1.1672) | LR: 0.001000
=> Epoch 012 | Train: 0.9194 (Easy: 0.5158, Hard: 1.3265) | Val: 0.8155 (Easy: 0.5053, Hard: 1.1545) | LR: 0.001000
=> Epoch 013 | Train: 0.9139 (Easy: 0.5175, Hard: 1.3092) | Val: 0.7921 (Easy: 0.4848, Hard: 1.1299) | LR: 0.001000
=> Epoch 014 | Train: 0.9084 (Easy: 0.5143, Hard: 1.3040) | Val: 0.7864 (Easy: 0.4743, Hard: 1.1356) | LR: 0.001000
=> Epoch 015 | Train: 0.8966 (Easy: 0.5057, Hard: 1.2886) | Val: 0.7898 (Easy: 0.4988, Hard: 1.1152) | LR: 0.001000
=> Epoch 016 | Train: 0.8949 (Easy: 0.5133, Hard: 1.2766) | Val: 0.7854 (Easy: 0.4936, Hard: 1.1102) | LR: 0.001000
=> Epoch 017 | Train: 0.8966 (Easy: 0.5033, Hard: 1.2963) | Val: 0.7606 (Easy: 0.4608, Hard: 1.1001) | LR: 0.001000
=> Epoch 018 | Train: 0.8841 (Easy: 0.5095, Hard: 1.2615) | Val: 0.7662 (Easy: 0.4793, Hard: 1.0914) | LR: 0.001000
=> Epoch 019 | Train: 0.8748 (Easy: 0.4937, Hard: 1.2510) | Val: 0.7472 (Easy: 0.4603, Hard: 1.0669) | LR: 0.001000
=> Epoch 020 | Train: 0.8700 (Easy: 0.5020, Hard: 1.2349) | Val: 0.7417 (Easy: 0.4546, Hard: 1.0642) | LR: 0.001000
=> Epoch 021 | Train: 0.8620 (Easy: 0.4938, Hard: 1.2323) | Val: 0.7309 (Easy: 0.4473, Hard: 1.0480) | LR: 0.001000
=> Epoch 022 | Train: 0.8530 (Easy: 0.4898, Hard: 1.2157) | Val: 0.7379 (Easy: 0.4590, Hard: 1.0578) | LR: 0.001000
=> Epoch 023 | Train: 0.8592 (Easy: 0.4886, Hard: 1.2378) | Val: 0.7241 (Easy: 0.4443, Hard: 1.0412) | LR: 0.001000
=> Epoch 024 | Train: 0.8448 (Easy: 0.4865, Hard: 1.2115) | Val: 0.7337 (Easy: 0.4556, Hard: 1.0518) | LR: 0.001000
=> Epoch 025 | Train: 0.8532 (Easy: 0.4912, Hard: 1.2139) | Val: 0.7218 (Easy: 0.4463, Hard: 1.0361) | LR: 0.001000
=> Epoch 026 | Train: 0.8396 (Easy: 0.4851, Hard: 1.2001) | Val: 0.7282 (Easy: 0.4564, Hard: 1.0440) | LR: 0.001000
=> Epoch 027 | Train: 0.8459 (Easy: 0.4884, Hard: 1.2151) | Val: 0.7243 (Easy: 0.4510, Hard: 1.0375) | LR: 0.001000
=> Epoch 028 | Train: 0.8465 (Easy: 0.4862, Hard: 1.2086) | Val: 0.7271 (Easy: 0.4552, Hard: 1.0412) | LR: 0.001000
=> Epoch 029 | Train: 0.8436 (Easy: 0.4881, Hard: 1.2109) | Val: 0.7156 (Easy: 0.4461, Hard: 1.0254) | LR: 0.001000
=> Epoch 030 | Train: 0.8352 (Easy: 0.4827, Hard: 1.1974) | Val: 0.7140 (Easy: 0.4420, Hard: 1.0299) | LR: 0.001000
=> Epoch 031 | Train: 0.8222 (Easy: 0.4801, Hard: 1.1708) | Val: 0.7069 (Easy: 0.4350, Hard: 1.0250) | LR: 0.001000
=> Epoch 032 | Train: 0.8197 (Easy: 0.4809, Hard: 1.1637) | Val: 0.6981 (Easy: 0.4272, Hard: 1.0127) | LR: 0.001000
=> Epoch 033 | Train: 0.8154 (Easy: 0.4771, Hard: 1.1678) | Val: 0.6944 (Easy: 0.4219, Hard: 1.0095) | LR: 0.001000
=> Epoch 034 | Train: 0.8152 (Easy: 0.4800, Hard: 1.1651) | Val: 0.7013 (Easy: 0.4302, Hard: 1.0126) | LR: 0.001000
=> Epoch 035 | Train: 0.8198 (Easy: 0.4681, Hard: 1.1829) | Val: 0.6913 (Easy: 0.4198, Hard: 1.0040) | LR: 0.001000
=> Epoch 036 | Train: 0.8085 (Easy: 0.4709, Hard: 1.1511) | Val: 0.7225 (Easy: 0.4566, Hard: 1.0344) | LR: 0.001000
=> Epoch 037 | Train: 0.8037 (Easy: 0.4669, Hard: 1.1494) | Val: 0.7025 (Easy: 0.4359, Hard: 1.0132) | LR: 0.001000
=> Epoch 038 | Train: 0.8081 (Easy: 0.4706, Hard: 1.1586) | Val: 0.7019 (Easy: 0.4330, Hard: 1.0081) | LR: 0.001000
=> Epoch 039 | Train: 0.8054 (Easy: 0.4743, Hard: 1.1449) | Val: 0.6961 (Easy: 0.4257, Hard: 0.9991) | LR: 0.001000
=> Epoch 040 | Train: 0.8022 (Easy: 0.4563, Hard: 1.1573) | Val: 0.7203 (Easy: 0.4443, Hard: 1.0341) | LR: 0.001000
=> Epoch 041 | Train: 0.8085 (Easy: 0.4577, Hard: 1.1646) | Val: 0.7035 (Easy: 0.4394, Hard: 1.0067) | LR: 0.001000
=> Epoch 042 | Train: 0.7982 (Easy: 0.4633, Hard: 1.1439) | Val: 0.7090 (Easy: 0.4453, Hard: 1.0120) | LR: 0.001000
=> Epoch 043 | Train: 0.7965 (Easy: 0.4619, Hard: 1.1382) | Val: 0.6930 (Easy: 0.4331, Hard: 0.9895) | LR: 0.001000
=> Epoch 044 | Train: 0.7983 (Easy: 0.4622, Hard: 1.1395) | Val: 0.6959 (Easy: 0.4311, Hard: 0.9966) | LR: 0.001000
=> Epoch 045 | Train: 0.8020 (Easy: 0.4532, Hard: 1.1588) | Val: 0.7001 (Easy: 0.4348, Hard: 0.9995) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 046 | Train: 0.7815 (Easy: 0.4588, Hard: 1.1074) | Val: 0.6906 (Easy: 0.4238, Hard: 0.9891) | LR: 0.000500
=> Epoch 047 | Train: 0.7777 (Easy: 0.4522, Hard: 1.1039) | Val: 0.6819 (Easy: 0.4207, Hard: 0.9733) | LR: 0.000500
=> Epoch 048 | Train: 0.7832 (Easy: 0.4548, Hard: 1.1149) | Val: 0.6846 (Easy: 0.4199, Hard: 0.9805) | LR: 0.000500
