=> Trial Start: ['dir_sim', 'recency', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_dead']
=> Epoch 000 | Train: 1.4221 (Easy: 1.0899, Hard: 1.7401) | Val: 1.0730 (Easy: 0.7093, Hard: 1.4314) | LR: 0.001000
=> Epoch 001 | Train: 1.1409 (Easy: 0.6386, Hard: 1.6300) | Val: 0.9653 (Easy: 0.5859, Hard: 1.3439) | LR: 0.001000
=> Epoch 002 | Train: 1.0992 (Easy: 0.6083, Hard: 1.5816) | Val: 0.9307 (Easy: 0.5592, Hard: 1.3129) | LR: 0.001000
=> Epoch 003 | Train: 1.0739 (Easy: 0.5754, Hard: 1.5672) | Val: 0.9243 (Easy: 0.5599, Hard: 1.3066) | LR: 0.001000
=> Epoch 004 | Train: 1.0623 (Easy: 0.5748, Hard: 1.5440) | Val: 0.9170 (Easy: 0.5524, Hard: 1.3022) | LR: 0.001000
=> Epoch 005 | Train: 1.0438 (Easy: 0.5721, Hard: 1.5141) | Val: 0.8987 (Easy: 0.5367, Hard: 1.2860) | LR: 0.001000
=> Epoch 006 | Train: 1.0470 (Easy: 0.5678, Hard: 1.5255) | Val: 0.9081 (Easy: 0.5406, Hard: 1.2998) | LR: 0.001000
=> Epoch 007 | Train: 1.0315 (Easy: 0.5538, Hard: 1.5097) | Val: 0.8971 (Easy: 0.5401, Hard: 1.2812) | LR: 0.001000
=> Epoch 008 | Train: 1.0263 (Easy: 0.5551, Hard: 1.5053) | Val: 0.9050 (Easy: 0.5517, Hard: 1.2896) | LR: 0.001000
=> Epoch 009 | Train: 1.0102 (Easy: 0.5458, Hard: 1.4772) | Val: 0.8846 (Easy: 0.5332, Hard: 1.2685) | LR: 0.001000
=> Epoch 010 | Train: 1.0116 (Easy: 0.5353, Hard: 1.4917) | Val: 0.8926 (Easy: 0.5424, Hard: 1.2773) | LR: 0.001000
=> Epoch 011 | Train: 0.9996 (Easy: 0.5328, Hard: 1.4656) | Val: 0.8847 (Easy: 0.5309, Hard: 1.2757) | LR: 0.001000
=> Epoch 012 | Train: 1.0108 (Easy: 0.5395, Hard: 1.4828) | Val: 0.8855 (Easy: 0.5287, Hard: 1.2778) | LR: 0.001000
=> Epoch 013 | Train: 0.9879 (Easy: 0.5304, Hard: 1.4453) | Val: 0.8615 (Easy: 0.5068, Hard: 1.2530) | LR: 0.001000
=> Epoch 014 | Train: 0.9814 (Easy: 0.5327, Hard: 1.4344) | Val: 0.8702 (Easy: 0.5124, Hard: 1.2649) | LR: 0.001000
=> Epoch 015 | Train: 0.9780 (Easy: 0.5151, Hard: 1.4396) | Val: 0.8767 (Easy: 0.5321, Hard: 1.2582) | LR: 0.001000
=> Epoch 016 | Train: 0.9664 (Easy: 0.5213, Hard: 1.4014) | Val: 0.8602 (Easy: 0.5152, Hard: 1.2418) | LR: 0.001000
=> Epoch 017 | Train: 0.9632 (Easy: 0.5210, Hard: 1.3973) | Val: 0.8318 (Easy: 0.4951, Hard: 1.1994) | LR: 0.001000
=> Epoch 018 | Train: 0.9412 (Easy: 0.5134, Hard: 1.3656) | Val: 0.8358 (Easy: 0.5013, Hard: 1.1986) | LR: 0.001000
=> Epoch 019 | Train: 0.9463 (Easy: 0.5151, Hard: 1.3648) | Val: 0.8252 (Easy: 0.4938, Hard: 1.1874) | LR: 0.001000
=> Epoch 020 | Train: 0.9409 (Easy: 0.5187, Hard: 1.3485) | Val: 0.8163 (Easy: 0.4898, Hard: 1.1761) | LR: 0.001000
=> Epoch 021 | Train: 0.9406 (Easy: 0.5225, Hard: 1.3505) | Val: 0.8109 (Easy: 0.4853, Hard: 1.1634) | LR: 0.001000
=> Epoch 022 | Train: 0.9349 (Easy: 0.5181, Hard: 1.3428) | Val: 0.8192 (Easy: 0.5016, Hard: 1.1596) | LR: 0.001000
=> Epoch 023 | Train: 0.9187 (Easy: 0.5129, Hard: 1.3151) | Val: 0.8073 (Easy: 0.4945, Hard: 1.1492) | LR: 0.001000
=> Epoch 024 | Train: 0.9157 (Easy: 0.5155, Hard: 1.3040) | Val: 0.8087 (Easy: 0.4973, Hard: 1.1492) | LR: 0.001000
=> Epoch 025 | Train: 0.9210 (Easy: 0.5059, Hard: 1.3197) | Val: 0.8056 (Easy: 0.4963, Hard: 1.1368) | LR: 0.001000
=> Epoch 026 | Train: 0.9311 (Easy: 0.5149, Hard: 1.3321) | Val: 0.8069 (Easy: 0.4874, Hard: 1.1522) | LR: 0.001000
=> Epoch 027 | Train: 0.9110 (Easy: 0.5076, Hard: 1.3025) | Val: 0.8007 (Easy: 0.4825, Hard: 1.1408) | LR: 0.001000
=> Epoch 028 | Train: 0.9196 (Easy: 0.5132, Hard: 1.3072) | Val: 0.7990 (Easy: 0.4927, Hard: 1.1322) | LR: 0.001000
=> Epoch 029 | Train: 0.8997 (Easy: 0.5164, Hard: 1.2720) | Val: 0.8031 (Easy: 0.4917, Hard: 1.1372) | LR: 0.001000
=> Epoch 030 | Train: 0.9037 (Easy: 0.5083, Hard: 1.2814) | Val: 0.7880 (Easy: 0.4844, Hard: 1.1144) | LR: 0.001000
=> Epoch 031 | Train: 0.8899 (Easy: 0.5057, Hard: 1.2557) | Val: 0.7948 (Easy: 0.4886, Hard: 1.1307) | LR: 0.001000
=> Epoch 032 | Train: 0.8958 (Easy: 0.5020, Hard: 1.2748) | Val: 0.7946 (Easy: 0.4954, Hard: 1.1191) | LR: 0.001000
=> Epoch 033 | Train: 0.8897 (Easy: 0.5090, Hard: 1.2527) | Val: 0.7873 (Easy: 0.4868, Hard: 1.1159) | LR: 0.001000
=> Epoch 034 | Train: 0.8949 (Easy: 0.5059, Hard: 1.2674) | Val: 0.7889 (Easy: 0.4875, Hard: 1.1140) | LR: 0.001000
=> Epoch 035 | Train: 0.8918 (Easy: 0.4988, Hard: 1.2698) | Val: 0.7867 (Easy: 0.4939, Hard: 1.1008) | LR: 0.001000
=> Epoch 036 | Train: 0.8868 (Easy: 0.4992, Hard: 1.2555) | Val: 0.7834 (Easy: 0.4861, Hard: 1.1052) | LR: 0.001000
=> Epoch 037 | Train: 0.8864 (Easy: 0.5081, Hard: 1.2512) | Val: 0.7893 (Easy: 0.4856, Hard: 1.1172) | LR: 0.001000
=> Epoch 038 | Train: 0.8906 (Easy: 0.5040, Hard: 1.2647) | Val: 0.7869 (Easy: 0.4838, Hard: 1.1146) | LR: 0.001000
=> Epoch 039 | Train: 0.8996 (Easy: 0.5089, Hard: 1.2727) | Val: 0.7890 (Easy: 0.4872, Hard: 1.1119) | LR: 0.001000
=> Epoch 040 | Train: 0.8835 (Easy: 0.4971, Hard: 1.2451) | Val: 0.7873 (Easy: 0.4793, Hard: 1.1157) | LR: 0.001000
=> Epoch 041 | Train: 0.8774 (Easy: 0.5012, Hard: 1.2396) | Val: 0.7866 (Easy: 0.4905, Hard: 1.1044) | LR: 0.001000
=> Epoch 042 | Train: 0.8761 (Easy: 0.5032, Hard: 1.2344) | Val: 0.7818 (Easy: 0.4881, Hard: 1.1001) | LR: 0.001000
=> Epoch 043 | Train: 0.8947 (Easy: 0.5072, Hard: 1.2614) | Val: 0.7786 (Easy: 0.4841, Hard: 1.0973) | LR: 0.001000
=> Epoch 044 | Train: 0.8716 (Easy: 0.5024, Hard: 1.2235) | Val: 0.7733 (Easy: 0.4778, Hard: 1.0949) | LR: 0.001000
=> Epoch 045 | Train: 0.8676 (Easy: 0.5010, Hard: 1.2209) | Val: 0.7744 (Easy: 0.4818, Hard: 1.0914) | LR: 0.001000
=> Epoch 046 | Train: 0.8642 (Easy: 0.4965, Hard: 1.2101) | Val: 0.7724 (Easy: 0.4858, Hard: 1.0834) | LR: 0.001000
=> Epoch 047 | Train: 0.8747 (Easy: 0.5012, Hard: 1.2315) | Val: 0.7775 (Easy: 0.4936, Hard: 1.0855) | LR: 0.001000
=> Epoch 048 | Train: 0.8809 (Easy: 0.5163, Hard: 1.2295) | Val: 0.7716 (Easy: 0.4910, Hard: 1.0807) | LR: 0.001000
=> Epoch 049 | Train: 0.8668 (Easy: 0.5000, Hard: 1.2196) | Val: 0.7704 (Easy: 0.4819, Hard: 1.0896) | LR: 0.001000
=> Epoch 050 | Train: 0.8603 (Easy: 0.5049, Hard: 1.1951) | Val: 0.7685 (Easy: 0.4777, Hard: 1.0876) | LR: 0.001000
=> Epoch 051 | Train: 0.8669 (Easy: 0.5027, Hard: 1.2085) | Val: 0.7644 (Easy: 0.4734, Hard: 1.0796) | LR: 0.001000
=> Epoch 052 | Train: 0.8609 (Easy: 0.4999, Hard: 1.2056) | Val: 0.7705 (Easy: 0.4782, Hard: 1.0864) | LR: 0.001000
=> Epoch 053 | Train: 0.8682 (Easy: 0.4990, Hard: 1.2201) | Val: 0.7581 (Easy: 0.4734, Hard: 1.0669) | LR: 0.001000
=> Epoch 054 | Train: 0.8664 (Easy: 0.5078, Hard: 1.2142) | Val: 0.7639 (Easy: 0.4814, Hard: 1.0717) | LR: 0.001000
=> Epoch 055 | Train: 0.8558 (Easy: 0.4960, Hard: 1.2005) | Val: 0.7601 (Easy: 0.4815, Hard: 1.0641) | LR: 0.001000
=> Epoch 056 | Train: 0.8542 (Easy: 0.5024, Hard: 1.1897) | Val: 0.7595 (Easy: 0.4791, Hard: 1.0669) | LR: 0.001000
=> Epoch 057 | Train: 0.8675 (Easy: 0.5053, Hard: 1.2126) | Val: 0.7597 (Easy: 0.4768, Hard: 1.0690) | LR: 0.001000
=> Epoch 058 | Train: 0.8620 (Easy: 0.5041, Hard: 1.1927) | Val: 0.7580 (Easy: 0.4804, Hard: 1.0634) | LR: 0.001000
=> Epoch 059 | Train: 0.8526 (Easy: 0.5042, Hard: 1.1774) | Val: 0.7610 (Easy: 0.4836, Hard: 1.0636) | LR: 0.001000
=> Epoch 060 | Train: 0.8533 (Easy: 0.5031, Hard: 1.1853) | Val: 0.7583 (Easy: 0.4846, Hard: 1.0555) | LR: 0.001000
=> Epoch 061 | Train: 0.8418 (Easy: 0.4993, Hard: 1.1624) | Val: 0.7636 (Easy: 0.4816, Hard: 1.0670) | LR: 0.001000
=> Epoch 062 | Train: 0.8493 (Easy: 0.5024, Hard: 1.1858) | Val: 0.7679 (Easy: 0.4798, Hard: 1.0804) | LR: 0.001000
=> Epoch 063 | Train: 0.8415 (Easy: 0.5026, Hard: 1.1610) | Val: 0.7580 (Easy: 0.4823, Hard: 1.0557) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 064 | Train: 0.8537 (Easy: 0.5080, Hard: 1.1800) | Val: 0.7544 (Easy: 0.4629, Hard: 1.0706) | LR: 0.000500
=> Epoch 065 | Train: 0.8449 (Easy: 0.5053, Hard: 1.1668) | Val: 0.7567 (Easy: 0.4654, Hard: 1.0730) | LR: 0.000500
=> Epoch 066 | Train: 0.8323 (Easy: 0.4929, Hard: 1.1552) | Val: 0.7637 (Easy: 0.4598, Hard: 1.0877) | LR: 0.000500
=> Epoch 067 | Train: 0.8371 (Easy: 0.4996, Hard: 1.1599) | Val: 0.7566 (Easy: 0.4635, Hard: 1.0725) | LR: 0.000500
=> Epoch 068 | Train: 0.8360 (Easy: 0.4970, Hard: 1.1564) | Val: 0.7608 (Easy: 0.4575, Hard: 1.0851) | LR: 0.000500
=> Epoch 069 | Train: 0.8350 (Easy: 0.5059, Hard: 1.1508) | Val: 0.7489 (Easy: 0.4586, Hard: 1.0643) | LR: 0.000500
=> Epoch 070 | Train: 0.8360 (Easy: 0.4872, Hard: 1.1739) | Val: 0.7501 (Easy: 0.4587, Hard: 1.0673) | LR: 0.000500
=> Epoch 071 | Train: 0.8296 (Easy: 0.4970, Hard: 1.1471) | Val: 0.7556 (Easy: 0.4693, Hard: 1.0654) | LR: 0.000500
=> Epoch 072 | Train: 0.8277 (Easy: 0.5005, Hard: 1.1481) | Val: 0.7560 (Easy: 0.4663, Hard: 1.0679) | LR: 0.000500
=> Epoch 073 | Train: 0.8322 (Easy: 0.5057, Hard: 1.1385) | Val: 0.7529 (Easy: 0.4621, Hard: 1.0677) | LR: 0.000500
=> Epoch 074 | Train: 0.8310 (Easy: 0.5050, Hard: 1.1407) | Val: 0.7450 (Easy: 0.4634, Hard: 1.0539) | LR: 0.000500
=> Epoch 075 | Train: 0.8369 (Easy: 0.5071, Hard: 1.1506) | Val: 0.7496 (Easy: 0.4649, Hard: 1.0562) | LR: 0.000500
=> Epoch 076 | Train: 0.8221 (Easy: 0.5036, Hard: 1.1305) | Val: 0.7451 (Easy: 0.4571, Hard: 1.0535) | LR: 0.000500
=> Epoch 077 | Train: 0.8308 (Easy: 0.5108, Hard: 1.1440) | Val: 0.7471 (Easy: 0.4553, Hard: 1.0617) | LR: 0.000500
=> Epoch 078 | Train: 0.8254 (Easy: 0.4905, Hard: 1.1526) | Val: 0.7464 (Easy: 0.4566, Hard: 1.0567) | LR: 0.000500
=> Epoch 079 | Train: 0.8407 (Easy: 0.5047, Hard: 1.1576) | Val: 0.7506 (Easy: 0.4651, Hard: 1.0585) | LR: 0.000500
=> Epoch 080 | Train: 0.8186 (Easy: 0.5017, Hard: 1.1232) | Val: 0.7448 (Easy: 0.4701, Hard: 1.0422) | LR: 0.000500
=> Epoch 081 | Train: 0.8228 (Easy: 0.4968, Hard: 1.1296) | Val: 0.7451 (Easy: 0.4589, Hard: 1.0542) | LR: 0.000500
=> Epoch 082 | Train: 0.8369 (Easy: 0.5061, Hard: 1.1539) | Val: 0.7449 (Easy: 0.4602, Hard: 1.0498) | LR: 0.000500
=> Epoch 083 | Train: 0.8304 (Easy: 0.5101, Hard: 1.1420) | Val: 0.7396 (Easy: 0.4600, Hard: 1.0445) | LR: 0.000500
=> Epoch 084 | Train: 0.8206 (Easy: 0.4962, Hard: 1.1310) | Val: 0.7411 (Easy: 0.4615, Hard: 1.0442) | LR: 0.000500
=> Epoch 085 | Train: 0.8097 (Easy: 0.4916, Hard: 1.1102) | Val: 0.7412 (Easy: 0.4579, Hard: 1.0491) | LR: 0.000500
=> Epoch 086 | Train: 0.8334 (Easy: 0.5008, Hard: 1.1499) | Val: 0.7413 (Easy: 0.4556, Hard: 1.0502) | LR: 0.000500
=> Epoch 087 | Train: 0.8242 (Easy: 0.4977, Hard: 1.1401) | Val: 0.7429 (Easy: 0.4582, Hard: 1.0519) | LR: 0.000500
=> Epoch 088 | Train: 0.8246 (Easy: 0.5027, Hard: 1.1315) | Val: 0.7411 (Easy: 0.4578, Hard: 1.0486) | LR: 0.000500
=> Epoch 089 | Train: 0.8198 (Easy: 0.4915, Hard: 1.1360) | Val: 0.7404 (Easy: 0.4575, Hard: 1.0473) | LR: 0.000500
=> Epoch 090 | Train: 0.8340 (Easy: 0.5133, Hard: 1.1380) | Val: 0.7388 (Easy: 0.4579, Hard: 1.0405) | LR: 0.000500
