=> Trial Start: ['dir_sim', 'recency', 'has_target']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target']
=> Epoch 000 | Train: 1.4137 (Easy: 1.0914, Hard: 1.7224) | Val: 1.0174 (Easy: 0.6512, Hard: 1.3951) | LR: 0.001000
=> Epoch 001 | Train: 1.1309 (Easy: 0.6625, Hard: 1.5724) | Val: 0.9192 (Easy: 0.5538, Hard: 1.2952) | LR: 0.001000
=> Epoch 002 | Train: 1.0784 (Easy: 0.6436, Hard: 1.4884) | Val: 0.8737 (Easy: 0.5176, Hard: 1.2485) | LR: 0.001000
=> Epoch 003 | Train: 1.0457 (Easy: 0.5996, Hard: 1.4662) | Val: 0.8470 (Easy: 0.5001, Hard: 1.2148) | LR: 0.001000
=> Epoch 004 | Train: 1.0227 (Easy: 0.6011, Hard: 1.4194) | Val: 0.8288 (Easy: 0.4899, Hard: 1.1884) | LR: 0.001000
=> Epoch 005 | Train: 0.9949 (Easy: 0.5824, Hard: 1.3868) | Val: 0.8169 (Easy: 0.4875, Hard: 1.1682) | LR: 0.001000
=> Epoch 006 | Train: 1.0096 (Easy: 0.5913, Hard: 1.4063) | Val: 0.8067 (Easy: 0.4727, Hard: 1.1613) | LR: 0.001000
=> Epoch 007 | Train: 0.9700 (Easy: 0.5684, Hard: 1.3550) | Val: 0.7971 (Easy: 0.4746, Hard: 1.1383) | LR: 0.001000
=> Epoch 008 | Train: 0.9565 (Easy: 0.5594, Hard: 1.3394) | Val: 0.7860 (Easy: 0.4638, Hard: 1.1261) | LR: 0.001000
=> Epoch 009 | Train: 0.9521 (Easy: 0.5602, Hard: 1.3251) | Val: 0.7762 (Easy: 0.4554, Hard: 1.1137) | LR: 0.001000
=> Epoch 010 | Train: 0.9529 (Easy: 0.5499, Hard: 1.3361) | Val: 0.7783 (Easy: 0.4639, Hard: 1.1059) | LR: 0.001000
=> Epoch 011 | Train: 0.9313 (Easy: 0.5485, Hard: 1.2948) | Val: 0.7769 (Easy: 0.4660, Hard: 1.1012) | LR: 0.001000
=> Epoch 012 | Train: 0.9318 (Easy: 0.5374, Hard: 1.3111) | Val: 0.7657 (Easy: 0.4570, Hard: 1.0868) | LR: 0.001000
=> Epoch 013 | Train: 0.9152 (Easy: 0.5332, Hard: 1.2815) | Val: 0.7624 (Easy: 0.4553, Hard: 1.0816) | LR: 0.001000
=> Epoch 014 | Train: 0.9128 (Easy: 0.5403, Hard: 1.2779) | Val: 0.7554 (Easy: 0.4502, Hard: 1.0723) | LR: 0.001000
=> Epoch 015 | Train: 0.8985 (Easy: 0.5227, Hard: 1.2610) | Val: 0.7559 (Easy: 0.4502, Hard: 1.0732) | LR: 0.001000
=> Epoch 016 | Train: 0.9098 (Easy: 0.5357, Hard: 1.2667) | Val: 0.7595 (Easy: 0.4508, Hard: 1.0826) | LR: 0.001000
=> Epoch 017 | Train: 0.8965 (Easy: 0.5325, Hard: 1.2493) | Val: 0.7453 (Easy: 0.4371, Hard: 1.0720) | LR: 0.001000
=> Epoch 018 | Train: 0.9038 (Easy: 0.5406, Hard: 1.2557) | Val: 0.7473 (Easy: 0.4428, Hard: 1.0654) | LR: 0.001000
=> Epoch 019 | Train: 0.8912 (Easy: 0.5283, Hard: 1.2439) | Val: 0.7425 (Easy: 0.4362, Hard: 1.0593) | LR: 0.001000
=> Epoch 020 | Train: 0.8860 (Easy: 0.5321, Hard: 1.2293) | Val: 0.7422 (Easy: 0.4389, Hard: 1.0575) | LR: 0.001000
=> Epoch 021 | Train: 0.8817 (Easy: 0.5254, Hard: 1.2338) | Val: 0.7352 (Easy: 0.4336, Hard: 1.0499) | LR: 0.001000
=> Epoch 022 | Train: 0.8763 (Easy: 0.5278, Hard: 1.2170) | Val: 0.7300 (Easy: 0.4276, Hard: 1.0450) | LR: 0.001000
=> Epoch 023 | Train: 0.8755 (Easy: 0.5267, Hard: 1.2136) | Val: 0.7310 (Easy: 0.4335, Hard: 1.0432) | LR: 0.001000
=> Epoch 024 | Train: 0.8703 (Easy: 0.5140, Hard: 1.2171) | Val: 0.7278 (Easy: 0.4342, Hard: 1.0320) | LR: 0.001000
=> Epoch 025 | Train: 0.8771 (Easy: 0.5233, Hard: 1.2176) | Val: 0.7278 (Easy: 0.4279, Hard: 1.0414) | LR: 0.001000
=> Epoch 026 | Train: 0.8664 (Easy: 0.5210, Hard: 1.2003) | Val: 0.7237 (Easy: 0.4261, Hard: 1.0345) | LR: 0.001000
=> Epoch 027 | Train: 0.8644 (Easy: 0.5222, Hard: 1.1900) | Val: 0.7325 (Easy: 0.4353, Hard: 1.0388) | LR: 0.001000
=> Epoch 028 | Train: 0.8575 (Easy: 0.5192, Hard: 1.1846) | Val: 0.7281 (Easy: 0.4320, Hard: 1.0390) | LR: 0.001000
