=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness']
=> Epoch 000 | Train: 1.2960 (Easy: 0.9607, Hard: 1.6140) | Val: 0.9260 (Easy: 0.5774, Hard: 1.2657) | LR: 0.001000
=> Epoch 001 | Train: 1.0156 (Easy: 0.5939, Hard: 1.4234) | Val: 0.8473 (Easy: 0.5195, Hard: 1.1746) | LR: 0.001000
=> Epoch 002 | Train: 0.9739 (Easy: 0.5739, Hard: 1.3589) | Val: 0.8053 (Easy: 0.5044, Hard: 1.1081) | LR: 0.001000
=> Epoch 003 | Train: 0.9500 (Easy: 0.5678, Hard: 1.3208) | Val: 0.7822 (Easy: 0.4949, Hard: 1.0741) | LR: 0.001000
=> Epoch 004 | Train: 0.9333 (Easy: 0.5591, Hard: 1.2932) | Val: 0.7663 (Easy: 0.4755, Hard: 1.0643) | LR: 0.001000
=> Epoch 005 | Train: 0.9251 (Easy: 0.5511, Hard: 1.2911) | Val: 0.7615 (Easy: 0.4844, Hard: 1.0444) | LR: 0.001000
=> Epoch 006 | Train: 0.9196 (Easy: 0.5573, Hard: 1.2738) | Val: 0.7557 (Easy: 0.4770, Hard: 1.0411) | LR: 0.001000
=> Epoch 007 | Train: 0.9047 (Easy: 0.5450, Hard: 1.2582) | Val: 0.7514 (Easy: 0.4767, Hard: 1.0324) | LR: 0.001000
=> Epoch 008 | Train: 0.9006 (Easy: 0.5396, Hard: 1.2563) | Val: 0.7570 (Easy: 0.4814, Hard: 1.0411) | LR: 0.001000
=> Epoch 009 | Train: 0.8890 (Easy: 0.5440, Hard: 1.2290) | Val: 0.7564 (Easy: 0.4797, Hard: 1.0402) | LR: 0.001000
=> Epoch 010 | Train: 0.8847 (Easy: 0.5317, Hard: 1.2338) | Val: 0.7444 (Easy: 0.4731, Hard: 1.0242) | LR: 0.001000
=> Epoch 011 | Train: 0.8626 (Easy: 0.5205, Hard: 1.2013) | Val: 0.7268 (Easy: 0.4589, Hard: 1.0015) | LR: 0.001000
=> Epoch 012 | Train: 0.8698 (Easy: 0.5181, Hard: 1.2178) | Val: 0.7399 (Easy: 0.4784, Hard: 1.0079) | LR: 0.001000
=> Epoch 013 | Train: 0.8668 (Easy: 0.5230, Hard: 1.2056) | Val: 0.7274 (Easy: 0.4748, Hard: 0.9788) | LR: 0.001000
=> Epoch 014 | Train: 0.8526 (Easy: 0.5159, Hard: 1.1873) | Val: 0.7210 (Easy: 0.4720, Hard: 0.9711) | LR: 0.001000
=> Epoch 015 | Train: 0.8363 (Easy: 0.5058, Hard: 1.1659) | Val: 0.7205 (Easy: 0.4829, Hard: 0.9567) | LR: 0.001000
=> Epoch 016 | Train: 0.8394 (Easy: 0.5139, Hard: 1.1545) | Val: 0.7086 (Easy: 0.4659, Hard: 0.9493) | LR: 0.001000
=> Epoch 017 | Train: 0.8348 (Easy: 0.5087, Hard: 1.1567) | Val: 0.7056 (Easy: 0.4732, Hard: 0.9334) | LR: 0.001000
=> Epoch 018 | Train: 0.8247 (Easy: 0.5062, Hard: 1.1406) | Val: 0.7085 (Easy: 0.4751, Hard: 0.9386) | LR: 0.001000
