=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'closeness']
=> Epoch 000 | Train: 1.2747 (Easy: 0.9571, Hard: 1.5758) | Val: 0.9347 (Easy: 0.5852, Hard: 1.2787) | LR: 0.001000
=> Epoch 001 | Train: 1.0171 (Easy: 0.5923, Hard: 1.4238) | Val: 0.8589 (Easy: 0.5136, Hard: 1.2064) | LR: 0.001000
=> Epoch 002 | Train: 0.9766 (Easy: 0.5715, Hard: 1.3659) | Val: 0.8142 (Easy: 0.4909, Hard: 1.1416) | LR: 0.001000
=> Epoch 003 | Train: 0.9582 (Easy: 0.5671, Hard: 1.3423) | Val: 0.7969 (Easy: 0.4779, Hard: 1.1263) | LR: 0.001000
=> Epoch 004 | Train: 0.9397 (Easy: 0.5589, Hard: 1.3074) | Val: 0.7757 (Easy: 0.4715, Hard: 1.0857) | LR: 0.001000
=> Epoch 005 | Train: 0.9316 (Easy: 0.5575, Hard: 1.3003) | Val: 0.7713 (Easy: 0.4697, Hard: 1.0836) | LR: 0.001000
=> Epoch 006 | Train: 0.9298 (Easy: 0.5600, Hard: 1.2926) | Val: 0.7636 (Easy: 0.4660, Hard: 1.0710) | LR: 0.001000
=> Epoch 007 | Train: 0.9149 (Easy: 0.5452, Hard: 1.2817) | Val: 0.7614 (Easy: 0.4716, Hard: 1.0596) | LR: 0.001000
=> Epoch 008 | Train: 0.9012 (Easy: 0.5462, Hard: 1.2505) | Val: 0.7572 (Easy: 0.4706, Hard: 1.0535) | LR: 0.001000
=> Epoch 009 | Train: 0.8995 (Easy: 0.5496, Hard: 1.2439) | Val: 0.7503 (Easy: 0.4672, Hard: 1.0426) | LR: 0.001000
=> Epoch 010 | Train: 0.8892 (Easy: 0.5353, Hard: 1.2395) | Val: 0.7561 (Easy: 0.4752, Hard: 1.0464) | LR: 0.001000
=> Epoch 011 | Train: 0.8790 (Easy: 0.5293, Hard: 1.2208) | Val: 0.7456 (Easy: 0.4719, Hard: 1.0289) | LR: 0.001000
=> Epoch 012 | Train: 0.8769 (Easy: 0.5268, Hard: 1.2232) | Val: 0.7362 (Easy: 0.4725, Hard: 1.0055) | LR: 0.001000
=> Epoch 013 | Train: 0.8689 (Easy: 0.5190, Hard: 1.2140) | Val: 0.7307 (Easy: 0.4747, Hard: 0.9906) | LR: 0.001000
=> Epoch 014 | Train: 0.8545 (Easy: 0.5232, Hard: 1.1818) | Val: 0.7343 (Easy: 0.4812, Hard: 0.9875) | LR: 0.001000
=> Epoch 015 | Train: 0.8485 (Easy: 0.5159, Hard: 1.1791) | Val: 0.7247 (Easy: 0.4740, Hard: 0.9759) | LR: 0.001000
=> Epoch 016 | Train: 0.8459 (Easy: 0.5187, Hard: 1.1574) | Val: 0.7220 (Easy: 0.4796, Hard: 0.9631) | LR: 0.001000
=> Epoch 017 | Train: 0.8385 (Easy: 0.5192, Hard: 1.1563) | Val: 0.7095 (Easy: 0.4633, Hard: 0.9572) | LR: 0.001000
=> Epoch 018 | Train: 0.8440 (Easy: 0.5119, Hard: 1.1702) | Val: 0.7280 (Easy: 0.4879, Hard: 0.9656) | LR: 0.001000
=> Epoch 019 | Train: 0.8379 (Easy: 0.5158, Hard: 1.1526) | Val: 0.7169 (Easy: 0.4874, Hard: 0.9423) | LR: 0.001000
=> Epoch 020 | Train: 0.8274 (Easy: 0.5152, Hard: 1.1333) | Val: 0.6962 (Easy: 0.4659, Hard: 0.9231) | LR: 0.001000
=> Epoch 021 | Train: 0.8281 (Easy: 0.5077, Hard: 1.1377) | Val: 0.6837 (Easy: 0.4552, Hard: 0.9117) | LR: 0.001000
=> Epoch 022 | Train: 0.8168 (Easy: 0.5131, Hard: 1.1119) | Val: 0.7205 (Easy: 0.5071, Hard: 0.9285) | LR: 0.001000
=> Epoch 023 | Train: 0.8054 (Easy: 0.4982, Hard: 1.0995) | Val: 0.6811 (Easy: 0.4642, Hard: 0.9006) | LR: 0.001000
=> Epoch 024 | Train: 0.8056 (Easy: 0.5025, Hard: 1.1047) | Val: 0.6785 (Easy: 0.4728, Hard: 0.8837) | LR: 0.001000
=> Epoch 025 | Train: 0.8074 (Easy: 0.5105, Hard: 1.0983) | Val: 0.6835 (Easy: 0.4741, Hard: 0.8917) | LR: 0.001000
=> Epoch 026 | Train: 0.8001 (Easy: 0.4980, Hard: 1.0975) | Val: 0.6665 (Easy: 0.4575, Hard: 0.8776) | LR: 0.001000
