=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'ct']
=> Epoch 000 | Train: 1.2586 (Easy: 0.9319, Hard: 1.5679) | Val: 0.9252 (Easy: 0.5756, Hard: 1.2654) | LR: 0.001000
=> Epoch 001 | Train: 1.0087 (Easy: 0.5863, Hard: 1.4141) | Val: 0.8440 (Easy: 0.5072, Hard: 1.1832) | LR: 0.001000
=> Epoch 002 | Train: 0.9694 (Easy: 0.5702, Hard: 1.3551) | Val: 0.8045 (Easy: 0.4842, Hard: 1.1305) | LR: 0.001000
=> Epoch 003 | Train: 0.9550 (Easy: 0.5629, Hard: 1.3374) | Val: 0.7839 (Easy: 0.4715, Hard: 1.1053) | LR: 0.001000
=> Epoch 004 | Train: 0.9315 (Easy: 0.5503, Hard: 1.2991) | Val: 0.7690 (Easy: 0.4642, Hard: 1.0800) | LR: 0.001000
=> Epoch 005 | Train: 0.9253 (Easy: 0.5445, Hard: 1.2992) | Val: 0.7633 (Easy: 0.4692, Hard: 1.0665) | LR: 0.001000
=> Epoch 006 | Train: 0.9212 (Easy: 0.5524, Hard: 1.2846) | Val: 0.7536 (Easy: 0.4605, Hard: 1.0553) | LR: 0.001000
=> Epoch 007 | Train: 0.9044 (Easy: 0.5362, Hard: 1.2644) | Val: 0.7549 (Easy: 0.4650, Hard: 1.0552) | LR: 0.001000
=> Epoch 008 | Train: 0.8903 (Easy: 0.5376, Hard: 1.2378) | Val: 0.7492 (Easy: 0.4657, Hard: 1.0414) | LR: 0.001000
=> Epoch 009 | Train: 0.8945 (Easy: 0.5435, Hard: 1.2379) | Val: 0.7512 (Easy: 0.4698, Hard: 1.0416) | LR: 0.001000
=> Epoch 010 | Train: 0.8796 (Easy: 0.5318, Hard: 1.2228) | Val: 0.7395 (Easy: 0.4615, Hard: 1.0257) | LR: 0.001000
=> Epoch 011 | Train: 0.8706 (Easy: 0.5220, Hard: 1.2050) | Val: 0.7374 (Easy: 0.4677, Hard: 1.0123) | LR: 0.001000
=> Epoch 012 | Train: 0.8649 (Easy: 0.5223, Hard: 1.2046) | Val: 0.7403 (Easy: 0.4738, Hard: 1.0078) | LR: 0.001000
=> Epoch 013 | Train: 0.8615 (Easy: 0.5131, Hard: 1.2005) | Val: 0.7391 (Easy: 0.4771, Hard: 1.0024) | LR: 0.001000
