=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'degree']
=> Epoch 000 | Train: 1.2720 (Easy: 0.9449, Hard: 1.5818) | Val: 0.9271 (Easy: 0.5772, Hard: 1.2680) | LR: 0.001000
=> Epoch 001 | Train: 1.0127 (Easy: 0.5887, Hard: 1.4183) | Val: 0.8582 (Easy: 0.5110, Hard: 1.2067) | LR: 0.001000
=> Epoch 002 | Train: 0.9755 (Easy: 0.5717, Hard: 1.3639) | Val: 0.8161 (Easy: 0.4889, Hard: 1.1477) | LR: 0.001000
=> Epoch 003 | Train: 0.9610 (Easy: 0.5677, Hard: 1.3455) | Val: 0.7999 (Easy: 0.4790, Hard: 1.1302) | LR: 0.001000
=> Epoch 004 | Train: 0.9407 (Easy: 0.5580, Hard: 1.3093) | Val: 0.7772 (Easy: 0.4694, Hard: 1.0913) | LR: 0.001000
=> Epoch 005 | Train: 0.9325 (Easy: 0.5570, Hard: 1.3024) | Val: 0.7705 (Easy: 0.4708, Hard: 1.0798) | LR: 0.001000
=> Epoch 006 | Train: 0.9290 (Easy: 0.5599, Hard: 1.2905) | Val: 0.7631 (Easy: 0.4661, Hard: 1.0685) | LR: 0.001000
=> Epoch 007 | Train: 0.9152 (Easy: 0.5443, Hard: 1.2801) | Val: 0.7597 (Easy: 0.4715, Hard: 1.0560) | LR: 0.001000
=> Epoch 008 | Train: 0.9033 (Easy: 0.5462, Hard: 1.2532) | Val: 0.7546 (Easy: 0.4709, Hard: 1.0448) | LR: 0.001000
=> Epoch 009 | Train: 0.8986 (Easy: 0.5507, Hard: 1.2397) | Val: 0.7510 (Easy: 0.4684, Hard: 1.0422) | LR: 0.001000
=> Epoch 010 | Train: 0.8884 (Easy: 0.5359, Hard: 1.2354) | Val: 0.7500 (Easy: 0.4711, Hard: 1.0377) | LR: 0.001000
=> Epoch 011 | Train: 0.8781 (Easy: 0.5274, Hard: 1.2197) | Val: 0.7432 (Easy: 0.4735, Hard: 1.0212) | LR: 0.001000
=> Epoch 012 | Train: 0.8757 (Easy: 0.5257, Hard: 1.2201) | Val: 0.7316 (Easy: 0.4667, Hard: 1.0022) | LR: 0.001000
=> Epoch 013 | Train: 0.8670 (Easy: 0.5224, Hard: 1.2067) | Val: 0.7275 (Easy: 0.4713, Hard: 0.9880) | LR: 0.001000
=> Epoch 014 | Train: 0.8551 (Easy: 0.5219, Hard: 1.1837) | Val: 0.7366 (Easy: 0.4820, Hard: 0.9916) | LR: 0.001000
