=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'exit_dist']
=> Epoch 000 | Train: 1.3350 (Easy: 1.0270, Hard: 1.6246) | Val: 0.9377 (Easy: 0.5941, Hard: 1.2668) | LR: 0.001000
=> Epoch 001 | Train: 1.0140 (Easy: 0.5938, Hard: 1.4177) | Val: 0.8488 (Easy: 0.5246, Hard: 1.1662) | LR: 0.001000
=> Epoch 002 | Train: 0.9721 (Easy: 0.5800, Hard: 1.3525) | Val: 0.8016 (Easy: 0.4961, Hard: 1.1039) | LR: 0.001000
=> Epoch 003 | Train: 0.9513 (Easy: 0.5656, Hard: 1.3304) | Val: 0.7847 (Easy: 0.4801, Hard: 1.0903) | LR: 0.001000
=> Epoch 004 | Train: 0.9288 (Easy: 0.5563, Hard: 1.2922) | Val: 0.7682 (Easy: 0.4678, Hard: 1.0728) | LR: 0.001000
=> Epoch 005 | Train: 0.9224 (Easy: 0.5490, Hard: 1.2930) | Val: 0.7612 (Easy: 0.4655, Hard: 1.0620) | LR: 0.001000
=> Epoch 006 | Train: 0.9139 (Easy: 0.5517, Hard: 1.2738) | Val: 0.7605 (Easy: 0.4550, Hard: 1.0763) | LR: 0.001000
=> Epoch 007 | Train: 0.8985 (Easy: 0.5380, Hard: 1.2510) | Val: 0.7551 (Easy: 0.4580, Hard: 1.0583) | LR: 0.001000
=> Epoch 008 | Train: 0.8984 (Easy: 0.5440, Hard: 1.2522) | Val: 0.7648 (Easy: 0.4566, Hard: 1.0857) | LR: 0.001000
=> Epoch 009 | Train: 0.8891 (Easy: 0.5401, Hard: 1.2341) | Val: 0.7662 (Easy: 0.4523, Hard: 1.0974) | LR: 0.001000
=> Epoch 010 | Train: 0.8807 (Easy: 0.5304, Hard: 1.2282) | Val: 0.7630 (Easy: 0.4546, Hard: 1.0858) | LR: 0.001000
=> Epoch 011 | Train: 0.8643 (Easy: 0.5212, Hard: 1.1987) | Val: 0.7580 (Easy: 0.4495, Hard: 1.0786) | LR: 0.001000
=> Epoch 012 | Train: 0.8640 (Easy: 0.5247, Hard: 1.1970) | Val: 0.7473 (Easy: 0.4476, Hard: 1.0549) | LR: 0.001000
=> Epoch 013 | Train: 0.8661 (Easy: 0.5221, Hard: 1.2036) | Val: 0.7455 (Easy: 0.4497, Hard: 1.0510) | LR: 0.001000
=> Epoch 014 | Train: 0.8545 (Easy: 0.5155, Hard: 1.1891) | Val: 0.7558 (Easy: 0.4655, Hard: 1.0508) | LR: 0.001000
=> Epoch 015 | Train: 0.8468 (Easy: 0.5135, Hard: 1.1772) | Val: 0.7503 (Easy: 0.4511, Hard: 1.0558) | LR: 0.001000
=> Epoch 016 | Train: 0.8473 (Easy: 0.5142, Hard: 1.1699) | Val: 0.7563 (Easy: 0.4672, Hard: 1.0503) | LR: 0.001000
=> Epoch 017 | Train: 0.8460 (Easy: 0.5193, Hard: 1.1730) | Val: 0.7409 (Easy: 0.4535, Hard: 1.0323) | LR: 0.001000
=> Epoch 018 | Train: 0.8338 (Easy: 0.5032, Hard: 1.1612) | Val: 0.7514 (Easy: 0.4679, Hard: 1.0386) | LR: 0.001000
=> Epoch 019 | Train: 0.8471 (Easy: 0.5190, Hard: 1.1705) | Val: 0.7349 (Easy: 0.4548, Hard: 1.0177) | LR: 0.001000
=> Epoch 020 | Train: 0.8388 (Easy: 0.5174, Hard: 1.1548) | Val: 0.7298 (Easy: 0.4491, Hard: 1.0158) | LR: 0.001000
=> Epoch 021 | Train: 0.8276 (Easy: 0.5052, Hard: 1.1424) | Val: 0.7323 (Easy: 0.4485, Hard: 1.0222) | LR: 0.001000
=> Epoch 022 | Train: 0.8296 (Easy: 0.5135, Hard: 1.1395) | Val: 0.7300 (Easy: 0.4501, Hard: 1.0191) | LR: 0.001000
=> Epoch 023 | Train: 0.8318 (Easy: 0.4988, Hard: 1.1506) | Val: 0.7301 (Easy: 0.4555, Hard: 1.0119) | LR: 0.001000
=> Epoch 024 | Train: 0.8093 (Easy: 0.4924, Hard: 1.1215) | Val: 0.7238 (Easy: 0.4606, Hard: 0.9901) | LR: 0.001000
=> Epoch 025 | Train: 0.8213 (Easy: 0.5011, Hard: 1.1354) | Val: 0.6986 (Easy: 0.4351, Hard: 0.9721) | LR: 0.001000
=> Epoch 026 | Train: 0.8109 (Easy: 0.4885, Hard: 1.1326) | Val: 0.7180 (Easy: 0.4546, Hard: 0.9868) | LR: 0.001000
=> Epoch 027 | Train: 0.8072 (Easy: 0.4996, Hard: 1.1050) | Val: 0.7094 (Easy: 0.4458, Hard: 0.9818) | LR: 0.001000
=> Epoch 028 | Train: 0.8000 (Easy: 0.4963, Hard: 1.1042) | Val: 0.7136 (Easy: 0.4603, Hard: 0.9745) | LR: 0.001000
=> Epoch 029 | Train: 0.8006 (Easy: 0.4936, Hard: 1.1074) | Val: 0.6951 (Easy: 0.4446, Hard: 0.9540) | LR: 0.001000
=> Epoch 030 | Train: 0.7908 (Easy: 0.4950, Hard: 1.0826) | Val: 0.7065 (Easy: 0.4486, Hard: 0.9726) | LR: 0.001000
=> Epoch 031 | Train: 0.7868 (Easy: 0.4948, Hard: 1.0711) | Val: 0.6960 (Easy: 0.4442, Hard: 0.9572) | LR: 0.001000
=> Epoch 032 | Train: 0.7996 (Easy: 0.4921, Hard: 1.1016) | Val: 0.7029 (Easy: 0.4489, Hard: 0.9658) | LR: 0.001000
=> Epoch 033 | Train: 0.7809 (Easy: 0.4944, Hard: 1.0613) | Val: 0.6827 (Easy: 0.4403, Hard: 0.9362) | LR: 0.001000
=> Epoch 034 | Train: 0.7789 (Easy: 0.4795, Hard: 1.0743) | Val: 0.6792 (Easy: 0.4365, Hard: 0.9329) | LR: 0.001000
=> Epoch 035 | Train: 0.7766 (Easy: 0.4874, Hard: 1.0629) | Val: 0.6782 (Easy: 0.4379, Hard: 0.9295) | LR: 0.001000
=> Epoch 036 | Train: 0.7730 (Easy: 0.4853, Hard: 1.0583) | Val: 0.6691 (Easy: 0.4398, Hard: 0.9095) | LR: 0.001000
=> Epoch 037 | Train: 0.7741 (Easy: 0.4872, Hard: 1.0613) | Val: 0.6716 (Easy: 0.4354, Hard: 0.9208) | LR: 0.001000
=> Epoch 038 | Train: 0.7670 (Easy: 0.4814, Hard: 1.0448) | Val: 0.6774 (Easy: 0.4456, Hard: 0.9205) | LR: 0.001000
=> Epoch 039 | Train: 0.7853 (Easy: 0.4910, Hard: 1.0786) | Val: 0.6660 (Easy: 0.4389, Hard: 0.9037) | LR: 0.001000
=> Epoch 040 | Train: 0.7707 (Easy: 0.4870, Hard: 1.0446) | Val: 0.6807 (Easy: 0.4457, Hard: 0.9265) | LR: 0.001000
=> Epoch 041 | Train: 0.7692 (Easy: 0.4834, Hard: 1.0451) | Val: 0.6702 (Easy: 0.4380, Hard: 0.9123) | LR: 0.001000
=> Epoch 042 | Train: 0.7668 (Easy: 0.4808, Hard: 1.0519) | Val: 0.6626 (Easy: 0.4398, Hard: 0.8960) | LR: 0.001000
=> Epoch 043 | Train: 0.7712 (Easy: 0.4866, Hard: 1.0503) | Val: 0.6640 (Easy: 0.4391, Hard: 0.8985) | LR: 0.001000
=> Epoch 044 | Train: 0.7581 (Easy: 0.4775, Hard: 1.0252) | Val: 0.6615 (Easy: 0.4376, Hard: 0.8981) | LR: 0.001000
=> Epoch 045 | Train: 0.7451 (Easy: 0.4731, Hard: 1.0122) | Val: 0.6549 (Easy: 0.4306, Hard: 0.8912) | LR: 0.001000
=> Epoch 046 | Train: 0.7407 (Easy: 0.4772, Hard: 0.9981) | Val: 0.6673 (Easy: 0.4408, Hard: 0.9067) | LR: 0.001000
=> Epoch 047 | Train: 0.7443 (Easy: 0.4772, Hard: 1.0031) | Val: 0.6549 (Easy: 0.4253, Hard: 0.8942) | LR: 0.001000
=> Epoch 048 | Train: 0.7417 (Easy: 0.4701, Hard: 1.0094) | Val: 0.6550 (Easy: 0.4310, Hard: 0.8910) | LR: 0.001000
=> Epoch 049 | Train: 0.7413 (Easy: 0.4765, Hard: 0.9984) | Val: 0.6675 (Easy: 0.4406, Hard: 0.9055) | LR: 0.001000
=> Epoch 050 | Train: 0.7408 (Easy: 0.4769, Hard: 1.0002) | Val: 0.6542 (Easy: 0.4255, Hard: 0.9021) | LR: 0.001000
=> Epoch 051 | Train: 0.7504 (Easy: 0.4668, Hard: 1.0301) | Val: 0.6562 (Easy: 0.4296, Hard: 0.8941) | LR: 0.001000
=> Epoch 052 | Train: 0.7381 (Easy: 0.4697, Hard: 1.0023) | Val: 0.6460 (Easy: 0.4284, Hard: 0.8769) | LR: 0.001000
=> Epoch 053 | Train: 0.7401 (Easy: 0.4743, Hard: 1.0036) | Val: 0.6457 (Easy: 0.4329, Hard: 0.8708) | LR: 0.001000
=> Epoch 054 | Train: 0.7291 (Easy: 0.4629, Hard: 0.9869) | Val: 0.6421 (Easy: 0.4316, Hard: 0.8657) | LR: 0.001000
=> Epoch 055 | Train: 0.7332 (Easy: 0.4677, Hard: 0.9934) | Val: 0.6435 (Easy: 0.4276, Hard: 0.8723) | LR: 0.001000
=> Epoch 056 | Train: 0.7343 (Easy: 0.4624, Hard: 0.9978) | Val: 0.6479 (Easy: 0.4260, Hard: 0.8841) | LR: 0.001000
=> Epoch 057 | Train: 0.7450 (Easy: 0.4715, Hard: 1.0117) | Val: 0.6456 (Easy: 0.4231, Hard: 0.8836) | LR: 0.001000
=> Epoch 058 | Train: 0.7295 (Easy: 0.4640, Hard: 0.9889) | Val: 0.6455 (Easy: 0.4257, Hard: 0.8807) | LR: 0.001000
=> Epoch 059 | Train: 0.7177 (Easy: 0.4488, Hard: 0.9830) | Val: 0.6423 (Easy: 0.4311, Hard: 0.8701) | LR: 0.001000
=> Epoch 060 | Train: 0.7296 (Easy: 0.4753, Hard: 0.9842) | Val: 0.6419 (Easy: 0.4300, Hard: 0.8660) | LR: 0.001000
=> Epoch 061 | Train: 0.7208 (Easy: 0.4636, Hard: 0.9692) | Val: 0.6602 (Easy: 0.4334, Hard: 0.8993) | LR: 0.001000
=> Epoch 062 | Train: 0.7255 (Easy: 0.4612, Hard: 0.9802) | Val: 0.6524 (Easy: 0.4208, Hard: 0.9002) | LR: 0.001000
=> Epoch 063 | Train: 0.7000 (Easy: 0.4559, Hard: 0.9355) | Val: 0.6602 (Easy: 0.4330, Hard: 0.9029) | LR: 0.001000
=> Epoch 064 | Train: 0.7214 (Easy: 0.4618, Hard: 0.9765) | Val: 0.6498 (Easy: 0.4260, Hard: 0.8910) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 065 | Train: 0.7057 (Easy: 0.4667, Hard: 0.9367) | Val: 0.6335 (Easy: 0.4198, Hard: 0.8654) | LR: 0.000500
=> Epoch 066 | Train: 0.7000 (Easy: 0.4547, Hard: 0.9380) | Val: 0.6350 (Easy: 0.4183, Hard: 0.8711) | LR: 0.000500
=> Epoch 067 | Train: 0.7013 (Easy: 0.4537, Hard: 0.9442) | Val: 0.6340 (Easy: 0.4221, Hard: 0.8665) | LR: 0.000500
=> Epoch 068 | Train: 0.7022 (Easy: 0.4506, Hard: 0.9540) | Val: 0.6326 (Easy: 0.4242, Hard: 0.8630) | LR: 0.000500
=> Epoch 069 | Train: 0.7078 (Easy: 0.4551, Hard: 0.9573) | Val: 0.6344 (Easy: 0.4223, Hard: 0.8666) | LR: 0.000500
=> Epoch 070 | Train: 0.7057 (Easy: 0.4578, Hard: 0.9531) | Val: 0.6324 (Easy: 0.4201, Hard: 0.8654) | LR: 0.000500
=> Epoch 071 | Train: 0.7009 (Easy: 0.4486, Hard: 0.9503) | Val: 0.6312 (Easy: 0.4181, Hard: 0.8643) | LR: 0.000500
=> Epoch 072 | Train: 0.6946 (Easy: 0.4557, Hard: 0.9287) | Val: 0.6305 (Easy: 0.4203, Hard: 0.8601) | LR: 0.000500
=> Epoch 073 | Train: 0.7047 (Easy: 0.4464, Hard: 0.9526) | Val: 0.6335 (Easy: 0.4167, Hard: 0.8741) | LR: 0.000500
=> Epoch 074 | Train: 0.7045 (Easy: 0.4630, Hard: 0.9336) | Val: 0.6361 (Easy: 0.4206, Hard: 0.8738) | LR: 0.000500
=> Epoch 075 | Train: 0.6993 (Easy: 0.4546, Hard: 0.9326) | Val: 0.6384 (Easy: 0.4172, Hard: 0.8827) | LR: 0.000500
=> Epoch 076 | Train: 0.6909 (Easy: 0.4508, Hard: 0.9293) | Val: 0.6294 (Easy: 0.4156, Hard: 0.8632) | LR: 0.000500
=> Epoch 077 | Train: 0.7013 (Easy: 0.4485, Hard: 0.9446) | Val: 0.6335 (Easy: 0.4185, Hard: 0.8659) | LR: 0.000500
=> Epoch 078 | Train: 0.6917 (Easy: 0.4461, Hard: 0.9364) | Val: 0.6237 (Easy: 0.4188, Hard: 0.8488) | LR: 0.000500
=> Epoch 079 | Train: 0.6958 (Easy: 0.4520, Hard: 0.9298) | Val: 0.6235 (Easy: 0.4141, Hard: 0.8550) | LR: 0.000500
=> Epoch 080 | Train: 0.6850 (Easy: 0.4473, Hard: 0.9161) | Val: 0.6235 (Easy: 0.4161, Hard: 0.8498) | LR: 0.000500
=> Epoch 081 | Train: 0.6968 (Easy: 0.4498, Hard: 0.9436) | Val: 0.6236 (Easy: 0.4136, Hard: 0.8549) | LR: 0.000500
=> Epoch 082 | Train: 0.6814 (Easy: 0.4461, Hard: 0.9131) | Val: 0.6319 (Easy: 0.4188, Hard: 0.8678) | LR: 0.000500
=> Epoch 083 | Train: 0.6982 (Easy: 0.4438, Hard: 0.9414) | Val: 0.6297 (Easy: 0.4193, Hard: 0.8627) | LR: 0.000500
=> Epoch 084 | Train: 0.6881 (Easy: 0.4408, Hard: 0.9271) | Val: 0.6324 (Easy: 0.4173, Hard: 0.8708) | LR: 0.000500
=> Epoch 085 | Train: 0.6808 (Easy: 0.4372, Hard: 0.9262) | Val: 0.6345 (Easy: 0.4202, Hard: 0.8734) | LR: 0.000500
