=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'has_dead']
=> Epoch 000 | Train: 1.2689 (Easy: 0.9364, Hard: 1.5842) | Val: 0.9323 (Easy: 0.5793, Hard: 1.2765) | LR: 0.001000
=> Epoch 001 | Train: 1.0126 (Easy: 0.5885, Hard: 1.4166) | Val: 0.8612 (Easy: 0.5132, Hard: 1.2099) | LR: 0.001000
=> Epoch 002 | Train: 0.9754 (Easy: 0.5751, Hard: 1.3578) | Val: 0.8147 (Easy: 0.4890, Hard: 1.1402) | LR: 0.001000
=> Epoch 003 | Train: 0.9565 (Easy: 0.5659, Hard: 1.3354) | Val: 0.7963 (Easy: 0.4793, Hard: 1.1184) | LR: 0.001000
=> Epoch 004 | Train: 0.9360 (Easy: 0.5552, Hard: 1.2982) | Val: 0.7657 (Easy: 0.4676, Hard: 1.0636) | LR: 0.001000
=> Epoch 005 | Train: 0.9268 (Easy: 0.5568, Hard: 1.2873) | Val: 0.7562 (Easy: 0.4661, Hard: 1.0499) | LR: 0.001000
=> Epoch 006 | Train: 0.9221 (Easy: 0.5607, Hard: 1.2722) | Val: 0.7456 (Easy: 0.4562, Hard: 1.0387) | LR: 0.001000
=> Epoch 007 | Train: 0.9062 (Easy: 0.5433, Hard: 1.2592) | Val: 0.7506 (Easy: 0.4631, Hard: 1.0434) | LR: 0.001000
=> Epoch 008 | Train: 0.8917 (Easy: 0.5418, Hard: 1.2298) | Val: 0.7522 (Easy: 0.4645, Hard: 1.0453) | LR: 0.001000
=> Epoch 009 | Train: 0.8998 (Easy: 0.5563, Hard: 1.2303) | Val: 0.7414 (Easy: 0.4569, Hard: 1.0296) | LR: 0.001000
=> Epoch 010 | Train: 0.8796 (Easy: 0.5352, Hard: 1.2165) | Val: 0.7448 (Easy: 0.4598, Hard: 1.0376) | LR: 0.001000
=> Epoch 011 | Train: 0.8716 (Easy: 0.5262, Hard: 1.2020) | Val: 0.7403 (Easy: 0.4723, Hard: 1.0117) | LR: 0.001000
=> Epoch 012 | Train: 0.8629 (Easy: 0.5243, Hard: 1.1920) | Val: 0.7287 (Easy: 0.4630, Hard: 0.9999) | LR: 0.001000
=> Epoch 013 | Train: 0.8631 (Easy: 0.5237, Hard: 1.1914) | Val: 0.7347 (Easy: 0.4721, Hard: 1.0007) | LR: 0.001000
=> Epoch 014 | Train: 0.8462 (Easy: 0.5198, Hard: 1.1641) | Val: 0.7315 (Easy: 0.4697, Hard: 0.9949) | LR: 0.001000
=> Epoch 015 | Train: 0.8516 (Easy: 0.5203, Hard: 1.1764) | Val: 0.7346 (Easy: 0.4818, Hard: 0.9840) | LR: 0.001000
=> Epoch 016 | Train: 0.8440 (Easy: 0.5165, Hard: 1.1505) | Val: 0.7194 (Easy: 0.4641, Hard: 0.9713) | LR: 0.001000
=> Epoch 017 | Train: 0.8367 (Easy: 0.5129, Hard: 1.1558) | Val: 0.7144 (Easy: 0.4602, Hard: 0.9665) | LR: 0.001000
=> Epoch 018 | Train: 0.8409 (Easy: 0.5110, Hard: 1.1607) | Val: 0.7335 (Easy: 0.4802, Hard: 0.9813) | LR: 0.001000
=> Epoch 019 | Train: 0.8360 (Easy: 0.5126, Hard: 1.1498) | Val: 0.7130 (Easy: 0.4637, Hard: 0.9597) | LR: 0.001000
=> Epoch 020 | Train: 0.8334 (Easy: 0.5195, Hard: 1.1344) | Val: 0.7098 (Easy: 0.4589, Hard: 0.9564) | LR: 0.001000
=> Epoch 021 | Train: 0.8414 (Easy: 0.5120, Hard: 1.1597) | Val: 0.6970 (Easy: 0.4424, Hard: 0.9484) | LR: 0.001000
=> Epoch 022 | Train: 0.8238 (Easy: 0.5117, Hard: 1.1189) | Val: 0.7276 (Easy: 0.4839, Hard: 0.9641) | LR: 0.001000
=> Epoch 023 | Train: 0.8133 (Easy: 0.4992, Hard: 1.1132) | Val: 0.7028 (Easy: 0.4620, Hard: 0.9377) | LR: 0.001000
=> Epoch 024 | Train: 0.8127 (Easy: 0.4994, Hard: 1.1170) | Val: 0.6937 (Easy: 0.4542, Hard: 0.9241) | LR: 0.001000
=> Epoch 025 | Train: 0.8173 (Easy: 0.5098, Hard: 1.1116) | Val: 0.6928 (Easy: 0.4457, Hard: 0.9354) | LR: 0.001000
=> Epoch 026 | Train: 0.8051 (Easy: 0.4951, Hard: 1.1099) | Val: 0.6861 (Easy: 0.4362, Hard: 0.9342) | LR: 0.001000
=> Epoch 027 | Train: 0.8188 (Easy: 0.5073, Hard: 1.1153) | Val: 0.6829 (Easy: 0.4470, Hard: 0.9154) | LR: 0.001000
=> Epoch 028 | Train: 0.8006 (Easy: 0.4969, Hard: 1.0972) | Val: 0.6976 (Easy: 0.4652, Hard: 0.9237) | LR: 0.001000
=> Epoch 029 | Train: 0.7976 (Easy: 0.4957, Hard: 1.0903) | Val: 0.6814 (Easy: 0.4492, Hard: 0.9105) | LR: 0.001000
=> Epoch 030 | Train: 0.8021 (Easy: 0.5006, Hard: 1.0954) | Val: 0.6847 (Easy: 0.4565, Hard: 0.9091) | LR: 0.001000
=> Epoch 031 | Train: 0.7863 (Easy: 0.4996, Hard: 1.0653) | Val: 0.6690 (Easy: 0.4369, Hard: 0.8980) | LR: 0.001000
=> Epoch 032 | Train: 0.7834 (Easy: 0.4913, Hard: 1.0698) | Val: 0.6777 (Easy: 0.4535, Hard: 0.8994) | LR: 0.001000
=> Epoch 033 | Train: 0.7787 (Easy: 0.5025, Hard: 1.0420) | Val: 0.6691 (Easy: 0.4446, Hard: 0.8927) | LR: 0.001000
=> Epoch 034 | Train: 0.7811 (Easy: 0.4898, Hard: 1.0676) | Val: 0.6670 (Easy: 0.4514, Hard: 0.8813) | LR: 0.001000
=> Epoch 035 | Train: 0.7862 (Easy: 0.4886, Hard: 1.0740) | Val: 0.6613 (Easy: 0.4503, Hard: 0.8742) | LR: 0.001000
=> Epoch 036 | Train: 0.7795 (Easy: 0.4981, Hard: 1.0557) | Val: 0.6609 (Easy: 0.4409, Hard: 0.8793) | LR: 0.001000
=> Epoch 037 | Train: 0.7638 (Easy: 0.4841, Hard: 1.0396) | Val: 0.6489 (Easy: 0.4267, Hard: 0.8723) | LR: 0.001000
=> Epoch 038 | Train: 0.7776 (Easy: 0.4864, Hard: 1.0601) | Val: 0.6462 (Easy: 0.4290, Hard: 0.8646) | LR: 0.001000
=> Epoch 039 | Train: 0.7737 (Easy: 0.4895, Hard: 1.0505) | Val: 0.6472 (Easy: 0.4336, Hard: 0.8617) | LR: 0.001000
=> Epoch 040 | Train: 0.7674 (Easy: 0.4818, Hard: 1.0397) | Val: 0.6505 (Easy: 0.4329, Hard: 0.8666) | LR: 0.001000
=> Epoch 041 | Train: 0.7621 (Easy: 0.4756, Hard: 1.0351) | Val: 0.6424 (Easy: 0.4327, Hard: 0.8532) | LR: 0.001000
=> Epoch 042 | Train: 0.7586 (Easy: 0.4784, Hard: 1.0271) | Val: 0.6460 (Easy: 0.4380, Hard: 0.8557) | LR: 0.001000
=> Epoch 043 | Train: 0.7636 (Easy: 0.4823, Hard: 1.0376) | Val: 0.6407 (Easy: 0.4292, Hard: 0.8512) | LR: 0.001000
=> Epoch 044 | Train: 0.7464 (Easy: 0.4841, Hard: 0.9936) | Val: 0.6316 (Easy: 0.4168, Hard: 0.8520) | LR: 0.001000
=> Epoch 045 | Train: 0.7456 (Easy: 0.4671, Hard: 1.0146) | Val: 0.6346 (Easy: 0.4312, Hard: 0.8380) | LR: 0.001000
=> Epoch 046 | Train: 0.7364 (Easy: 0.4703, Hard: 0.9908) | Val: 0.6316 (Easy: 0.4281, Hard: 0.8390) | LR: 0.001000
