=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_classroom']
=> Epoch 000 | Train: 1.2583 (Easy: 0.9240, Hard: 1.5761) | Val: 0.9196 (Easy: 0.5648, Hard: 1.2689) | LR: 0.001000
=> Epoch 001 | Train: 1.0149 (Easy: 0.5831, Hard: 1.4325) | Val: 0.8546 (Easy: 0.5050, Hard: 1.2060) | LR: 0.001000
=> Epoch 002 | Train: 0.9707 (Easy: 0.5684, Hard: 1.3622) | Val: 0.8127 (Easy: 0.4863, Hard: 1.1483) | LR: 0.001000
=> Epoch 003 | Train: 0.9458 (Easy: 0.5583, Hard: 1.3262) | Val: 0.7905 (Easy: 0.4780, Hard: 1.1168) | LR: 0.001000
=> Epoch 004 | Train: 0.9213 (Easy: 0.5454, Hard: 1.2845) | Val: 0.7741 (Easy: 0.4685, Hard: 1.0903) | LR: 0.001000
=> Epoch 005 | Train: 0.9189 (Easy: 0.5467, Hard: 1.2866) | Val: 0.7672 (Easy: 0.4708, Hard: 1.0757) | LR: 0.001000
=> Epoch 006 | Train: 0.9109 (Easy: 0.5441, Hard: 1.2725) | Val: 0.7629 (Easy: 0.4675, Hard: 1.0671) | LR: 0.001000
=> Epoch 007 | Train: 0.8957 (Easy: 0.5356, Hard: 1.2494) | Val: 0.7641 (Easy: 0.4694, Hard: 1.0702) | LR: 0.001000
=> Epoch 008 | Train: 0.8833 (Easy: 0.5297, Hard: 1.2315) | Val: 0.7604 (Easy: 0.4700, Hard: 1.0617) | LR: 0.001000
=> Epoch 009 | Train: 0.8922 (Easy: 0.5416, Hard: 1.2360) | Val: 0.7606 (Easy: 0.4691, Hard: 1.0623) | LR: 0.001000
=> Epoch 010 | Train: 0.8840 (Easy: 0.5294, Hard: 1.2365) | Val: 0.7586 (Easy: 0.4674, Hard: 1.0601) | LR: 0.001000
=> Epoch 011 | Train: 0.8717 (Easy: 0.5191, Hard: 1.2179) | Val: 0.7482 (Easy: 0.4642, Hard: 1.0433) | LR: 0.001000
=> Epoch 012 | Train: 0.8670 (Easy: 0.5220, Hard: 1.2079) | Val: 0.7376 (Easy: 0.4657, Hard: 1.0179) | LR: 0.001000
=> Epoch 013 | Train: 0.8695 (Easy: 0.5201, Hard: 1.2106) | Val: 0.7351 (Easy: 0.4698, Hard: 1.0051) | LR: 0.001000
=> Epoch 014 | Train: 0.8587 (Easy: 0.5193, Hard: 1.1938) | Val: 0.7348 (Easy: 0.4702, Hard: 1.0026) | LR: 0.001000
=> Epoch 015 | Train: 0.8441 (Easy: 0.5158, Hard: 1.1714) | Val: 0.7365 (Easy: 0.4810, Hard: 0.9936) | LR: 0.001000
=> Epoch 016 | Train: 0.8517 (Easy: 0.5153, Hard: 1.1768) | Val: 0.7216 (Easy: 0.4641, Hard: 0.9812) | LR: 0.001000
=> Epoch 017 | Train: 0.8415 (Easy: 0.5092, Hard: 1.1745) | Val: 0.7222 (Easy: 0.4652, Hard: 0.9811) | LR: 0.001000
=> Epoch 018 | Train: 0.8482 (Easy: 0.5060, Hard: 1.1841) | Val: 0.7267 (Easy: 0.4712, Hard: 0.9823) | LR: 0.001000
=> Epoch 019 | Train: 0.8430 (Easy: 0.5062, Hard: 1.1751) | Val: 0.7263 (Easy: 0.4754, Hard: 0.9751) | LR: 0.001000
=> Epoch 020 | Train: 0.8337 (Easy: 0.5068, Hard: 1.1579) | Val: 0.7198 (Easy: 0.4717, Hard: 0.9663) | LR: 0.001000
=> Epoch 021 | Train: 0.8446 (Easy: 0.5114, Hard: 1.1768) | Val: 0.7120 (Easy: 0.4679, Hard: 0.9538) | LR: 0.001000
=> Epoch 022 | Train: 0.8308 (Easy: 0.5031, Hard: 1.1515) | Val: 0.7208 (Easy: 0.4788, Hard: 0.9596) | LR: 0.001000
=> Epoch 023 | Train: 0.8216 (Easy: 0.4969, Hard: 1.1423) | Val: 0.7059 (Easy: 0.4637, Hard: 0.9462) | LR: 0.001000
=> Epoch 024 | Train: 0.8235 (Easy: 0.4931, Hard: 1.1539) | Val: 0.7042 (Easy: 0.4618, Hard: 0.9445) | LR: 0.001000
=> Epoch 025 | Train: 0.8226 (Easy: 0.4979, Hard: 1.1437) | Val: 0.7028 (Easy: 0.4612, Hard: 0.9410) | LR: 0.001000
=> Epoch 026 | Train: 0.8182 (Easy: 0.4958, Hard: 1.1432) | Val: 0.6985 (Easy: 0.4586, Hard: 0.9356) | LR: 0.001000
=> Epoch 027 | Train: 0.8216 (Easy: 0.5008, Hard: 1.1367) | Val: 0.6907 (Easy: 0.4560, Hard: 0.9234) | LR: 0.001000
=> Epoch 028 | Train: 0.8055 (Easy: 0.4995, Hard: 1.1103) | Val: 0.6992 (Easy: 0.4681, Hard: 0.9262) | LR: 0.001000
=> Epoch 029 | Train: 0.8137 (Easy: 0.4940, Hard: 1.1323) | Val: 0.6862 (Easy: 0.4515, Hard: 0.9181) | LR: 0.001000
=> Epoch 030 | Train: 0.7997 (Easy: 0.4951, Hard: 1.1022) | Val: 0.6835 (Easy: 0.4471, Hard: 0.9196) | LR: 0.001000
=> Epoch 031 | Train: 0.7953 (Easy: 0.4981, Hard: 1.0924) | Val: 0.6718 (Easy: 0.4419, Hard: 0.8994) | LR: 0.001000
=> Epoch 032 | Train: 0.8018 (Easy: 0.4975, Hard: 1.1039) | Val: 0.6821 (Easy: 0.4554, Hard: 0.9059) | LR: 0.001000
=> Epoch 033 | Train: 0.7844 (Easy: 0.4965, Hard: 1.0692) | Val: 0.6779 (Easy: 0.4449, Hard: 0.9109) | LR: 0.001000
=> Epoch 034 | Train: 0.7946 (Easy: 0.4876, Hard: 1.1052) | Val: 0.6739 (Easy: 0.4457, Hard: 0.9023) | LR: 0.001000
=> Epoch 035 | Train: 0.7856 (Easy: 0.4874, Hard: 1.0844) | Val: 0.6688 (Easy: 0.4507, Hard: 0.8858) | LR: 0.001000
=> Epoch 036 | Train: 0.7823 (Easy: 0.4901, Hard: 1.0740) | Val: 0.6737 (Easy: 0.4552, Hard: 0.8898) | LR: 0.001000
=> Epoch 037 | Train: 0.7784 (Easy: 0.4816, Hard: 1.0728) | Val: 0.6725 (Easy: 0.4556, Hard: 0.8881) | LR: 0.001000
=> Epoch 038 | Train: 0.7822 (Easy: 0.4909, Hard: 1.0714) | Val: 0.6612 (Easy: 0.4411, Hard: 0.8844) | LR: 0.001000
=> Epoch 039 | Train: 0.7791 (Easy: 0.4846, Hard: 1.0717) | Val: 0.6530 (Easy: 0.4455, Hard: 0.8611) | LR: 0.001000
=> Epoch 040 | Train: 0.7651 (Easy: 0.4752, Hard: 1.0438) | Val: 0.6609 (Easy: 0.4469, Hard: 0.8779) | LR: 0.001000
=> Epoch 041 | Train: 0.7775 (Easy: 0.4861, Hard: 1.0623) | Val: 0.6565 (Easy: 0.4488, Hard: 0.8592) | LR: 0.001000
=> Epoch 042 | Train: 0.7688 (Easy: 0.4727, Hard: 1.0566) | Val: 0.6507 (Easy: 0.4486, Hard: 0.8508) | LR: 0.001000
=> Epoch 043 | Train: 0.7650 (Easy: 0.4758, Hard: 1.0488) | Val: 0.6507 (Easy: 0.4423, Hard: 0.8601) | LR: 0.001000
=> Epoch 044 | Train: 0.7545 (Easy: 0.4783, Hard: 1.0175) | Val: 0.6492 (Easy: 0.4468, Hard: 0.8513) | LR: 0.001000
