=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_common']
=> Epoch 000 | Train: 1.2702 (Easy: 0.9359, Hard: 1.5856) | Val: 0.9295 (Easy: 0.5783, Hard: 1.2719) | LR: 0.001000
=> Epoch 001 | Train: 1.0134 (Easy: 0.5859, Hard: 1.4227) | Val: 0.8586 (Easy: 0.5097, Hard: 1.2090) | LR: 0.001000
=> Epoch 002 | Train: 0.9765 (Easy: 0.5670, Hard: 1.3713) | Val: 0.8174 (Easy: 0.4872, Hard: 1.1509) | LR: 0.001000
=> Epoch 003 | Train: 0.9647 (Easy: 0.5649, Hard: 1.3561) | Val: 0.7988 (Easy: 0.4785, Hard: 1.1267) | LR: 0.001000
=> Epoch 004 | Train: 0.9448 (Easy: 0.5567, Hard: 1.3188) | Val: 0.7747 (Easy: 0.4713, Hard: 1.0817) | LR: 0.001000
=> Epoch 005 | Train: 0.9373 (Easy: 0.5536, Hard: 1.3145) | Val: 0.7704 (Easy: 0.4703, Hard: 1.0770) | LR: 0.001000
=> Epoch 006 | Train: 0.9306 (Easy: 0.5551, Hard: 1.2966) | Val: 0.7580 (Easy: 0.4649, Hard: 1.0562) | LR: 0.001000
=> Epoch 007 | Train: 0.9131 (Easy: 0.5408, Hard: 1.2778) | Val: 0.7561 (Easy: 0.4644, Hard: 1.0537) | LR: 0.001000
=> Epoch 008 | Train: 0.8991 (Easy: 0.5404, Hard: 1.2496) | Val: 0.7574 (Easy: 0.4689, Hard: 1.0523) | LR: 0.001000
=> Epoch 009 | Train: 0.8966 (Easy: 0.5462, Hard: 1.2400) | Val: 0.7504 (Easy: 0.4637, Hard: 1.0453) | LR: 0.001000
=> Epoch 010 | Train: 0.8857 (Easy: 0.5321, Hard: 1.2347) | Val: 0.7454 (Easy: 0.4674, Hard: 1.0283) | LR: 0.001000
=> Epoch 011 | Train: 0.8717 (Easy: 0.5208, Hard: 1.2110) | Val: 0.7424 (Easy: 0.4710, Hard: 1.0205) | LR: 0.001000
=> Epoch 012 | Train: 0.8660 (Easy: 0.5180, Hard: 1.2086) | Val: 0.7312 (Easy: 0.4632, Hard: 1.0065) | LR: 0.001000
=> Epoch 013 | Train: 0.8656 (Easy: 0.5188, Hard: 1.2043) | Val: 0.7377 (Easy: 0.4773, Hard: 1.0021) | LR: 0.001000
=> Epoch 014 | Train: 0.8530 (Easy: 0.5169, Hard: 1.1852) | Val: 0.7287 (Easy: 0.4710, Hard: 0.9895) | LR: 0.001000
=> Epoch 015 | Train: 0.8444 (Easy: 0.5128, Hard: 1.1714) | Val: 0.7292 (Easy: 0.4789, Hard: 0.9797) | LR: 0.001000
=> Epoch 016 | Train: 0.8469 (Easy: 0.5100, Hard: 1.1691) | Val: 0.7153 (Easy: 0.4681, Hard: 0.9646) | LR: 0.001000
=> Epoch 017 | Train: 0.8345 (Easy: 0.5137, Hard: 1.1540) | Val: 0.7147 (Easy: 0.4660, Hard: 0.9656) | LR: 0.001000
=> Epoch 018 | Train: 0.8395 (Easy: 0.5063, Hard: 1.1662) | Val: 0.7282 (Easy: 0.4836, Hard: 0.9732) | LR: 0.001000
=> Epoch 019 | Train: 0.8299 (Easy: 0.5089, Hard: 1.1442) | Val: 0.7142 (Easy: 0.4803, Hard: 0.9466) | LR: 0.001000
=> Epoch 020 | Train: 0.8263 (Easy: 0.5076, Hard: 1.1364) | Val: 0.7019 (Easy: 0.4683, Hard: 0.9369) | LR: 0.001000
=> Epoch 021 | Train: 0.8269 (Easy: 0.5005, Hard: 1.1443) | Val: 0.6886 (Easy: 0.4574, Hard: 0.9248) | LR: 0.001000
=> Epoch 022 | Train: 0.8105 (Easy: 0.5072, Hard: 1.1051) | Val: 0.7121 (Easy: 0.4881, Hard: 0.9376) | LR: 0.001000
=> Epoch 023 | Train: 0.8058 (Easy: 0.4950, Hard: 1.1053) | Val: 0.6966 (Easy: 0.4835, Hard: 0.9104) | LR: 0.001000
=> Epoch 024 | Train: 0.8017 (Easy: 0.4965, Hard: 1.1015) | Val: 0.6800 (Easy: 0.4682, Hard: 0.8921) | LR: 0.001000
=> Epoch 025 | Train: 0.8045 (Easy: 0.5010, Hard: 1.1008) | Val: 0.6873 (Easy: 0.4728, Hard: 0.9030) | LR: 0.001000
=> Epoch 026 | Train: 0.8022 (Easy: 0.4936, Hard: 1.1066) | Val: 0.6766 (Easy: 0.4618, Hard: 0.8937) | LR: 0.001000
=> Epoch 027 | Train: 0.8060 (Easy: 0.4990, Hard: 1.0970) | Val: 0.6770 (Easy: 0.4691, Hard: 0.8866) | LR: 0.001000
=> Epoch 028 | Train: 0.7852 (Easy: 0.4878, Hard: 1.0761) | Val: 0.6767 (Easy: 0.4766, Hard: 0.8777) | LR: 0.001000
=> Epoch 029 | Train: 0.7854 (Easy: 0.4937, Hard: 1.0649) | Val: 0.6780 (Easy: 0.4812, Hard: 0.8769) | LR: 0.001000
=> Epoch 030 | Train: 0.7785 (Easy: 0.4894, Hard: 1.0603) | Val: 0.6597 (Easy: 0.4538, Hard: 0.8714) | LR: 0.001000
=> Epoch 031 | Train: 0.7725 (Easy: 0.4902, Hard: 1.0444) | Val: 0.6461 (Easy: 0.4398, Hard: 0.8582) | LR: 0.001000
=> Epoch 032 | Train: 0.7738 (Easy: 0.4817, Hard: 1.0593) | Val: 0.6530 (Easy: 0.4566, Hard: 0.8547) | LR: 0.001000
=> Epoch 033 | Train: 0.7650 (Easy: 0.4943, Hard: 1.0220) | Val: 0.6501 (Easy: 0.4526, Hard: 0.8561) | LR: 0.001000
=> Epoch 034 | Train: 0.7628 (Easy: 0.4773, Hard: 1.0356) | Val: 0.6432 (Easy: 0.4531, Hard: 0.8425) | LR: 0.001000
=> Epoch 035 | Train: 0.7601 (Easy: 0.4787, Hard: 1.0345) | Val: 0.6336 (Easy: 0.4478, Hard: 0.8273) | LR: 0.001000
=> Epoch 036 | Train: 0.7737 (Easy: 0.4925, Hard: 1.0475) | Val: 0.6433 (Easy: 0.4584, Hard: 0.8303) | LR: 0.001000
=> Epoch 037 | Train: 0.7485 (Easy: 0.4757, Hard: 1.0104) | Val: 0.6335 (Easy: 0.4449, Hard: 0.8309) | LR: 0.001000
=> Epoch 038 | Train: 0.7648 (Easy: 0.4801, Hard: 1.0418) | Val: 0.6250 (Easy: 0.4339, Hard: 0.8218) | LR: 0.001000
=> Epoch 039 | Train: 0.7668 (Easy: 0.4806, Hard: 1.0376) | Val: 0.6242 (Easy: 0.4389, Hard: 0.8166) | LR: 0.001000
=> Epoch 040 | Train: 0.7565 (Easy: 0.4729, Hard: 1.0262) | Val: 0.6347 (Easy: 0.4458, Hard: 0.8320) | LR: 0.001000
=> Epoch 041 | Train: 0.7551 (Easy: 0.4787, Hard: 1.0138) | Val: 0.6246 (Easy: 0.4389, Hard: 0.8169) | LR: 0.001000
=> Epoch 042 | Train: 0.7480 (Easy: 0.4663, Hard: 1.0163) | Val: 0.6297 (Easy: 0.4430, Hard: 0.8248) | LR: 0.001000
=> Epoch 043 | Train: 0.7461 (Easy: 0.4765, Hard: 1.0037) | Val: 0.6274 (Easy: 0.4354, Hard: 0.8325) | LR: 0.001000
=> Epoch 044 | Train: 0.7396 (Easy: 0.4738, Hard: 0.9871) | Val: 0.6222 (Easy: 0.4427, Hard: 0.8093) | LR: 0.001000
=> Epoch 045 | Train: 0.7400 (Easy: 0.4728, Hard: 0.9950) | Val: 0.6141 (Easy: 0.4353, Hard: 0.7985) | LR: 0.001000
=> Epoch 046 | Train: 0.7240 (Easy: 0.4641, Hard: 0.9696) | Val: 0.6220 (Easy: 0.4413, Hard: 0.8110) | LR: 0.001000
=> Epoch 047 | Train: 0.7460 (Easy: 0.4801, Hard: 0.9985) | Val: 0.6173 (Easy: 0.4264, Hard: 0.8204) | LR: 0.001000
=> Epoch 048 | Train: 0.7433 (Easy: 0.4787, Hard: 0.9970) | Val: 0.6172 (Easy: 0.4412, Hard: 0.8016) | LR: 0.001000
=> Epoch 049 | Train: 0.7281 (Easy: 0.4677, Hard: 0.9740) | Val: 0.6217 (Easy: 0.4321, Hard: 0.8212) | LR: 0.001000
=> Epoch 050 | Train: 0.7295 (Easy: 0.4691, Hard: 0.9862) | Val: 0.6148 (Easy: 0.4381, Hard: 0.8006) | LR: 0.001000
=> Epoch 051 | Train: 0.7304 (Easy: 0.4633, Hard: 0.9784) | Val: 0.6114 (Easy: 0.4376, Hard: 0.7955) | LR: 0.001000
=> Epoch 052 | Train: 0.7325 (Easy: 0.4673, Hard: 0.9819) | Val: 0.6071 (Easy: 0.4305, Hard: 0.7934) | LR: 0.001000
=> Epoch 053 | Train: 0.7199 (Easy: 0.4597, Hard: 0.9636) | Val: 0.6095 (Easy: 0.4315, Hard: 0.7987) | LR: 0.001000
=> Epoch 054 | Train: 0.7223 (Easy: 0.4656, Hard: 0.9686) | Val: 0.6107 (Easy: 0.4336, Hard: 0.8020) | LR: 0.001000
=> Epoch 055 | Train: 0.7121 (Easy: 0.4651, Hard: 0.9477) | Val: 0.6076 (Easy: 0.4315, Hard: 0.7982) | LR: 0.001000
=> Epoch 056 | Train: 0.7249 (Easy: 0.4709, Hard: 0.9595) | Val: 0.6077 (Easy: 0.4304, Hard: 0.7981) | LR: 0.001000
=> Epoch 057 | Train: 0.7284 (Easy: 0.4732, Hard: 0.9721) | Val: 0.6088 (Easy: 0.4349, Hard: 0.7929) | LR: 0.001000
=> Epoch 058 | Train: 0.7277 (Easy: 0.4649, Hard: 0.9710) | Val: 0.6115 (Easy: 0.4403, Hard: 0.7960) | LR: 0.001000
=> Epoch 059 | Train: 0.7190 (Easy: 0.4547, Hard: 0.9682) | Val: 0.6089 (Easy: 0.4330, Hard: 0.8009) | LR: 0.001000
=> Epoch 060 | Train: 0.7192 (Easy: 0.4758, Hard: 0.9516) | Val: 0.6045 (Easy: 0.4272, Hard: 0.7969) | LR: 0.001000
=> Epoch 061 | Train: 0.6988 (Easy: 0.4581, Hard: 0.9194) | Val: 0.6071 (Easy: 0.4318, Hard: 0.7948) | LR: 0.001000
=> Epoch 062 | Train: 0.7115 (Easy: 0.4744, Hard: 0.9271) | Val: 0.6093 (Easy: 0.4331, Hard: 0.7956) | LR: 0.001000
=> Epoch 063 | Train: 0.7073 (Easy: 0.4659, Hard: 0.9300) | Val: 0.6124 (Easy: 0.4398, Hard: 0.7919) | LR: 0.001000
=> Epoch 064 | Train: 0.7189 (Easy: 0.4783, Hard: 0.9511) | Val: 0.6096 (Easy: 0.4355, Hard: 0.7934) | LR: 0.001000
=> Epoch 065 | Train: 0.7013 (Easy: 0.4636, Hard: 0.9272) | Val: 0.6026 (Easy: 0.4254, Hard: 0.7929) | LR: 0.001000
=> Epoch 066 | Train: 0.7072 (Easy: 0.4653, Hard: 0.9327) | Val: 0.6068 (Easy: 0.4283, Hard: 0.7971) | LR: 0.001000
=> Epoch 067 | Train: 0.6916 (Easy: 0.4540, Hard: 0.9121) | Val: 0.6045 (Easy: 0.4282, Hard: 0.7952) | LR: 0.001000
=> Epoch 068 | Train: 0.6946 (Easy: 0.4569, Hard: 0.9205) | Val: 0.6036 (Easy: 0.4244, Hard: 0.7965) | LR: 0.001000
=> Epoch 069 | Train: 0.6980 (Easy: 0.4565, Hard: 0.9194) | Val: 0.6075 (Easy: 0.4289, Hard: 0.7977) | LR: 0.001000
=> Epoch 070 | Train: 0.7084 (Easy: 0.4587, Hard: 0.9442) | Val: 0.6104 (Easy: 0.4303, Hard: 0.8078) | LR: 0.001000
=> Epoch 071 | Train: 0.6863 (Easy: 0.4485, Hard: 0.9128) | Val: 0.6095 (Easy: 0.4322, Hard: 0.8013) | LR: 0.001000
=> Epoch 072 | Train: 0.6891 (Easy: 0.4628, Hard: 0.9001) | Val: 0.6008 (Easy: 0.4237, Hard: 0.7929) | LR: 0.001000
=> Epoch 073 | Train: 0.6902 (Easy: 0.4522, Hard: 0.9136) | Val: 0.6117 (Easy: 0.4298, Hard: 0.8049) | LR: 0.001000
=> Epoch 074 | Train: 0.6979 (Easy: 0.4515, Hard: 0.9245) | Val: 0.5977 (Easy: 0.4211, Hard: 0.7904) | LR: 0.001000
=> Epoch 075 | Train: 0.6887 (Easy: 0.4612, Hard: 0.9029) | Val: 0.6092 (Easy: 0.4319, Hard: 0.7999) | LR: 0.001000
=> Epoch 076 | Train: 0.6712 (Easy: 0.4448, Hard: 0.8802) | Val: 0.6101 (Easy: 0.4353, Hard: 0.7982) | LR: 0.001000
=> Epoch 077 | Train: 0.6845 (Easy: 0.4536, Hard: 0.8912) | Val: 0.6000 (Easy: 0.4252, Hard: 0.7844) | LR: 0.001000
=> Epoch 078 | Train: 0.6939 (Easy: 0.4515, Hard: 0.9184) | Val: 0.6038 (Easy: 0.4239, Hard: 0.7962) | LR: 0.001000
=> Epoch 079 | Train: 0.6860 (Easy: 0.4607, Hard: 0.8937) | Val: 0.5949 (Easy: 0.4219, Hard: 0.7806) | LR: 0.001000
=> Epoch 080 | Train: 0.6708 (Easy: 0.4518, Hard: 0.8786) | Val: 0.5995 (Easy: 0.4228, Hard: 0.7918) | LR: 0.001000
=> Epoch 081 | Train: 0.6769 (Easy: 0.4586, Hard: 0.8743) | Val: 0.6000 (Easy: 0.4238, Hard: 0.7917) | LR: 0.001000
=> Epoch 082 | Train: 0.6714 (Easy: 0.4449, Hard: 0.8832) | Val: 0.6010 (Easy: 0.4233, Hard: 0.7953) | LR: 0.001000
=> Epoch 083 | Train: 0.6844 (Easy: 0.4535, Hard: 0.8963) | Val: 0.6028 (Easy: 0.4269, Hard: 0.7902) | LR: 0.001000
=> Epoch 084 | Train: 0.6819 (Easy: 0.4529, Hard: 0.8879) | Val: 0.6016 (Easy: 0.4192, Hard: 0.7990) | LR: 0.001000
