=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance']
=> Epoch 000 | Train: 1.2695 (Easy: 0.9597, Hard: 1.5673) | Val: 0.9201 (Easy: 0.5768, Hard: 1.2468) | LR: 0.001000
=> Epoch 001 | Train: 1.0046 (Easy: 0.5846, Hard: 1.4102) | Val: 0.8500 (Easy: 0.5128, Hard: 1.1791) | LR: 0.001000
=> Epoch 002 | Train: 0.9646 (Easy: 0.5642, Hard: 1.3544) | Val: 0.8045 (Easy: 0.4888, Hard: 1.1181) | LR: 0.001000
=> Epoch 003 | Train: 0.9487 (Easy: 0.5566, Hard: 1.3373) | Val: 0.7800 (Easy: 0.4812, Hard: 1.0810) | LR: 0.001000
=> Epoch 004 | Train: 0.9241 (Easy: 0.5512, Hard: 1.2889) | Val: 0.7654 (Easy: 0.4744, Hard: 1.0590) | LR: 0.001000
=> Epoch 005 | Train: 0.9136 (Easy: 0.5483, Hard: 1.2719) | Val: 0.7585 (Easy: 0.4729, Hard: 1.0503) | LR: 0.001000
=> Epoch 006 | Train: 0.9057 (Easy: 0.5469, Hard: 1.2543) | Val: 0.7545 (Easy: 0.4608, Hard: 1.0562) | LR: 0.001000
=> Epoch 007 | Train: 0.8945 (Easy: 0.5382, Hard: 1.2414) | Val: 0.7531 (Easy: 0.4659, Hard: 1.0458) | LR: 0.001000
=> Epoch 008 | Train: 0.8966 (Easy: 0.5410, Hard: 1.2411) | Val: 0.7452 (Easy: 0.4627, Hard: 1.0329) | LR: 0.001000
=> Epoch 009 | Train: 0.8808 (Easy: 0.5359, Hard: 1.2168) | Val: 0.7427 (Easy: 0.4587, Hard: 1.0332) | LR: 0.001000
=> Epoch 010 | Train: 0.8777 (Easy: 0.5248, Hard: 1.2234) | Val: 0.7396 (Easy: 0.4570, Hard: 1.0297) | LR: 0.001000
=> Epoch 011 | Train: 0.8664 (Easy: 0.5198, Hard: 1.2038) | Val: 0.7307 (Easy: 0.4525, Hard: 1.0159) | LR: 0.001000
=> Epoch 012 | Train: 0.8617 (Easy: 0.5202, Hard: 1.1940) | Val: 0.7256 (Easy: 0.4528, Hard: 1.0045) | LR: 0.001000
=> Epoch 013 | Train: 0.8612 (Easy: 0.5171, Hard: 1.1960) | Val: 0.7214 (Easy: 0.4507, Hard: 1.0001) | LR: 0.001000
=> Epoch 014 | Train: 0.8559 (Easy: 0.5175, Hard: 1.1862) | Val: 0.7275 (Easy: 0.4570, Hard: 1.0036) | LR: 0.001000
=> Epoch 015 | Train: 0.8414 (Easy: 0.5044, Hard: 1.1707) | Val: 0.7228 (Easy: 0.4520, Hard: 0.9996) | LR: 0.001000
=> Epoch 016 | Train: 0.8442 (Easy: 0.5146, Hard: 1.1549) | Val: 0.7210 (Easy: 0.4563, Hard: 0.9896) | LR: 0.001000
=> Epoch 017 | Train: 0.8393 (Easy: 0.5125, Hard: 1.1608) | Val: 0.7169 (Easy: 0.4497, Hard: 0.9872) | LR: 0.001000
