=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'closeness']
=> Epoch 000 | Train: 1.2016 (Easy: 0.8654, Hard: 1.5222) | Val: 0.8958 (Easy: 0.5579, Hard: 1.2238) | LR: 0.001000
=> Epoch 001 | Train: 1.0010 (Easy: 0.5787, Hard: 1.4105) | Val: 0.8317 (Easy: 0.5109, Hard: 1.1484) | LR: 0.001000
=> Epoch 002 | Train: 0.9615 (Easy: 0.5690, Hard: 1.3451) | Val: 0.7873 (Easy: 0.4858, Hard: 1.0872) | LR: 0.001000
=> Epoch 003 | Train: 0.9446 (Easy: 0.5511, Hard: 1.3327) | Val: 0.7710 (Easy: 0.4774, Hard: 1.0672) | LR: 0.001000
=> Epoch 004 | Train: 0.9127 (Easy: 0.5440, Hard: 1.2690) | Val: 0.7634 (Easy: 0.4787, Hard: 1.0524) | LR: 0.001000
=> Epoch 005 | Train: 0.9139 (Easy: 0.5465, Hard: 1.2726) | Val: 0.7531 (Easy: 0.4691, Hard: 1.0450) | LR: 0.001000
=> Epoch 006 | Train: 0.9093 (Easy: 0.5334, Hard: 1.2744) | Val: 0.7506 (Easy: 0.4641, Hard: 1.0449) | LR: 0.001000
=> Epoch 007 | Train: 0.8843 (Easy: 0.5259, Hard: 1.2326) | Val: 0.7526 (Easy: 0.4749, Hard: 1.0360) | LR: 0.001000
=> Epoch 008 | Train: 0.8770 (Easy: 0.5245, Hard: 1.2176) | Val: 0.7468 (Easy: 0.4672, Hard: 1.0337) | LR: 0.001000
=> Epoch 009 | Train: 0.8702 (Easy: 0.5171, Hard: 1.2087) | Val: 0.7446 (Easy: 0.4733, Hard: 1.0235) | LR: 0.001000
=> Epoch 010 | Train: 0.8661 (Easy: 0.5171, Hard: 1.2024) | Val: 0.7385 (Easy: 0.4654, Hard: 1.0216) | LR: 0.001000
=> Epoch 011 | Train: 0.8490 (Easy: 0.5029, Hard: 1.1772) | Val: 0.7334 (Easy: 0.4606, Hard: 1.0153) | LR: 0.001000
=> Epoch 012 | Train: 0.8442 (Easy: 0.5060, Hard: 1.1660) | Val: 0.7213 (Easy: 0.4512, Hard: 1.0012) | LR: 0.001000
=> Epoch 013 | Train: 0.8455 (Easy: 0.5102, Hard: 1.1718) | Val: 0.7240 (Easy: 0.4539, Hard: 1.0054) | LR: 0.001000
=> Epoch 014 | Train: 0.8420 (Easy: 0.5032, Hard: 1.1733) | Val: 0.7267 (Easy: 0.4573, Hard: 1.0037) | LR: 0.001000
=> Epoch 015 | Train: 0.8313 (Easy: 0.4962, Hard: 1.1548) | Val: 0.7187 (Easy: 0.4573, Hard: 0.9884) | LR: 0.001000
=> Epoch 016 | Train: 0.8228 (Easy: 0.5040, Hard: 1.1181) | Val: 0.7139 (Easy: 0.4502, Hard: 0.9854) | LR: 0.001000
=> Epoch 017 | Train: 0.8194 (Easy: 0.5024, Hard: 1.1218) | Val: 0.7058 (Easy: 0.4448, Hard: 0.9761) | LR: 0.001000
=> Epoch 018 | Train: 0.8151 (Easy: 0.5002, Hard: 1.1152) | Val: 0.7100 (Easy: 0.4509, Hard: 0.9768) | LR: 0.001000
=> Epoch 019 | Train: 0.8161 (Easy: 0.5036, Hard: 1.1179) | Val: 0.7065 (Easy: 0.4490, Hard: 0.9699) | LR: 0.001000
=> Epoch 020 | Train: 0.8140 (Easy: 0.4990, Hard: 1.1109) | Val: 0.7047 (Easy: 0.4560, Hard: 0.9594) | LR: 0.001000
=> Epoch 021 | Train: 0.8038 (Easy: 0.4925, Hard: 1.1027) | Val: 0.7006 (Easy: 0.4512, Hard: 0.9569) | LR: 0.001000
=> Epoch 022 | Train: 0.8042 (Easy: 0.4970, Hard: 1.0991) | Val: 0.6992 (Easy: 0.4557, Hard: 0.9487) | LR: 0.001000
=> Epoch 023 | Train: 0.7885 (Easy: 0.4875, Hard: 1.0789) | Val: 0.6877 (Easy: 0.4464, Hard: 0.9370) | LR: 0.001000
=> Epoch 024 | Train: 0.7904 (Easy: 0.4891, Hard: 1.0830) | Val: 0.6835 (Easy: 0.4443, Hard: 0.9308) | LR: 0.001000
=> Epoch 025 | Train: 0.7823 (Easy: 0.4865, Hard: 1.0650) | Val: 0.6941 (Easy: 0.4566, Hard: 0.9390) | LR: 0.001000
=> Epoch 026 | Train: 0.7838 (Easy: 0.4829, Hard: 1.0746) | Val: 0.6786 (Easy: 0.4402, Hard: 0.9260) | LR: 0.001000
=> Epoch 027 | Train: 0.7914 (Easy: 0.4957, Hard: 1.0741) | Val: 0.6747 (Easy: 0.4390, Hard: 0.9195) | LR: 0.001000
=> Epoch 028 | Train: 0.7741 (Easy: 0.4847, Hard: 1.0529) | Val: 0.6923 (Easy: 0.4605, Hard: 0.9323) | LR: 0.001000
=> Epoch 029 | Train: 0.7720 (Easy: 0.4797, Hard: 1.0555) | Val: 0.6703 (Easy: 0.4415, Hard: 0.9093) | LR: 0.001000
=> Epoch 030 | Train: 0.7778 (Easy: 0.4790, Hard: 1.0716) | Val: 0.6727 (Easy: 0.4484, Hard: 0.9064) | LR: 0.001000
