=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'ct']
=> Epoch 000 | Train: 1.2048 (Easy: 0.8763, Hard: 1.5192) | Val: 0.8952 (Easy: 0.5616, Hard: 1.2156) | LR: 0.001000
=> Epoch 001 | Train: 0.9904 (Easy: 0.5739, Hard: 1.3972) | Val: 0.8156 (Easy: 0.5084, Hard: 1.1211) | LR: 0.001000
=> Epoch 002 | Train: 0.9506 (Easy: 0.5625, Hard: 1.3282) | Val: 0.7753 (Easy: 0.4842, Hard: 1.0672) | LR: 0.001000
=> Epoch 003 | Train: 0.9388 (Easy: 0.5475, Hard: 1.3229) | Val: 0.7590 (Easy: 0.4721, Hard: 1.0492) | LR: 0.001000
=> Epoch 004 | Train: 0.8987 (Easy: 0.5348, Hard: 1.2490) | Val: 0.7517 (Easy: 0.4750, Hard: 1.0329) | LR: 0.001000
=> Epoch 005 | Train: 0.8967 (Easy: 0.5372, Hard: 1.2431) | Val: 0.7435 (Easy: 0.4717, Hard: 1.0222) | LR: 0.001000
=> Epoch 006 | Train: 0.8937 (Easy: 0.5249, Hard: 1.2487) | Val: 0.7392 (Easy: 0.4617, Hard: 1.0231) | LR: 0.001000
=> Epoch 007 | Train: 0.8646 (Easy: 0.5149, Hard: 1.2002) | Val: 0.7374 (Easy: 0.4696, Hard: 1.0108) | LR: 0.001000
=> Epoch 008 | Train: 0.8654 (Easy: 0.5168, Hard: 1.1969) | Val: 0.7327 (Easy: 0.4647, Hard: 1.0057) | LR: 0.001000
=> Epoch 009 | Train: 0.8631 (Easy: 0.5140, Hard: 1.1942) | Val: 0.7280 (Easy: 0.4622, Hard: 0.9996) | LR: 0.001000
=> Epoch 010 | Train: 0.8495 (Easy: 0.5081, Hard: 1.1716) | Val: 0.7223 (Easy: 0.4584, Hard: 0.9917) | LR: 0.001000
=> Epoch 011 | Train: 0.8353 (Easy: 0.4989, Hard: 1.1511) | Val: 0.7197 (Easy: 0.4549, Hard: 0.9882) | LR: 0.001000
=> Epoch 012 | Train: 0.8307 (Easy: 0.5020, Hard: 1.1393) | Val: 0.7182 (Easy: 0.4583, Hard: 0.9794) | LR: 0.001000
=> Epoch 013 | Train: 0.8334 (Easy: 0.5033, Hard: 1.1480) | Val: 0.7156 (Easy: 0.4607, Hard: 0.9726) | LR: 0.001000
=> Epoch 014 | Train: 0.8277 (Easy: 0.4979, Hard: 1.1426) | Val: 0.7135 (Easy: 0.4577, Hard: 0.9677) | LR: 0.001000
=> Epoch 015 | Train: 0.8173 (Easy: 0.4968, Hard: 1.1193) | Val: 0.7043 (Easy: 0.4568, Hard: 0.9524) | LR: 0.001000
=> Epoch 016 | Train: 0.8096 (Easy: 0.4997, Hard: 1.0916) | Val: 0.7033 (Easy: 0.4573, Hard: 0.9478) | LR: 0.001000
=> Epoch 017 | Train: 0.8129 (Easy: 0.5047, Hard: 1.1036) | Val: 0.7023 (Easy: 0.4542, Hard: 0.9498) | LR: 0.001000
=> Epoch 018 | Train: 0.8088 (Easy: 0.4970, Hard: 1.0998) | Val: 0.7040 (Easy: 0.4562, Hard: 0.9500) | LR: 0.001000
=> Epoch 019 | Train: 0.8054 (Easy: 0.5039, Hard: 1.0929) | Val: 0.7014 (Easy: 0.4576, Hard: 0.9415) | LR: 0.001000
=> Epoch 020 | Train: 0.8042 (Easy: 0.4969, Hard: 1.0889) | Val: 0.7101 (Easy: 0.4689, Hard: 0.9455) | LR: 0.001000
=> Epoch 021 | Train: 0.7920 (Easy: 0.4881, Hard: 1.0785) | Val: 0.7022 (Easy: 0.4573, Hard: 0.9457) | LR: 0.001000
=> Epoch 022 | Train: 0.7981 (Easy: 0.4885, Hard: 1.0897) | Val: 0.7019 (Easy: 0.4568, Hard: 0.9471) | LR: 0.001000
=> Epoch 023 | Train: 0.7793 (Easy: 0.4823, Hard: 1.0610) | Val: 0.6923 (Easy: 0.4529, Hard: 0.9319) | LR: 0.001000
=> Epoch 024 | Train: 0.7797 (Easy: 0.4805, Hard: 1.0673) | Val: 0.6885 (Easy: 0.4542, Hard: 0.9229) | LR: 0.001000
=> Epoch 025 | Train: 0.7744 (Easy: 0.4795, Hard: 1.0589) | Val: 0.6947 (Easy: 0.4566, Hard: 0.9312) | LR: 0.001000
=> Epoch 026 | Train: 0.7738 (Easy: 0.4725, Hard: 1.0603) | Val: 0.6842 (Easy: 0.4485, Hard: 0.9242) | LR: 0.001000
=> Epoch 027 | Train: 0.7873 (Easy: 0.4916, Hard: 1.0616) | Val: 0.6817 (Easy: 0.4471, Hard: 0.9202) | LR: 0.001000
=> Epoch 028 | Train: 0.7689 (Easy: 0.4768, Hard: 1.0481) | Val: 0.6794 (Easy: 0.4521, Hard: 0.9098) | LR: 0.001000
=> Epoch 029 | Train: 0.7612 (Easy: 0.4704, Hard: 1.0351) | Val: 0.6869 (Easy: 0.4505, Hard: 0.9282) | LR: 0.001000
=> Epoch 030 | Train: 0.7685 (Easy: 0.4718, Hard: 1.0587) | Val: 0.6752 (Easy: 0.4479, Hard: 0.9097) | LR: 0.001000
=> Epoch 031 | Train: 0.7603 (Easy: 0.4741, Hard: 1.0327) | Val: 0.6679 (Easy: 0.4418, Hard: 0.9013) | LR: 0.001000
=> Epoch 032 | Train: 0.7618 (Easy: 0.4809, Hard: 1.0323) | Val: 0.6721 (Easy: 0.4458, Hard: 0.9073) | LR: 0.001000
=> Epoch 033 | Train: 0.7379 (Easy: 0.4695, Hard: 0.9882) | Val: 0.6767 (Easy: 0.4486, Hard: 0.9099) | LR: 0.001000
=> Epoch 034 | Train: 0.7550 (Easy: 0.4648, Hard: 1.0345) | Val: 0.6702 (Easy: 0.4421, Hard: 0.9082) | LR: 0.001000
=> Epoch 035 | Train: 0.7529 (Easy: 0.4768, Hard: 1.0175) | Val: 0.6730 (Easy: 0.4518, Hard: 0.9026) | LR: 0.001000
=> Epoch 036 | Train: 0.7562 (Easy: 0.4749, Hard: 1.0221) | Val: 0.6708 (Easy: 0.4474, Hard: 0.9030) | LR: 0.001000
=> Epoch 037 | Train: 0.7489 (Easy: 0.4709, Hard: 1.0134) | Val: 0.6661 (Easy: 0.4414, Hard: 0.9032) | LR: 0.001000
=> Epoch 038 | Train: 0.7500 (Easy: 0.4657, Hard: 1.0235) | Val: 0.6632 (Easy: 0.4358, Hard: 0.9054) | LR: 0.001000
=> Epoch 039 | Train: 0.7466 (Easy: 0.4681, Hard: 1.0106) | Val: 0.6712 (Easy: 0.4435, Hard: 0.9171) | LR: 0.001000
=> Epoch 040 | Train: 0.7397 (Easy: 0.4590, Hard: 1.0062) | Val: 0.6770 (Easy: 0.4443, Hard: 0.9163) | LR: 0.001000
=> Epoch 041 | Train: 0.7396 (Easy: 0.4602, Hard: 1.0022) | Val: 0.6674 (Easy: 0.4417, Hard: 0.9063) | LR: 0.001000
=> Epoch 042 | Train: 0.7407 (Easy: 0.4726, Hard: 0.9966) | Val: 0.6754 (Easy: 0.4439, Hard: 0.9167) | LR: 0.001000
=> Epoch 043 | Train: 0.7326 (Easy: 0.4478, Hard: 1.0041) | Val: 0.6725 (Easy: 0.4379, Hard: 0.9177) | LR: 0.001000
=> Epoch 044 | Train: 0.7402 (Easy: 0.4757, Hard: 0.9923) | Val: 0.6712 (Easy: 0.4379, Hard: 0.9159) | LR: 0.001000
=> Epoch 045 | Train: 0.7389 (Easy: 0.4506, Hard: 1.0138) | Val: 0.6645 (Easy: 0.4341, Hard: 0.9070) | LR: 0.001000
=> Epoch 046 | Train: 0.7220 (Easy: 0.4626, Hard: 0.9775) | Val: 0.6657 (Easy: 0.4336, Hard: 0.9162) | LR: 0.001000
=> Epoch 047 | Train: 0.7249 (Easy: 0.4521, Hard: 0.9798) | Val: 0.6627 (Easy: 0.4329, Hard: 0.9086) | LR: 0.001000
=> Epoch 048 | Train: 0.7220 (Easy: 0.4519, Hard: 0.9807) | Val: 0.6710 (Easy: 0.4449, Hard: 0.9108) | LR: 0.001000
=> LR reduced: 0.001000 -> 0.000500
=> Epoch 049 | Train: 0.7222 (Easy: 0.4562, Hard: 0.9763) | Val: 0.6647 (Easy: 0.4331, Hard: 0.9139) | LR: 0.000500
=> Epoch 050 | Train: 0.7184 (Easy: 0.4480, Hard: 0.9851) | Val: 0.6628 (Easy: 0.4320, Hard: 0.9125) | LR: 0.000500
=> Epoch 051 | Train: 0.7256 (Easy: 0.4543, Hard: 0.9859) | Val: 0.6642 (Easy: 0.4294, Hard: 0.9177) | LR: 0.000500
=> Epoch 052 | Train: 0.7164 (Easy: 0.4497, Hard: 0.9746) | Val: 0.6552 (Easy: 0.4253, Hard: 0.9038) | LR: 0.000500
=> Epoch 053 | Train: 0.7097 (Easy: 0.4466, Hard: 0.9678) | Val: 0.6631 (Easy: 0.4281, Hard: 0.9173) | LR: 0.000500
