=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'degree']
=> Epoch 000 | Train: 1.2029 (Easy: 0.8697, Hard: 1.5214) | Val: 0.8945 (Easy: 0.5597, Hard: 1.2159) | LR: 0.001000
=> Epoch 001 | Train: 0.9969 (Easy: 0.5783, Hard: 1.4045) | Val: 0.8305 (Easy: 0.5108, Hard: 1.1450) | LR: 0.001000
=> Epoch 002 | Train: 0.9604 (Easy: 0.5679, Hard: 1.3448) | Val: 0.7874 (Easy: 0.4861, Hard: 1.0871) | LR: 0.001000
=> Epoch 003 | Train: 0.9467 (Easy: 0.5527, Hard: 1.3366) | Val: 0.7720 (Easy: 0.4764, Hard: 1.0695) | LR: 0.001000
=> Epoch 004 | Train: 0.9154 (Easy: 0.5445, Hard: 1.2742) | Val: 0.7622 (Easy: 0.4763, Hard: 1.0515) | LR: 0.001000
=> Epoch 005 | Train: 0.9156 (Easy: 0.5465, Hard: 1.2760) | Val: 0.7526 (Easy: 0.4671, Hard: 1.0455) | LR: 0.001000
=> Epoch 006 | Train: 0.9115 (Easy: 0.5350, Hard: 1.2766) | Val: 0.7505 (Easy: 0.4629, Hard: 1.0455) | LR: 0.001000
=> Epoch 007 | Train: 0.8902 (Easy: 0.5278, Hard: 1.2422) | Val: 0.7487 (Easy: 0.4647, Hard: 1.0379) | LR: 0.001000
=> Epoch 008 | Train: 0.8846 (Easy: 0.5268, Hard: 1.2315) | Val: 0.7430 (Easy: 0.4618, Hard: 1.0299) | LR: 0.001000
=> Epoch 009 | Train: 0.8745 (Easy: 0.5193, Hard: 1.2160) | Val: 0.7399 (Easy: 0.4660, Hard: 1.0215) | LR: 0.001000
=> Epoch 010 | Train: 0.8660 (Easy: 0.5161, Hard: 1.2023) | Val: 0.7364 (Easy: 0.4640, Hard: 1.0172) | LR: 0.001000
=> Epoch 011 | Train: 0.8512 (Easy: 0.5043, Hard: 1.1805) | Val: 0.7331 (Easy: 0.4613, Hard: 1.0131) | LR: 0.001000
=> Epoch 012 | Train: 0.8464 (Easy: 0.5075, Hard: 1.1700) | Val: 0.7198 (Easy: 0.4535, Hard: 0.9947) | LR: 0.001000
=> Epoch 013 | Train: 0.8463 (Easy: 0.5098, Hard: 1.1737) | Val: 0.7229 (Easy: 0.4568, Hard: 0.9981) | LR: 0.001000
=> Epoch 014 | Train: 0.8436 (Easy: 0.5038, Hard: 1.1771) | Val: 0.7231 (Easy: 0.4567, Hard: 0.9956) | LR: 0.001000
=> Epoch 015 | Train: 0.8332 (Easy: 0.4977, Hard: 1.1576) | Val: 0.7164 (Easy: 0.4605, Hard: 0.9790) | LR: 0.001000
=> Epoch 016 | Train: 0.8247 (Easy: 0.5054, Hard: 1.1210) | Val: 0.7084 (Easy: 0.4499, Hard: 0.9739) | LR: 0.001000
=> Epoch 017 | Train: 0.8226 (Easy: 0.5038, Hard: 1.1266) | Val: 0.6998 (Easy: 0.4426, Hard: 0.9650) | LR: 0.001000
=> Epoch 018 | Train: 0.8154 (Easy: 0.5006, Hard: 1.1163) | Val: 0.7105 (Easy: 0.4547, Hard: 0.9717) | LR: 0.001000
=> Epoch 019 | Train: 0.8147 (Easy: 0.5020, Hard: 1.1166) | Val: 0.7013 (Easy: 0.4464, Hard: 0.9621) | LR: 0.001000
=> Epoch 020 | Train: 0.8164 (Easy: 0.5004, Hard: 1.1156) | Val: 0.7064 (Easy: 0.4582, Hard: 0.9600) | LR: 0.001000
=> Epoch 021 | Train: 0.8063 (Easy: 0.4953, Hard: 1.1057) | Val: 0.6961 (Easy: 0.4472, Hard: 0.9520) | LR: 0.001000
=> Epoch 022 | Train: 0.8029 (Easy: 0.4968, Hard: 1.0974) | Val: 0.6993 (Easy: 0.4549, Hard: 0.9490) | LR: 0.001000
=> Epoch 023 | Train: 0.7900 (Easy: 0.4884, Hard: 1.0823) | Val: 0.6845 (Easy: 0.4415, Hard: 0.9348) | LR: 0.001000
=> Epoch 024 | Train: 0.7927 (Easy: 0.4883, Hard: 1.0892) | Val: 0.6817 (Easy: 0.4432, Hard: 0.9269) | LR: 0.001000
=> Epoch 025 | Train: 0.7849 (Easy: 0.4858, Hard: 1.0723) | Val: 0.6924 (Easy: 0.4559, Hard: 0.9340) | LR: 0.001000
=> Epoch 026 | Train: 0.7857 (Easy: 0.4833, Hard: 1.0784) | Val: 0.6769 (Easy: 0.4372, Hard: 0.9226) | LR: 0.001000
