=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'exit_dist']
=> Epoch 000 | Train: 1.2297 (Easy: 0.8997, Hard: 1.5394) | Val: 0.8984 (Easy: 0.5713, Hard: 1.2104) | LR: 0.001000
=> Epoch 001 | Train: 0.9894 (Easy: 0.5831, Hard: 1.3858) | Val: 0.8190 (Easy: 0.5133, Hard: 1.1197) | LR: 0.001000
=> Epoch 002 | Train: 0.9509 (Easy: 0.5718, Hard: 1.3280) | Val: 0.7804 (Easy: 0.4907, Hard: 1.0677) | LR: 0.001000
=> Epoch 003 | Train: 0.9315 (Easy: 0.5502, Hard: 1.3102) | Val: 0.7621 (Easy: 0.4761, Hard: 1.0516) | LR: 0.001000
=> Epoch 004 | Train: 0.8954 (Easy: 0.5431, Hard: 1.2418) | Val: 0.7567 (Easy: 0.4759, Hard: 1.0414) | LR: 0.001000
=> Epoch 005 | Train: 0.8887 (Easy: 0.5383, Hard: 1.2329) | Val: 0.7515 (Easy: 0.4728, Hard: 1.0339) | LR: 0.001000
=> Epoch 006 | Train: 0.8876 (Easy: 0.5270, Hard: 1.2417) | Val: 0.7358 (Easy: 0.4531, Hard: 1.0221) | LR: 0.001000
=> Epoch 007 | Train: 0.8580 (Easy: 0.5114, Hard: 1.1978) | Val: 0.7522 (Easy: 0.4781, Hard: 1.0257) | LR: 0.001000
=> Epoch 008 | Train: 0.8522 (Easy: 0.5114, Hard: 1.1809) | Val: 0.7386 (Easy: 0.4590, Hard: 1.0170) | LR: 0.001000
=> Epoch 009 | Train: 0.8558 (Easy: 0.5189, Hard: 1.1810) | Val: 0.7354 (Easy: 0.4681, Hard: 1.0015) | LR: 0.001000
=> Epoch 010 | Train: 0.8456 (Easy: 0.5093, Hard: 1.1678) | Val: 0.7368 (Easy: 0.4640, Hard: 1.0070) | LR: 0.001000
=> Epoch 011 | Train: 0.8366 (Easy: 0.5014, Hard: 1.1611) | Val: 0.7217 (Easy: 0.4547, Hard: 0.9860) | LR: 0.001000
