=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'has_dead']
=> Epoch 000 | Train: 1.2015 (Easy: 0.8674, Hard: 1.5185) | Val: 0.8928 (Easy: 0.5560, Hard: 1.2143) | LR: 0.001000
=> Epoch 001 | Train: 0.9935 (Easy: 0.5780, Hard: 1.3964) | Val: 0.8289 (Easy: 0.5137, Hard: 1.1364) | LR: 0.001000
=> Epoch 002 | Train: 0.9589 (Easy: 0.5729, Hard: 1.3326) | Val: 0.7850 (Easy: 0.4898, Hard: 1.0732) | LR: 0.001000
=> Epoch 003 | Train: 0.9453 (Easy: 0.5574, Hard: 1.3243) | Val: 0.7635 (Easy: 0.4776, Hard: 1.0438) | LR: 0.001000
=> Epoch 004 | Train: 0.9083 (Easy: 0.5479, Hard: 1.2532) | Val: 0.7567 (Easy: 0.4805, Hard: 1.0305) | LR: 0.001000
=> Epoch 005 | Train: 0.9125 (Easy: 0.5544, Hard: 1.2578) | Val: 0.7470 (Easy: 0.4692, Hard: 1.0274) | LR: 0.001000
=> Epoch 006 | Train: 0.9014 (Easy: 0.5422, Hard: 1.2420) | Val: 0.7422 (Easy: 0.4690, Hard: 1.0136) | LR: 0.001000
=> Epoch 007 | Train: 0.8769 (Easy: 0.5345, Hard: 1.2061) | Val: 0.7376 (Easy: 0.4675, Hard: 1.0054) | LR: 0.001000
=> Epoch 008 | Train: 0.8749 (Easy: 0.5339, Hard: 1.2012) | Val: 0.7421 (Easy: 0.4662, Hard: 1.0182) | LR: 0.001000
=> Epoch 009 | Train: 0.8610 (Easy: 0.5217, Hard: 1.1826) | Val: 0.7429 (Easy: 0.4783, Hard: 1.0086) | LR: 0.001000
=> Epoch 010 | Train: 0.8563 (Easy: 0.5267, Hard: 1.1726) | Val: 0.7396 (Easy: 0.4661, Hard: 1.0201) | LR: 0.001000
=> Epoch 011 | Train: 0.8388 (Easy: 0.5092, Hard: 1.1476) | Val: 0.7299 (Easy: 0.4554, Hard: 1.0118) | LR: 0.001000
=> Epoch 012 | Train: 0.8359 (Easy: 0.5145, Hard: 1.1400) | Val: 0.7195 (Easy: 0.4486, Hard: 0.9977) | LR: 0.001000
=> Epoch 013 | Train: 0.8382 (Easy: 0.5150, Hard: 1.1472) | Val: 0.7248 (Easy: 0.4534, Hard: 1.0033) | LR: 0.001000
=> Epoch 014 | Train: 0.8334 (Easy: 0.5117, Hard: 1.1439) | Val: 0.7148 (Easy: 0.4458, Hard: 0.9906) | LR: 0.001000
=> Epoch 015 | Train: 0.8206 (Easy: 0.5055, Hard: 1.1222) | Val: 0.7264 (Easy: 0.4621, Hard: 0.9958) | LR: 0.001000
=> Epoch 016 | Train: 0.8283 (Easy: 0.5118, Hard: 1.1163) | Val: 0.7121 (Easy: 0.4451, Hard: 0.9866) | LR: 0.001000
=> Epoch 017 | Train: 0.8174 (Easy: 0.5073, Hard: 1.1096) | Val: 0.6991 (Easy: 0.4362, Hard: 0.9711) | LR: 0.001000
=> Epoch 018 | Train: 0.8126 (Easy: 0.5039, Hard: 1.1015) | Val: 0.6966 (Easy: 0.4350, Hard: 0.9666) | LR: 0.001000
=> Epoch 019 | Train: 0.8129 (Easy: 0.5125, Hard: 1.0973) | Val: 0.6965 (Easy: 0.4376, Hard: 0.9617) | LR: 0.001000
=> Epoch 020 | Train: 0.8067 (Easy: 0.5035, Hard: 1.0876) | Val: 0.6927 (Easy: 0.4354, Hard: 0.9583) | LR: 0.001000
=> Epoch 021 | Train: 0.8006 (Easy: 0.5050, Hard: 1.0767) | Val: 0.6911 (Easy: 0.4326, Hard: 0.9573) | LR: 0.001000
=> Epoch 022 | Train: 0.7944 (Easy: 0.5029, Hard: 1.0712) | Val: 0.6935 (Easy: 0.4395, Hard: 0.9527) | LR: 0.001000
=> Epoch 023 | Train: 0.7831 (Easy: 0.4922, Hard: 1.0601) | Val: 0.6751 (Easy: 0.4243, Hard: 0.9342) | LR: 0.001000
=> Epoch 024 | Train: 0.7904 (Easy: 0.4948, Hard: 1.0758) | Val: 0.6721 (Easy: 0.4257, Hard: 0.9257) | LR: 0.001000
=> Epoch 025 | Train: 0.7769 (Easy: 0.4868, Hard: 1.0516) | Val: 0.6737 (Easy: 0.4296, Hard: 0.9246) | LR: 0.001000
=> Epoch 026 | Train: 0.7779 (Easy: 0.4841, Hard: 1.0565) | Val: 0.6666 (Easy: 0.4213, Hard: 0.9203) | LR: 0.001000
=> Epoch 027 | Train: 0.7930 (Easy: 0.5012, Hard: 1.0632) | Val: 0.6654 (Easy: 0.4222, Hard: 0.9188) | LR: 0.001000
=> Epoch 028 | Train: 0.7684 (Easy: 0.4845, Hard: 1.0397) | Val: 0.6708 (Easy: 0.4300, Hard: 0.9199) | LR: 0.001000
=> Epoch 029 | Train: 0.7684 (Easy: 0.4841, Hard: 1.0395) | Val: 0.6608 (Easy: 0.4232, Hard: 0.9083) | LR: 0.001000
=> Epoch 030 | Train: 0.7704 (Easy: 0.4841, Hard: 1.0489) | Val: 0.6612 (Easy: 0.4254, Hard: 0.9063) | LR: 0.001000
=> Epoch 031 | Train: 0.7664 (Easy: 0.4905, Hard: 1.0294) | Val: 0.6550 (Easy: 0.4218, Hard: 0.8995) | LR: 0.001000
