=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_classroom']
=> Epoch 000 | Train: 1.1940 (Easy: 0.8610, Hard: 1.5122) | Val: 0.8841 (Easy: 0.5445, Hard: 1.2129) | LR: 0.001000
=> Epoch 001 | Train: 0.9832 (Easy: 0.5684, Hard: 1.3884) | Val: 0.8197 (Easy: 0.5077, Hard: 1.1283) | LR: 0.001000
=> Epoch 002 | Train: 0.9468 (Easy: 0.5675, Hard: 1.3136) | Val: 0.7846 (Easy: 0.4850, Hard: 1.0831) | LR: 0.001000
=> Epoch 003 | Train: 0.9360 (Easy: 0.5471, Hard: 1.3180) | Val: 0.7715 (Easy: 0.4737, Hard: 1.0695) | LR: 0.001000
=> Epoch 004 | Train: 0.8972 (Easy: 0.5352, Hard: 1.2471) | Val: 0.7617 (Easy: 0.4723, Hard: 1.0518) | LR: 0.001000
=> Epoch 005 | Train: 0.8981 (Easy: 0.5374, Hard: 1.2501) | Val: 0.7572 (Easy: 0.4690, Hard: 1.0474) | LR: 0.001000
=> Epoch 006 | Train: 0.8953 (Easy: 0.5269, Hard: 1.2531) | Val: 0.7536 (Easy: 0.4646, Hard: 1.0420) | LR: 0.001000
=> Epoch 007 | Train: 0.8762 (Easy: 0.5203, Hard: 1.2259) | Val: 0.7507 (Easy: 0.4631, Hard: 1.0384) | LR: 0.001000
=> Epoch 008 | Train: 0.8694 (Easy: 0.5193, Hard: 1.2131) | Val: 0.7490 (Easy: 0.4651, Hard: 1.0340) | LR: 0.001000
=> Epoch 009 | Train: 0.8644 (Easy: 0.5188, Hard: 1.1994) | Val: 0.7402 (Easy: 0.4642, Hard: 1.0187) | LR: 0.001000
=> Epoch 010 | Train: 0.8617 (Easy: 0.5182, Hard: 1.1925) | Val: 0.7328 (Easy: 0.4578, Hard: 1.0101) | LR: 0.001000
=> Epoch 011 | Train: 0.8462 (Easy: 0.4995, Hard: 1.1812) | Val: 0.7292 (Easy: 0.4539, Hard: 1.0067) | LR: 0.001000
=> Epoch 012 | Train: 0.8394 (Easy: 0.5007, Hard: 1.1692) | Val: 0.7262 (Easy: 0.4601, Hard: 0.9934) | LR: 0.001000
=> Epoch 013 | Train: 0.8424 (Easy: 0.5059, Hard: 1.1686) | Val: 0.7237 (Easy: 0.4568, Hard: 0.9938) | LR: 0.001000
=> Epoch 014 | Train: 0.8398 (Easy: 0.5017, Hard: 1.1725) | Val: 0.7202 (Easy: 0.4552, Hard: 0.9876) | LR: 0.001000
=> Epoch 015 | Train: 0.8263 (Easy: 0.4910, Hard: 1.1527) | Val: 0.7227 (Easy: 0.4639, Hard: 0.9839) | LR: 0.001000
=> Epoch 016 | Train: 0.8205 (Easy: 0.4966, Hard: 1.1244) | Val: 0.7158 (Easy: 0.4551, Hard: 0.9798) | LR: 0.001000
=> Epoch 017 | Train: 0.8174 (Easy: 0.4900, Hard: 1.1342) | Val: 0.7141 (Easy: 0.4534, Hard: 0.9759) | LR: 0.001000
=> Epoch 018 | Train: 0.8141 (Easy: 0.4901, Hard: 1.1247) | Val: 0.7125 (Easy: 0.4532, Hard: 0.9728) | LR: 0.001000
=> Epoch 019 | Train: 0.8108 (Easy: 0.4980, Hard: 1.1160) | Val: 0.7102 (Easy: 0.4517, Hard: 0.9696) | LR: 0.001000
=> Epoch 020 | Train: 0.8112 (Easy: 0.4896, Hard: 1.1155) | Val: 0.7096 (Easy: 0.4557, Hard: 0.9643) | LR: 0.001000
=> Epoch 021 | Train: 0.8077 (Easy: 0.4906, Hard: 1.1144) | Val: 0.7101 (Easy: 0.4523, Hard: 0.9662) | LR: 0.001000
=> Epoch 022 | Train: 0.7953 (Easy: 0.4892, Hard: 1.0871) | Val: 0.7098 (Easy: 0.4550, Hard: 0.9637) | LR: 0.001000
=> Epoch 023 | Train: 0.7871 (Easy: 0.4754, Hard: 1.0886) | Val: 0.7011 (Easy: 0.4511, Hard: 0.9507) | LR: 0.001000
=> Epoch 024 | Train: 0.8004 (Easy: 0.4808, Hard: 1.1108) | Val: 0.6956 (Easy: 0.4441, Hard: 0.9463) | LR: 0.001000
=> Epoch 025 | Train: 0.7972 (Easy: 0.4771, Hard: 1.1063) | Val: 0.6974 (Easy: 0.4474, Hard: 0.9471) | LR: 0.001000
=> Epoch 026 | Train: 0.7853 (Easy: 0.4722, Hard: 1.0916) | Val: 0.6951 (Easy: 0.4492, Hard: 0.9402) | LR: 0.001000
=> Epoch 027 | Train: 0.8008 (Easy: 0.4865, Hard: 1.1021) | Val: 0.6865 (Easy: 0.4454, Hard: 0.9280) | LR: 0.001000
=> Epoch 028 | Train: 0.7756 (Easy: 0.4722, Hard: 1.0635) | Val: 0.6901 (Easy: 0.4515, Hard: 0.9301) | LR: 0.001000
=> Epoch 029 | Train: 0.7719 (Easy: 0.4741, Hard: 1.0594) | Val: 0.6842 (Easy: 0.4492, Hard: 0.9225) | LR: 0.001000
=> Epoch 030 | Train: 0.7759 (Easy: 0.4756, Hard: 1.0701) | Val: 0.6847 (Easy: 0.4447, Hard: 0.9256) | LR: 0.001000
=> Epoch 031 | Train: 0.7754 (Easy: 0.4745, Hard: 1.0647) | Val: 0.6791 (Easy: 0.4413, Hard: 0.9189) | LR: 0.001000
=> Epoch 032 | Train: 0.7735 (Easy: 0.4750, Hard: 1.0629) | Val: 0.6764 (Easy: 0.4427, Hard: 0.9145) | LR: 0.001000
=> Epoch 033 | Train: 0.7538 (Easy: 0.4692, Hard: 1.0235) | Val: 0.6762 (Easy: 0.4436, Hard: 0.9107) | LR: 0.001000
=> Epoch 034 | Train: 0.7648 (Easy: 0.4751, Hard: 1.0440) | Val: 0.6666 (Easy: 0.4412, Hard: 0.8970) | LR: 0.001000
=> Epoch 035 | Train: 0.7708 (Easy: 0.4792, Hard: 1.0522) | Val: 0.6776 (Easy: 0.4460, Hard: 0.9121) | LR: 0.001000
=> Epoch 036 | Train: 0.7658 (Easy: 0.4733, Hard: 1.0473) | Val: 0.6712 (Easy: 0.4421, Hard: 0.9022) | LR: 0.001000
=> Epoch 037 | Train: 0.7507 (Easy: 0.4620, Hard: 1.0285) | Val: 0.6747 (Easy: 0.4418, Hard: 0.9097) | LR: 0.001000
=> Epoch 038 | Train: 0.7654 (Easy: 0.4718, Hard: 1.0465) | Val: 0.6674 (Easy: 0.4381, Hard: 0.8996) | LR: 0.001000
=> Epoch 039 | Train: 0.7596 (Easy: 0.4726, Hard: 1.0405) | Val: 0.6679 (Easy: 0.4395, Hard: 0.8983) | LR: 0.001000
=> Epoch 040 | Train: 0.7466 (Easy: 0.4639, Hard: 1.0131) | Val: 0.6616 (Easy: 0.4366, Hard: 0.8870) | LR: 0.001000
=> Epoch 041 | Train: 0.7561 (Easy: 0.4650, Hard: 1.0365) | Val: 0.6536 (Easy: 0.4355, Hard: 0.8762) | LR: 0.001000
=> Epoch 042 | Train: 0.7491 (Easy: 0.4724, Hard: 1.0208) | Val: 0.6648 (Easy: 0.4375, Hard: 0.8957) | LR: 0.001000
=> Epoch 043 | Train: 0.7436 (Easy: 0.4571, Hard: 1.0190) | Val: 0.6606 (Easy: 0.4305, Hard: 0.8962) | LR: 0.001000
=> Epoch 044 | Train: 0.7406 (Easy: 0.4635, Hard: 1.0090) | Val: 0.6620 (Easy: 0.4365, Hard: 0.8938) | LR: 0.001000
=> Epoch 045 | Train: 0.7493 (Easy: 0.4568, Hard: 1.0268) | Val: 0.6550 (Easy: 0.4341, Hard: 0.8783) | LR: 0.001000
=> Epoch 046 | Train: 0.7345 (Easy: 0.4619, Hard: 0.9948) | Val: 0.6636 (Easy: 0.4333, Hard: 0.8982) | LR: 0.001000
=> Epoch 047 | Train: 0.7400 (Easy: 0.4545, Hard: 1.0113) | Val: 0.6554 (Easy: 0.4356, Hard: 0.8779) | LR: 0.001000
=> Epoch 048 | Train: 0.7353 (Easy: 0.4598, Hard: 1.0000) | Val: 0.6518 (Easy: 0.4325, Hard: 0.8739) | LR: 0.001000
=> Epoch 049 | Train: 0.7286 (Easy: 0.4513, Hard: 0.9913) | Val: 0.6551 (Easy: 0.4289, Hard: 0.8831) | LR: 0.001000
