=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_common']
=> Epoch 000 | Train: 1.2057 (Easy: 0.8729, Hard: 1.5243) | Val: 0.8977 (Easy: 0.5641, Hard: 1.2172) | LR: 0.001000
=> Epoch 001 | Train: 0.9978 (Easy: 0.5789, Hard: 1.4067) | Val: 0.8298 (Easy: 0.5128, Hard: 1.1415) | LR: 0.001000
=> Epoch 002 | Train: 0.9611 (Easy: 0.5654, Hard: 1.3493) | Val: 0.7872 (Easy: 0.4874, Hard: 1.0859) | LR: 0.001000
=> Epoch 003 | Train: 0.9479 (Easy: 0.5503, Hard: 1.3415) | Val: 0.7709 (Easy: 0.4765, Hard: 1.0669) | LR: 0.001000
=> Epoch 004 | Train: 0.9153 (Easy: 0.5418, Hard: 1.2771) | Val: 0.7612 (Easy: 0.4796, Hard: 1.0464) | LR: 0.001000
=> Epoch 005 | Train: 0.9103 (Easy: 0.5444, Hard: 1.2654) | Val: 0.7507 (Easy: 0.4648, Hard: 1.0456) | LR: 0.001000
=> Epoch 006 | Train: 0.9105 (Easy: 0.5325, Hard: 1.2748) | Val: 0.7487 (Easy: 0.4616, Hard: 1.0431) | LR: 0.001000
=> Epoch 007 | Train: 0.8896 (Easy: 0.5230, Hard: 1.2448) | Val: 0.7508 (Easy: 0.4629, Hard: 1.0441) | LR: 0.001000
=> Epoch 008 | Train: 0.8872 (Easy: 0.5227, Hard: 1.2387) | Val: 0.7412 (Easy: 0.4549, Hard: 1.0332) | LR: 0.001000
=> Epoch 009 | Train: 0.8777 (Easy: 0.5189, Hard: 1.2227) | Val: 0.7365 (Easy: 0.4582, Hard: 1.0211) | LR: 0.001000
=> Epoch 010 | Train: 0.8687 (Easy: 0.5143, Hard: 1.2075) | Val: 0.7329 (Easy: 0.4537, Hard: 1.0200) | LR: 0.001000
=> Epoch 011 | Train: 0.8514 (Easy: 0.4974, Hard: 1.1865) | Val: 0.7291 (Easy: 0.4518, Hard: 1.0145) | LR: 0.001000
=> Epoch 012 | Train: 0.8514 (Easy: 0.5045, Hard: 1.1838) | Val: 0.7183 (Easy: 0.4458, Hard: 0.9980) | LR: 0.001000
=> Epoch 013 | Train: 0.8463 (Easy: 0.5030, Hard: 1.1751) | Val: 0.7204 (Easy: 0.4510, Hard: 0.9990) | LR: 0.001000
=> Epoch 014 | Train: 0.8406 (Easy: 0.4956, Hard: 1.1748) | Val: 0.7190 (Easy: 0.4541, Hard: 0.9905) | LR: 0.001000
=> Epoch 015 | Train: 0.8314 (Easy: 0.4892, Hard: 1.1599) | Val: 0.7082 (Easy: 0.4463, Hard: 0.9787) | LR: 0.001000
=> Epoch 016 | Train: 0.8238 (Easy: 0.4983, Hard: 1.1235) | Val: 0.7006 (Easy: 0.4406, Hard: 0.9691) | LR: 0.001000
=> Epoch 017 | Train: 0.8172 (Easy: 0.4950, Hard: 1.1287) | Val: 0.6994 (Easy: 0.4414, Hard: 0.9666) | LR: 0.001000
=> Epoch 018 | Train: 0.8156 (Easy: 0.4915, Hard: 1.1267) | Val: 0.7040 (Easy: 0.4480, Hard: 0.9676) | LR: 0.001000
=> Epoch 019 | Train: 0.8095 (Easy: 0.4920, Hard: 1.1158) | Val: 0.6984 (Easy: 0.4446, Hard: 0.9595) | LR: 0.001000
=> Epoch 020 | Train: 0.8123 (Easy: 0.4928, Hard: 1.1141) | Val: 0.6975 (Easy: 0.4472, Hard: 0.9537) | LR: 0.001000
=> Epoch 021 | Train: 0.8012 (Easy: 0.4830, Hard: 1.1064) | Val: 0.6940 (Easy: 0.4427, Hard: 0.9520) | LR: 0.001000
=> Epoch 022 | Train: 0.7940 (Easy: 0.4826, Hard: 1.0908) | Val: 0.6994 (Easy: 0.4513, Hard: 0.9547) | LR: 0.001000
=> Epoch 023 | Train: 0.7813 (Easy: 0.4754, Hard: 1.0773) | Val: 0.6861 (Easy: 0.4435, Hard: 0.9355) | LR: 0.001000
=> Epoch 024 | Train: 0.7839 (Easy: 0.4790, Hard: 1.0807) | Val: 0.6830 (Easy: 0.4424, Hard: 0.9299) | LR: 0.001000
=> Epoch 025 | Train: 0.7742 (Easy: 0.4766, Hard: 1.0607) | Val: 0.6912 (Easy: 0.4502, Hard: 0.9382) | LR: 0.001000
=> Epoch 026 | Train: 0.7757 (Easy: 0.4723, Hard: 1.0675) | Val: 0.6738 (Easy: 0.4344, Hard: 0.9194) | LR: 0.001000
=> Epoch 027 | Train: 0.7883 (Easy: 0.4865, Hard: 1.0745) | Val: 0.6691 (Easy: 0.4311, Hard: 0.9140) | LR: 0.001000
