=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_hallway']
=> Epoch 000 | Train: 1.2017 (Easy: 0.8733, Hard: 1.5163) | Val: 0.9004 (Easy: 0.5891, Hard: 1.1958) | LR: 0.001000
=> Epoch 001 | Train: 0.9789 (Easy: 0.5938, Hard: 1.3556) | Val: 0.8053 (Easy: 0.5057, Hard: 1.0969) | LR: 0.001000
=> Epoch 002 | Train: 0.9333 (Easy: 0.5613, Hard: 1.3012) | Val: 0.7733 (Easy: 0.4778, Hard: 1.0636) | LR: 0.001000
=> Epoch 003 | Train: 0.9149 (Easy: 0.5299, Hard: 1.2949) | Val: 0.7527 (Easy: 0.4642, Hard: 1.0421) | LR: 0.001000
=> Epoch 004 | Train: 0.8859 (Easy: 0.5256, Hard: 1.2369) | Val: 0.7481 (Easy: 0.4600, Hard: 1.0386) | LR: 0.001000
=> Epoch 005 | Train: 0.8824 (Easy: 0.5244, Hard: 1.2326) | Val: 0.7385 (Easy: 0.4596, Hard: 1.0211) | LR: 0.001000
=> Epoch 006 | Train: 0.8763 (Easy: 0.5202, Hard: 1.2254) | Val: 0.7332 (Easy: 0.4542, Hard: 1.0163) | LR: 0.001000
=> Epoch 007 | Train: 0.8566 (Easy: 0.5063, Hard: 1.2017) | Val: 0.7306 (Easy: 0.4526, Hard: 1.0136) | LR: 0.001000
=> Epoch 008 | Train: 0.8561 (Easy: 0.5003, Hard: 1.2000) | Val: 0.7244 (Easy: 0.4495, Hard: 1.0050) | LR: 0.001000
=> Epoch 009 | Train: 0.8460 (Easy: 0.5051, Hard: 1.1791) | Val: 0.7197 (Easy: 0.4529, Hard: 0.9906) | LR: 0.001000
=> Epoch 010 | Train: 0.8388 (Easy: 0.4955, Hard: 1.1738) | Val: 0.7198 (Easy: 0.4547, Hard: 0.9884) | LR: 0.001000
=> Epoch 011 | Train: 0.8298 (Easy: 0.4872, Hard: 1.1620) | Val: 0.7064 (Easy: 0.4527, Hard: 0.9642) | LR: 0.001000
=> Epoch 012 | Train: 0.8113 (Easy: 0.4847, Hard: 1.1308) | Val: 0.7022 (Easy: 0.4496, Hard: 0.9604) | LR: 0.001000
=> Epoch 013 | Train: 0.8142 (Easy: 0.4825, Hard: 1.1391) | Val: 0.7077 (Easy: 0.4585, Hard: 0.9627) | LR: 0.001000
=> Epoch 014 | Train: 0.8119 (Easy: 0.4871, Hard: 1.1324) | Val: 0.7022 (Easy: 0.4572, Hard: 0.9499) | LR: 0.001000
=> Epoch 015 | Train: 0.7981 (Easy: 0.4716, Hard: 1.1161) | Val: 0.6993 (Easy: 0.4535, Hard: 0.9506) | LR: 0.001000
