=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'closeness']
=> Epoch 000 | Train: 1.1811 (Easy: 0.8382, Hard: 1.5147) | Val: 0.8948 (Easy: 0.5569, Hard: 1.2167) | LR: 0.001000
=> Epoch 001 | Train: 1.0016 (Easy: 0.5806, Hard: 1.4175) | Val: 0.8365 (Easy: 0.5069, Hard: 1.1558) | LR: 0.001000
=> Epoch 002 | Train: 0.9727 (Easy: 0.5698, Hard: 1.3765) | Val: 0.7965 (Easy: 0.4883, Hard: 1.0991) | LR: 0.001000
=> Epoch 003 | Train: 0.9359 (Easy: 0.5529, Hard: 1.3182) | Val: 0.7692 (Easy: 0.4805, Hard: 1.0565) | LR: 0.001000
=> Epoch 004 | Train: 0.9074 (Easy: 0.5350, Hard: 1.2683) | Val: 0.7581 (Easy: 0.4771, Hard: 1.0419) | LR: 0.001000
=> Epoch 005 | Train: 0.9011 (Easy: 0.5389, Hard: 1.2596) | Val: 0.7532 (Easy: 0.4778, Hard: 1.0308) | LR: 0.001000
=> Epoch 006 | Train: 0.8891 (Easy: 0.5220, Hard: 1.2481) | Val: 0.7382 (Easy: 0.4547, Hard: 1.0280) | LR: 0.001000
=> Epoch 007 | Train: 0.8794 (Easy: 0.5250, Hard: 1.2258) | Val: 0.7366 (Easy: 0.4551, Hard: 1.0228) | LR: 0.001000
=> Epoch 008 | Train: 0.8601 (Easy: 0.5126, Hard: 1.1984) | Val: 0.7283 (Easy: 0.4514, Hard: 1.0120) | LR: 0.001000
=> Epoch 009 | Train: 0.8671 (Easy: 0.5319, Hard: 1.1889) | Val: 0.7273 (Easy: 0.4524, Hard: 1.0079) | LR: 0.001000
=> Epoch 010 | Train: 0.8657 (Easy: 0.5183, Hard: 1.2087) | Val: 0.7267 (Easy: 0.4512, Hard: 1.0084) | LR: 0.001000
=> Epoch 011 | Train: 0.8419 (Easy: 0.4963, Hard: 1.1727) | Val: 0.7221 (Easy: 0.4494, Hard: 1.0018) | LR: 0.001000
=> Epoch 012 | Train: 0.8388 (Easy: 0.4984, Hard: 1.1663) | Val: 0.7183 (Easy: 0.4491, Hard: 0.9951) | LR: 0.001000
=> Epoch 013 | Train: 0.8435 (Easy: 0.5039, Hard: 1.1703) | Val: 0.7149 (Easy: 0.4460, Hard: 0.9905) | LR: 0.001000
=> Epoch 014 | Train: 0.8345 (Easy: 0.5052, Hard: 1.1546) | Val: 0.7158 (Easy: 0.4500, Hard: 0.9882) | LR: 0.001000
=> Epoch 015 | Train: 0.8282 (Easy: 0.4901, Hard: 1.1520) | Val: 0.7096 (Easy: 0.4494, Hard: 0.9751) | LR: 0.001000
=> Epoch 016 | Train: 0.8373 (Easy: 0.5052, Hard: 1.1494) | Val: 0.7101 (Easy: 0.4453, Hard: 0.9786) | LR: 0.001000
=> Epoch 017 | Train: 0.8168 (Easy: 0.5021, Hard: 1.1199) | Val: 0.6995 (Easy: 0.4364, Hard: 0.9663) | LR: 0.001000
=> Epoch 018 | Train: 0.8191 (Easy: 0.4947, Hard: 1.1268) | Val: 0.7068 (Easy: 0.4477, Hard: 0.9696) | LR: 0.001000
=> Epoch 019 | Train: 0.8122 (Easy: 0.5034, Hard: 1.1096) | Val: 0.6931 (Easy: 0.4347, Hard: 0.9559) | LR: 0.001000
=> Epoch 020 | Train: 0.8030 (Easy: 0.4995, Hard: 1.0933) | Val: 0.6864 (Easy: 0.4349, Hard: 0.9433) | LR: 0.001000
=> Epoch 021 | Train: 0.7997 (Easy: 0.4862, Hard: 1.0977) | Val: 0.6882 (Easy: 0.4337, Hard: 0.9456) | LR: 0.001000
