=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'ct']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'ct']
=> Epoch 000 | Train: 1.1928 (Easy: 0.8519, Hard: 1.5229) | Val: 0.8995 (Easy: 0.5662, Hard: 1.2149) | LR: 0.001000
=> Epoch 001 | Train: 1.0003 (Easy: 0.5800, Hard: 1.4151) | Val: 0.8277 (Easy: 0.5092, Hard: 1.1361) | LR: 0.001000
=> Epoch 002 | Train: 0.9658 (Easy: 0.5642, Hard: 1.3696) | Val: 0.7867 (Easy: 0.4896, Hard: 1.0780) | LR: 0.001000
=> Epoch 003 | Train: 0.9362 (Easy: 0.5527, Hard: 1.3182) | Val: 0.7640 (Easy: 0.4789, Hard: 1.0457) | LR: 0.001000
=> Epoch 004 | Train: 0.9073 (Easy: 0.5372, Hard: 1.2649) | Val: 0.7538 (Easy: 0.4747, Hard: 1.0303) | LR: 0.001000
=> Epoch 005 | Train: 0.8958 (Easy: 0.5368, Hard: 1.2504) | Val: 0.7485 (Easy: 0.4763, Hard: 1.0211) | LR: 0.001000
=> Epoch 006 | Train: 0.8827 (Easy: 0.5198, Hard: 1.2381) | Val: 0.7359 (Easy: 0.4578, Hard: 1.0174) | LR: 0.001000
=> Epoch 007 | Train: 0.8704 (Easy: 0.5184, Hard: 1.2131) | Val: 0.7352 (Easy: 0.4566, Hard: 1.0184) | LR: 0.001000
=> Epoch 008 | Train: 0.8561 (Easy: 0.5117, Hard: 1.1916) | Val: 0.7285 (Easy: 0.4543, Hard: 1.0077) | LR: 0.001000
=> Epoch 009 | Train: 0.8593 (Easy: 0.5253, Hard: 1.1793) | Val: 0.7268 (Easy: 0.4554, Hard: 1.0015) | LR: 0.001000
=> Epoch 010 | Train: 0.8585 (Easy: 0.5162, Hard: 1.1959) | Val: 0.7326 (Easy: 0.4560, Hard: 1.0139) | LR: 0.001000
=> Epoch 011 | Train: 0.8397 (Easy: 0.4978, Hard: 1.1663) | Val: 0.7197 (Easy: 0.4513, Hard: 0.9930) | LR: 0.001000
=> Epoch 012 | Train: 0.8354 (Easy: 0.4977, Hard: 1.1603) | Val: 0.7255 (Easy: 0.4599, Hard: 0.9941) | LR: 0.001000
=> Epoch 013 | Train: 0.8375 (Easy: 0.5039, Hard: 1.1566) | Val: 0.7169 (Easy: 0.4540, Hard: 0.9829) | LR: 0.001000
=> Epoch 014 | Train: 0.8291 (Easy: 0.5020, Hard: 1.1484) | Val: 0.7147 (Easy: 0.4545, Hard: 0.9758) | LR: 0.001000
=> Epoch 015 | Train: 0.8201 (Easy: 0.4896, Hard: 1.1379) | Val: 0.7128 (Easy: 0.4563, Hard: 0.9705) | LR: 0.001000
=> Epoch 016 | Train: 0.8243 (Easy: 0.5014, Hard: 1.1238) | Val: 0.7177 (Easy: 0.4493, Hard: 0.9867) | LR: 0.001000
=> Epoch 017 | Train: 0.8185 (Easy: 0.5027, Hard: 1.1245) | Val: 0.7060 (Easy: 0.4509, Hard: 0.9610) | LR: 0.001000
=> Epoch 018 | Train: 0.8135 (Easy: 0.4888, Hard: 1.1242) | Val: 0.7210 (Easy: 0.4537, Hard: 0.9894) | LR: 0.001000
=> Epoch 019 | Train: 0.8040 (Easy: 0.5001, Hard: 1.0978) | Val: 0.7128 (Easy: 0.4497, Hard: 0.9781) | LR: 0.001000
=> Epoch 020 | Train: 0.7976 (Easy: 0.4968, Hard: 1.0874) | Val: 0.7052 (Easy: 0.4520, Hard: 0.9605) | LR: 0.001000
=> Epoch 021 | Train: 0.8012 (Easy: 0.4881, Hard: 1.1027) | Val: 0.7080 (Easy: 0.4478, Hard: 0.9672) | LR: 0.001000
=> Epoch 022 | Train: 0.7875 (Easy: 0.4903, Hard: 1.0712) | Val: 0.7123 (Easy: 0.4482, Hard: 0.9768) | LR: 0.001000
=> Epoch 023 | Train: 0.7849 (Easy: 0.4692, Hard: 1.0869) | Val: 0.7001 (Easy: 0.4546, Hard: 0.9442) | LR: 0.001000
=> Epoch 024 | Train: 0.7748 (Easy: 0.4803, Hard: 1.0603) | Val: 0.6960 (Easy: 0.4542, Hard: 0.9377) | LR: 0.001000
=> Epoch 025 | Train: 0.7767 (Easy: 0.4771, Hard: 1.0656) | Val: 0.6986 (Easy: 0.4447, Hard: 0.9548) | LR: 0.001000
=> Epoch 026 | Train: 0.7738 (Easy: 0.4738, Hard: 1.0627) | Val: 0.6845 (Easy: 0.4462, Hard: 0.9250) | LR: 0.001000
=> Epoch 027 | Train: 0.7708 (Easy: 0.4744, Hard: 1.0518) | Val: 0.6840 (Easy: 0.4410, Hard: 0.9335) | LR: 0.001000
=> Epoch 028 | Train: 0.7470 (Easy: 0.4666, Hard: 1.0215) | Val: 0.6953 (Easy: 0.4414, Hard: 0.9562) | LR: 0.001000
=> Epoch 029 | Train: 0.7580 (Easy: 0.4706, Hard: 1.0395) | Val: 0.6856 (Easy: 0.4474, Hard: 0.9293) | LR: 0.001000
=> Epoch 030 | Train: 0.7588 (Easy: 0.4712, Hard: 1.0413) | Val: 0.6848 (Easy: 0.4473, Hard: 0.9286) | LR: 0.001000
=> Epoch 031 | Train: 0.7472 (Easy: 0.4676, Hard: 1.0162) | Val: 0.6769 (Easy: 0.4358, Hard: 0.9274) | LR: 0.001000
=> Epoch 032 | Train: 0.7522 (Easy: 0.4685, Hard: 1.0273) | Val: 0.6831 (Easy: 0.4394, Hard: 0.9328) | LR: 0.001000
=> Epoch 033 | Train: 0.7459 (Easy: 0.4697, Hard: 1.0094) | Val: 0.6907 (Easy: 0.4407, Hard: 0.9510) | LR: 0.001000
=> Epoch 034 | Train: 0.7440 (Easy: 0.4661, Hard: 1.0097) | Val: 0.6794 (Easy: 0.4358, Hard: 0.9342) | LR: 0.001000
