=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'degree']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'degree']
=> Epoch 000 | Train: 1.1845 (Easy: 0.8422, Hard: 1.5176) | Val: 0.8962 (Easy: 0.5585, Hard: 1.2169) | LR: 0.001000
=> Epoch 001 | Train: 0.9997 (Easy: 0.5816, Hard: 1.4135) | Val: 0.8319 (Easy: 0.5061, Hard: 1.1473) | LR: 0.001000
=> Epoch 002 | Train: 0.9682 (Easy: 0.5682, Hard: 1.3697) | Val: 0.7906 (Easy: 0.4894, Hard: 1.0855) | LR: 0.001000
=> Epoch 003 | Train: 0.9316 (Easy: 0.5519, Hard: 1.3100) | Val: 0.7651 (Easy: 0.4798, Hard: 1.0489) | LR: 0.001000
=> Epoch 004 | Train: 0.9052 (Easy: 0.5347, Hard: 1.2630) | Val: 0.7534 (Easy: 0.4747, Hard: 1.0337) | LR: 0.001000
=> Epoch 005 | Train: 0.8978 (Easy: 0.5349, Hard: 1.2547) | Val: 0.7508 (Easy: 0.4780, Hard: 1.0250) | LR: 0.001000
=> Epoch 006 | Train: 0.8840 (Easy: 0.5190, Hard: 1.2398) | Val: 0.7358 (Easy: 0.4556, Hard: 1.0202) | LR: 0.001000
=> Epoch 007 | Train: 0.8759 (Easy: 0.5217, Hard: 1.2215) | Val: 0.7351 (Easy: 0.4558, Hard: 1.0185) | LR: 0.001000
=> Epoch 008 | Train: 0.8571 (Easy: 0.5114, Hard: 1.1928) | Val: 0.7257 (Easy: 0.4505, Hard: 1.0069) | LR: 0.001000
=> Epoch 009 | Train: 0.8625 (Easy: 0.5277, Hard: 1.1846) | Val: 0.7260 (Easy: 0.4523, Hard: 1.0052) | LR: 0.001000
=> Epoch 010 | Train: 0.8622 (Easy: 0.5171, Hard: 1.2023) | Val: 0.7244 (Easy: 0.4497, Hard: 1.0052) | LR: 0.001000
=> Epoch 011 | Train: 0.8405 (Easy: 0.4975, Hard: 1.1682) | Val: 0.7193 (Easy: 0.4488, Hard: 0.9959) | LR: 0.001000
=> Epoch 012 | Train: 0.8372 (Easy: 0.4956, Hard: 1.1656) | Val: 0.7155 (Easy: 0.4506, Hard: 0.9869) | LR: 0.001000
=> Epoch 013 | Train: 0.8412 (Easy: 0.5037, Hard: 1.1651) | Val: 0.7109 (Easy: 0.4436, Hard: 0.9840) | LR: 0.001000
=> Epoch 014 | Train: 0.8322 (Easy: 0.5056, Hard: 1.1503) | Val: 0.7072 (Easy: 0.4441, Hard: 0.9760) | LR: 0.001000
