=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'exit_dist']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'exit_dist']
=> Epoch 000 | Train: 1.2146 (Easy: 0.8825, Hard: 1.5304) | Val: 0.8989 (Easy: 0.5678, Hard: 1.2121) | LR: 0.001000
=> Epoch 001 | Train: 0.9938 (Easy: 0.5884, Hard: 1.3962) | Val: 0.8317 (Easy: 0.5135, Hard: 1.1405) | LR: 0.001000
=> Epoch 002 | Train: 0.9661 (Easy: 0.5746, Hard: 1.3628) | Val: 0.7986 (Easy: 0.4994, Hard: 1.0916) | LR: 0.001000
=> Epoch 003 | Train: 0.9401 (Easy: 0.5608, Hard: 1.3222) | Val: 0.7751 (Easy: 0.4867, Hard: 1.0595) | LR: 0.001000
=> Epoch 004 | Train: 0.9161 (Easy: 0.5425, Hard: 1.2800) | Val: 0.7565 (Easy: 0.4733, Hard: 1.0379) | LR: 0.001000
=> Epoch 005 | Train: 0.9034 (Easy: 0.5397, Hard: 1.2667) | Val: 0.7532 (Easy: 0.4756, Hard: 1.0289) | LR: 0.001000
=> Epoch 006 | Train: 0.8883 (Easy: 0.5252, Hard: 1.2455) | Val: 0.7439 (Easy: 0.4569, Hard: 1.0317) | LR: 0.001000
=> Epoch 007 | Train: 0.8769 (Easy: 0.5180, Hard: 1.2275) | Val: 0.7402 (Easy: 0.4563, Hard: 1.0260) | LR: 0.001000
=> Epoch 008 | Train: 0.8538 (Easy: 0.5098, Hard: 1.1860) | Val: 0.7304 (Easy: 0.4495, Hard: 1.0142) | LR: 0.001000
=> Epoch 009 | Train: 0.8611 (Easy: 0.5187, Hard: 1.1887) | Val: 0.7271 (Easy: 0.4553, Hard: 1.0003) | LR: 0.001000
=> Epoch 010 | Train: 0.8472 (Easy: 0.5080, Hard: 1.1759) | Val: 0.7255 (Easy: 0.4533, Hard: 1.0000) | LR: 0.001000
=> Epoch 011 | Train: 0.8274 (Easy: 0.4908, Hard: 1.1481) | Val: 0.7184 (Easy: 0.4524, Hard: 0.9865) | LR: 0.001000
=> Epoch 012 | Train: 0.8273 (Easy: 0.4950, Hard: 1.1448) | Val: 0.7127 (Easy: 0.4578, Hard: 0.9690) | LR: 0.001000
=> Epoch 013 | Train: 0.8227 (Easy: 0.4970, Hard: 1.1348) | Val: 0.7131 (Easy: 0.4582, Hard: 0.9698) | LR: 0.001000
=> Epoch 014 | Train: 0.8120 (Easy: 0.4971, Hard: 1.1178) | Val: 0.7118 (Easy: 0.4556, Hard: 0.9702) | LR: 0.001000
=> Epoch 015 | Train: 0.8148 (Easy: 0.4892, Hard: 1.1255) | Val: 0.7032 (Easy: 0.4487, Hard: 0.9590) | LR: 0.001000
=> Epoch 016 | Train: 0.8147 (Easy: 0.4994, Hard: 1.1102) | Val: 0.7078 (Easy: 0.4443, Hard: 0.9716) | LR: 0.001000
=> Epoch 017 | Train: 0.8030 (Easy: 0.4962, Hard: 1.0973) | Val: 0.7004 (Easy: 0.4458, Hard: 0.9588) | LR: 0.001000
=> Epoch 018 | Train: 0.8018 (Easy: 0.4903, Hard: 1.0956) | Val: 0.7000 (Easy: 0.4472, Hard: 0.9557) | LR: 0.001000
=> Epoch 019 | Train: 0.8003 (Easy: 0.5020, Hard: 1.0816) | Val: 0.6980 (Easy: 0.4461, Hard: 0.9515) | LR: 0.001000
=> Epoch 020 | Train: 0.7902 (Easy: 0.4970, Hard: 1.0686) | Val: 0.6943 (Easy: 0.4387, Hard: 0.9551) | LR: 0.001000
=> Epoch 021 | Train: 0.7917 (Easy: 0.4789, Hard: 1.0875) | Val: 0.6897 (Easy: 0.4462, Hard: 0.9370) | LR: 0.001000
=> Epoch 022 | Train: 0.7863 (Easy: 0.4855, Hard: 1.0722) | Val: 0.6913 (Easy: 0.4405, Hard: 0.9455) | LR: 0.001000
=> Epoch 023 | Train: 0.7835 (Easy: 0.4736, Hard: 1.0773) | Val: 0.6942 (Easy: 0.4418, Hard: 0.9497) | LR: 0.001000
=> Epoch 024 | Train: 0.7716 (Easy: 0.4761, Hard: 1.0549) | Val: 0.6831 (Easy: 0.4388, Hard: 0.9341) | LR: 0.001000
=> Epoch 025 | Train: 0.7769 (Easy: 0.4713, Hard: 1.0643) | Val: 0.6951 (Easy: 0.4398, Hard: 0.9554) | LR: 0.001000
=> Epoch 026 | Train: 0.7800 (Easy: 0.4772, Hard: 1.0729) | Val: 0.6890 (Easy: 0.4362, Hard: 0.9489) | LR: 0.001000
=> Epoch 027 | Train: 0.7697 (Easy: 0.4752, Hard: 1.0452) | Val: 0.6803 (Easy: 0.4395, Hard: 0.9275) | LR: 0.001000
=> Epoch 028 | Train: 0.7611 (Easy: 0.4695, Hard: 1.0414) | Val: 0.6848 (Easy: 0.4451, Hard: 0.9312) | LR: 0.001000
=> Epoch 029 | Train: 0.7563 (Easy: 0.4709, Hard: 1.0318) | Val: 0.6752 (Easy: 0.4424, Hard: 0.9150) | LR: 0.001000
=> Epoch 030 | Train: 0.7627 (Easy: 0.4762, Hard: 1.0367) | Val: 0.6691 (Easy: 0.4360, Hard: 0.9089) | LR: 0.001000
=> Epoch 031 | Train: 0.7550 (Easy: 0.4646, Hard: 1.0340) | Val: 0.6783 (Easy: 0.4377, Hard: 0.9266) | LR: 0.001000
