=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'has_dead']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'has_dead']
=> Epoch 000 | Train: 1.1848 (Easy: 0.8416, Hard: 1.5169) | Val: 0.8992 (Easy: 0.5620, Hard: 1.2164) | LR: 0.001000
=> Epoch 001 | Train: 1.0010 (Easy: 0.5835, Hard: 1.4117) | Val: 0.8379 (Easy: 0.5136, Hard: 1.1474) | LR: 0.001000
=> Epoch 002 | Train: 0.9717 (Easy: 0.5715, Hard: 1.3687) | Val: 0.7964 (Easy: 0.4950, Hard: 1.0855) | LR: 0.001000
=> Epoch 003 | Train: 0.9416 (Easy: 0.5592, Hard: 1.3173) | Val: 0.7682 (Easy: 0.4864, Hard: 1.0413) | LR: 0.001000
=> Epoch 004 | Train: 0.9093 (Easy: 0.5392, Hard: 1.2608) | Val: 0.7511 (Easy: 0.4773, Hard: 1.0199) | LR: 0.001000
=> Epoch 005 | Train: 0.9034 (Easy: 0.5410, Hard: 1.2595) | Val: 0.7596 (Easy: 0.4928, Hard: 1.0201) | LR: 0.001000
=> Epoch 006 | Train: 0.8880 (Easy: 0.5258, Hard: 1.2354) | Val: 0.7305 (Easy: 0.4612, Hard: 0.9978) | LR: 0.001000
=> Epoch 007 | Train: 0.8712 (Easy: 0.5241, Hard: 1.2061) | Val: 0.7327 (Easy: 0.4663, Hard: 0.9957) | LR: 0.001000
=> Epoch 008 | Train: 0.8601 (Easy: 0.5124, Hard: 1.1920) | Val: 0.7179 (Easy: 0.4497, Hard: 0.9857) | LR: 0.001000
=> Epoch 009 | Train: 0.8594 (Easy: 0.5249, Hard: 1.1772) | Val: 0.7170 (Easy: 0.4545, Hard: 0.9791) | LR: 0.001000
=> Epoch 010 | Train: 0.8525 (Easy: 0.5167, Hard: 1.1770) | Val: 0.7174 (Easy: 0.4575, Hard: 0.9766) | LR: 0.001000
=> Epoch 011 | Train: 0.8341 (Easy: 0.4945, Hard: 1.1502) | Val: 0.7142 (Easy: 0.4526, Hard: 0.9772) | LR: 0.001000
=> Epoch 012 | Train: 0.8356 (Easy: 0.4988, Hard: 1.1493) | Val: 0.7052 (Easy: 0.4487, Hard: 0.9622) | LR: 0.001000
=> Epoch 013 | Train: 0.8317 (Easy: 0.5065, Hard: 1.1383) | Val: 0.7032 (Easy: 0.4467, Hard: 0.9606) | LR: 0.001000
=> Epoch 014 | Train: 0.8198 (Easy: 0.5006, Hard: 1.1224) | Val: 0.7024 (Easy: 0.4533, Hard: 0.9517) | LR: 0.001000
=> Epoch 015 | Train: 0.8170 (Easy: 0.4913, Hard: 1.1214) | Val: 0.7004 (Easy: 0.4493, Hard: 0.9512) | LR: 0.001000
=> Epoch 016 | Train: 0.8306 (Easy: 0.5081, Hard: 1.1213) | Val: 0.6999 (Easy: 0.4414, Hard: 0.9579) | LR: 0.001000
=> Epoch 017 | Train: 0.8048 (Easy: 0.4997, Hard: 1.0896) | Val: 0.6879 (Easy: 0.4323, Hard: 0.9438) | LR: 0.001000
=> Epoch 018 | Train: 0.8127 (Easy: 0.4990, Hard: 1.1027) | Val: 0.6948 (Easy: 0.4389, Hard: 0.9518) | LR: 0.001000
=> Epoch 019 | Train: 0.8025 (Easy: 0.5069, Hard: 1.0806) | Val: 0.6883 (Easy: 0.4345, Hard: 0.9432) | LR: 0.001000
=> Epoch 020 | Train: 0.7974 (Easy: 0.5071, Hard: 1.0683) | Val: 0.6865 (Easy: 0.4322, Hard: 0.9452) | LR: 0.001000
=> Epoch 021 | Train: 0.7937 (Easy: 0.4934, Hard: 1.0715) | Val: 0.6853 (Easy: 0.4276, Hard: 0.9460) | LR: 0.001000
=> Epoch 022 | Train: 0.7826 (Easy: 0.4976, Hard: 1.0463) | Val: 0.6864 (Easy: 0.4303, Hard: 0.9471) | LR: 0.001000
=> Epoch 023 | Train: 0.7841 (Easy: 0.4791, Hard: 1.0679) | Val: 0.6779 (Easy: 0.4268, Hard: 0.9324) | LR: 0.001000
=> Epoch 024 | Train: 0.7739 (Easy: 0.4853, Hard: 1.0462) | Val: 0.6775 (Easy: 0.4306, Hard: 0.9286) | LR: 0.001000
=> Epoch 025 | Train: 0.7781 (Easy: 0.4861, Hard: 1.0502) | Val: 0.6731 (Easy: 0.4220, Hard: 0.9281) | LR: 0.001000
=> Epoch 026 | Train: 0.7782 (Easy: 0.4836, Hard: 1.0562) | Val: 0.6666 (Easy: 0.4210, Hard: 0.9182) | LR: 0.001000
=> Epoch 027 | Train: 0.7758 (Easy: 0.4897, Hard: 1.0365) | Val: 0.6671 (Easy: 0.4215, Hard: 0.9171) | LR: 0.001000
=> Epoch 028 | Train: 0.7558 (Easy: 0.4781, Hard: 1.0147) | Val: 0.6691 (Easy: 0.4232, Hard: 0.9209) | LR: 0.001000
=> Epoch 029 | Train: 0.7635 (Easy: 0.4849, Hard: 1.0311) | Val: 0.6651 (Easy: 0.4231, Hard: 0.9108) | LR: 0.001000
=> Epoch 030 | Train: 0.7585 (Easy: 0.4800, Hard: 1.0278) | Val: 0.6617 (Easy: 0.4167, Hard: 0.9142) | LR: 0.001000
=> Epoch 031 | Train: 0.7498 (Easy: 0.4749, Hard: 1.0084) | Val: 0.6576 (Easy: 0.4151, Hard: 0.9048) | LR: 0.001000
=> Epoch 032 | Train: 0.7575 (Easy: 0.4930, Hard: 1.0090) | Val: 0.6547 (Easy: 0.4144, Hard: 0.9044) | LR: 0.001000
=> Epoch 033 | Train: 0.7440 (Easy: 0.4743, Hard: 0.9940) | Val: 0.6617 (Easy: 0.4161, Hard: 0.9161) | LR: 0.001000
=> Epoch 034 | Train: 0.7427 (Easy: 0.4770, Hard: 0.9919) | Val: 0.6605 (Easy: 0.4168, Hard: 0.9122) | LR: 0.001000
=> Epoch 035 | Train: 0.7504 (Easy: 0.4835, Hard: 0.9985) | Val: 0.6604 (Easy: 0.4111, Hard: 0.9200) | LR: 0.001000
=> Epoch 036 | Train: 0.7428 (Easy: 0.4730, Hard: 0.9942) | Val: 0.6546 (Easy: 0.4112, Hard: 0.9053) | LR: 0.001000
=> Epoch 037 | Train: 0.7445 (Easy: 0.4790, Hard: 1.0000) | Val: 0.6515 (Easy: 0.4121, Hard: 0.9012) | LR: 0.001000
=> Epoch 038 | Train: 0.7379 (Easy: 0.4769, Hard: 0.9863) | Val: 0.6489 (Easy: 0.4128, Hard: 0.8894) | LR: 0.001000
=> Epoch 039 | Train: 0.7408 (Easy: 0.4794, Hard: 0.9951) | Val: 0.6520 (Easy: 0.4132, Hard: 0.8992) | LR: 0.001000
