=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_classroom']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_classroom']
=> Epoch 000 | Train: 1.1724 (Easy: 0.8302, Hard: 1.5064) | Val: 0.8828 (Easy: 0.5426, Hard: 1.2076) | LR: 0.001000
=> Epoch 001 | Train: 0.9784 (Easy: 0.5670, Hard: 1.3875) | Val: 0.8196 (Easy: 0.5085, Hard: 1.1242) | LR: 0.001000
=> Epoch 002 | Train: 0.9489 (Easy: 0.5620, Hard: 1.3398) | Val: 0.7943 (Easy: 0.4948, Hard: 1.0908) | LR: 0.001000
=> Epoch 003 | Train: 0.9268 (Easy: 0.5465, Hard: 1.3065) | Val: 0.7779 (Easy: 0.4853, Hard: 1.0695) | LR: 0.001000
=> Epoch 004 | Train: 0.9015 (Easy: 0.5335, Hard: 1.2583) | Val: 0.7685 (Easy: 0.4794, Hard: 1.0584) | LR: 0.001000
=> Epoch 005 | Train: 0.8993 (Easy: 0.5304, Hard: 1.2706) | Val: 0.7631 (Easy: 0.4862, Hard: 1.0415) | LR: 0.001000
=> Epoch 006 | Train: 0.8839 (Easy: 0.5191, Hard: 1.2421) | Val: 0.7508 (Easy: 0.4749, Hard: 1.0274) | LR: 0.001000
=> Epoch 007 | Train: 0.8705 (Easy: 0.5145, Hard: 1.2217) | Val: 0.7437 (Easy: 0.4703, Hard: 1.0185) | LR: 0.001000
=> Epoch 008 | Train: 0.8521 (Easy: 0.5070, Hard: 1.1933) | Val: 0.7367 (Easy: 0.4698, Hard: 1.0064) | LR: 0.001000
=> Epoch 009 | Train: 0.8606 (Easy: 0.5167, Hard: 1.1954) | Val: 0.7345 (Easy: 0.4685, Hard: 1.0004) | LR: 0.001000
=> Epoch 010 | Train: 0.8513 (Easy: 0.5048, Hard: 1.1923) | Val: 0.7328 (Easy: 0.4681, Hard: 0.9991) | LR: 0.001000
=> Epoch 011 | Train: 0.8326 (Easy: 0.4907, Hard: 1.1674) | Val: 0.7297 (Easy: 0.4667, Hard: 0.9953) | LR: 0.001000
=> Epoch 012 | Train: 0.8330 (Easy: 0.4914, Hard: 1.1631) | Val: 0.7247 (Easy: 0.4650, Hard: 0.9862) | LR: 0.001000
