=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_common']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_common']
=> Epoch 000 | Train: 1.1879 (Easy: 0.8431, Hard: 1.5226) | Val: 0.9005 (Easy: 0.5597, Hard: 1.2235) | LR: 0.001000
=> Epoch 001 | Train: 1.0019 (Easy: 0.5824, Hard: 1.4172) | Val: 0.8371 (Easy: 0.5095, Hard: 1.1530) | LR: 0.001000
=> Epoch 002 | Train: 0.9719 (Easy: 0.5714, Hard: 1.3735) | Val: 0.7966 (Easy: 0.4941, Hard: 1.0900) | LR: 0.001000
=> Epoch 003 | Train: 0.9347 (Easy: 0.5546, Hard: 1.3125) | Val: 0.7665 (Easy: 0.4831, Hard: 1.0446) | LR: 0.001000
=> Epoch 004 | Train: 0.9063 (Easy: 0.5364, Hard: 1.2608) | Val: 0.7567 (Easy: 0.4820, Hard: 1.0274) | LR: 0.001000
=> Epoch 005 | Train: 0.8969 (Easy: 0.5366, Hard: 1.2485) | Val: 0.7464 (Easy: 0.4764, Hard: 1.0143) | LR: 0.001000
=> Epoch 006 | Train: 0.8850 (Easy: 0.5207, Hard: 1.2395) | Val: 0.7338 (Easy: 0.4612, Hard: 1.0068) | LR: 0.001000
=> Epoch 007 | Train: 0.8710 (Easy: 0.5235, Hard: 1.2077) | Val: 0.7322 (Easy: 0.4629, Hard: 1.0026) | LR: 0.001000
=> Epoch 008 | Train: 0.8533 (Easy: 0.5126, Hard: 1.1815) | Val: 0.7219 (Easy: 0.4536, Hard: 0.9920) | LR: 0.001000
=> Epoch 009 | Train: 0.8601 (Easy: 0.5262, Hard: 1.1794) | Val: 0.7235 (Easy: 0.4563, Hard: 0.9916) | LR: 0.001000
=> Epoch 010 | Train: 0.8564 (Easy: 0.5171, Hard: 1.1896) | Val: 0.7206 (Easy: 0.4555, Hard: 0.9868) | LR: 0.001000
=> Epoch 011 | Train: 0.8353 (Easy: 0.4949, Hard: 1.1583) | Val: 0.7155 (Easy: 0.4531, Hard: 0.9818) | LR: 0.001000
=> Epoch 012 | Train: 0.8337 (Easy: 0.4948, Hard: 1.1584) | Val: 0.7137 (Easy: 0.4524, Hard: 0.9783) | LR: 0.001000
=> Epoch 013 | Train: 0.8356 (Easy: 0.5052, Hard: 1.1484) | Val: 0.7093 (Easy: 0.4493, Hard: 0.9730) | LR: 0.001000
=> Epoch 014 | Train: 0.8262 (Easy: 0.5029, Hard: 1.1401) | Val: 0.7055 (Easy: 0.4489, Hard: 0.9653) | LR: 0.001000
=> Epoch 015 | Train: 0.8210 (Easy: 0.4864, Hard: 1.1424) | Val: 0.7061 (Easy: 0.4496, Hard: 0.9655) | LR: 0.001000
=> Epoch 016 | Train: 0.8259 (Easy: 0.4994, Hard: 1.1274) | Val: 0.7069 (Easy: 0.4491, Hard: 0.9671) | LR: 0.001000
