=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_hallway']
=> Epoch 000 | Train: 1.2123 (Easy: 0.8917, Hard: 1.5216) | Val: 0.9125 (Easy: 0.5918, Hard: 1.2168) | LR: 0.001000
=> Epoch 001 | Train: 0.9994 (Easy: 0.6053, Hard: 1.3879) | Val: 0.8282 (Easy: 0.5225, Hard: 1.1243) | LR: 0.001000
=> Epoch 002 | Train: 0.9543 (Easy: 0.5700, Hard: 1.3378) | Val: 0.7839 (Easy: 0.4921, Hard: 1.0683) | LR: 0.001000
=> Epoch 003 | Train: 0.9278 (Easy: 0.5499, Hard: 1.3030) | Val: 0.7601 (Easy: 0.4742, Hard: 1.0432) | LR: 0.001000
=> Epoch 004 | Train: 0.9058 (Easy: 0.5293, Hard: 1.2700) | Val: 0.7524 (Easy: 0.4667, Hard: 1.0372) | LR: 0.001000
=> Epoch 005 | Train: 0.8946 (Easy: 0.5278, Hard: 1.2584) | Val: 0.7448 (Easy: 0.4676, Hard: 1.0237) | LR: 0.001000
=> Epoch 006 | Train: 0.8798 (Easy: 0.5188, Hard: 1.2350) | Val: 0.7358 (Easy: 0.4611, Hard: 1.0122) | LR: 0.001000
=> Epoch 007 | Train: 0.8630 (Easy: 0.5084, Hard: 1.2073) | Val: 0.7317 (Easy: 0.4592, Hard: 1.0049) | LR: 0.001000
=> Epoch 008 | Train: 0.8542 (Easy: 0.5081, Hard: 1.1908) | Val: 0.7303 (Easy: 0.4524, Hard: 1.0100) | LR: 0.001000
=> Epoch 009 | Train: 0.8494 (Easy: 0.5024, Hard: 1.1872) | Val: 0.7272 (Easy: 0.4611, Hard: 0.9958) | LR: 0.001000
=> Epoch 010 | Train: 0.8454 (Easy: 0.5011, Hard: 1.1858) | Val: 0.7258 (Easy: 0.4576, Hard: 0.9970) | LR: 0.001000
=> Epoch 011 | Train: 0.8343 (Easy: 0.4907, Hard: 1.1711) | Val: 0.7189 (Easy: 0.4516, Hard: 0.9923) | LR: 0.001000
=> Epoch 012 | Train: 0.8291 (Easy: 0.4942, Hard: 1.1535) | Val: 0.7119 (Easy: 0.4594, Hard: 0.9670) | LR: 0.001000
=> Epoch 013 | Train: 0.8223 (Easy: 0.4900, Hard: 1.1453) | Val: 0.7146 (Easy: 0.4623, Hard: 0.9696) | LR: 0.001000
=> Epoch 014 | Train: 0.8133 (Easy: 0.4892, Hard: 1.1368) | Val: 0.7088 (Easy: 0.4560, Hard: 0.9647) | LR: 0.001000
=> Epoch 015 | Train: 0.8087 (Easy: 0.4825, Hard: 1.1246) | Val: 0.7100 (Easy: 0.4632, Hard: 0.9577) | LR: 0.001000
=> Epoch 016 | Train: 0.8164 (Easy: 0.4877, Hard: 1.1325) | Val: 0.7037 (Easy: 0.4601, Hard: 0.9509) | LR: 0.001000
=> Epoch 017 | Train: 0.8067 (Easy: 0.4885, Hard: 1.1190) | Val: 0.6984 (Easy: 0.4605, Hard: 0.9406) | LR: 0.001000
=> Epoch 018 | Train: 0.8011 (Easy: 0.4832, Hard: 1.1093) | Val: 0.7134 (Easy: 0.4674, Hard: 0.9652) | LR: 0.001000
=> Epoch 019 | Train: 0.8003 (Easy: 0.4890, Hard: 1.0977) | Val: 0.6975 (Easy: 0.4572, Hard: 0.9399) | LR: 0.001000
=> Epoch 020 | Train: 0.7939 (Easy: 0.4868, Hard: 1.0942) | Val: 0.6977 (Easy: 0.4580, Hard: 0.9442) | LR: 0.001000
=> Epoch 021 | Train: 0.7965 (Easy: 0.4728, Hard: 1.1132) | Val: 0.7006 (Easy: 0.4748, Hard: 0.9281) | LR: 0.001000
=> Epoch 022 | Train: 0.7923 (Easy: 0.4853, Hard: 1.0933) | Val: 0.6875 (Easy: 0.4601, Hard: 0.9170) | LR: 0.001000
=> Epoch 023 | Train: 0.7891 (Easy: 0.4737, Hard: 1.0933) | Val: 0.6942 (Easy: 0.4742, Hard: 0.9160) | LR: 0.001000
=> Epoch 024 | Train: 0.7759 (Easy: 0.4693, Hard: 1.0797) | Val: 0.6897 (Easy: 0.4632, Hard: 0.9206) | LR: 0.001000
=> Epoch 025 | Train: 0.7841 (Easy: 0.4768, Hard: 1.0814) | Val: 0.6888 (Easy: 0.4633, Hard: 0.9175) | LR: 0.001000
=> Epoch 026 | Train: 0.7840 (Easy: 0.4722, Hard: 1.0933) | Val: 0.6846 (Easy: 0.4636, Hard: 0.9105) | LR: 0.001000
=> Epoch 027 | Train: 0.7727 (Easy: 0.4789, Hard: 1.0601) | Val: 0.6837 (Easy: 0.4581, Hard: 0.9162) | LR: 0.001000
=> Epoch 028 | Train: 0.7710 (Easy: 0.4681, Hard: 1.0665) | Val: 0.6859 (Easy: 0.4703, Hard: 0.9074) | LR: 0.001000
=> Epoch 029 | Train: 0.7776 (Easy: 0.4775, Hard: 1.0724) | Val: 0.6724 (Easy: 0.4591, Hard: 0.8912) | LR: 0.001000
=> Epoch 030 | Train: 0.7717 (Easy: 0.4822, Hard: 1.0557) | Val: 0.6770 (Easy: 0.4641, Hard: 0.8954) | LR: 0.001000
=> Epoch 031 | Train: 0.7670 (Easy: 0.4700, Hard: 1.0564) | Val: 0.6844 (Easy: 0.4648, Hard: 0.9106) | LR: 0.001000
=> Epoch 032 | Train: 0.7738 (Easy: 0.4764, Hard: 1.0657) | Val: 0.6841 (Easy: 0.4777, Hard: 0.8941) | LR: 0.001000
=> Epoch 033 | Train: 0.7487 (Easy: 0.4696, Hard: 1.0189) | Val: 0.6777 (Easy: 0.4648, Hard: 0.8979) | LR: 0.001000
=> Epoch 034 | Train: 0.7522 (Easy: 0.4665, Hard: 1.0275) | Val: 0.6699 (Easy: 0.4588, Hard: 0.8886) | LR: 0.001000
=> Epoch 035 | Train: 0.7575 (Easy: 0.4721, Hard: 1.0353) | Val: 0.6569 (Easy: 0.4502, Hard: 0.8672) | LR: 0.001000
=> Epoch 036 | Train: 0.7636 (Easy: 0.4697, Hard: 1.0526) | Val: 0.6688 (Easy: 0.4580, Hard: 0.8856) | LR: 0.001000
=> Epoch 037 | Train: 0.7514 (Easy: 0.4696, Hard: 1.0326) | Val: 0.6708 (Easy: 0.4627, Hard: 0.8812) | LR: 0.001000
=> Epoch 038 | Train: 0.7509 (Easy: 0.4755, Hard: 1.0203) | Val: 0.6545 (Easy: 0.4562, Hard: 0.8551) | LR: 0.001000
=> Epoch 039 | Train: 0.7556 (Easy: 0.4731, Hard: 1.0299) | Val: 0.6682 (Easy: 0.4678, Hard: 0.8723) | LR: 0.001000
=> Epoch 040 | Train: 0.7433 (Easy: 0.4556, Hard: 1.0306) | Val: 0.6676 (Easy: 0.4632, Hard: 0.8784) | LR: 0.001000
=> Epoch 041 | Train: 0.7514 (Easy: 0.4635, Hard: 1.0310) | Val: 0.6903 (Easy: 0.4834, Hard: 0.9053) | LR: 0.001000
=> Epoch 042 | Train: 0.7461 (Easy: 0.4745, Hard: 1.0103) | Val: 0.6573 (Easy: 0.4501, Hard: 0.8729) | LR: 0.001000
=> Epoch 043 | Train: 0.7414 (Easy: 0.4659, Hard: 1.0102) | Val: 0.6550 (Easy: 0.4534, Hard: 0.8649) | LR: 0.001000
=> Epoch 044 | Train: 0.7413 (Easy: 0.4614, Hard: 1.0097) | Val: 0.6756 (Easy: 0.4715, Hard: 0.8893) | LR: 0.001000
=> Epoch 045 | Train: 0.7403 (Easy: 0.4650, Hard: 1.0052) | Val: 0.6624 (Easy: 0.4529, Hard: 0.8838) | LR: 0.001000
=> Epoch 046 | Train: 0.7237 (Easy: 0.4671, Hard: 0.9765) | Val: 0.6530 (Easy: 0.4552, Hard: 0.8590) | LR: 0.001000
=> Epoch 047 | Train: 0.7205 (Easy: 0.4589, Hard: 0.9687) | Val: 0.6483 (Easy: 0.4469, Hard: 0.8577) | LR: 0.001000
=> Epoch 048 | Train: 0.7398 (Easy: 0.4729, Hard: 1.0061) | Val: 0.6693 (Easy: 0.4684, Hard: 0.8782) | LR: 0.001000
=> Epoch 049 | Train: 0.7163 (Easy: 0.4576, Hard: 0.9694) | Val: 0.6403 (Easy: 0.4445, Hard: 0.8413) | LR: 0.001000
=> Epoch 050 | Train: 0.7313 (Easy: 0.4615, Hard: 0.9964) | Val: 0.6651 (Easy: 0.4667, Hard: 0.8739) | LR: 0.001000
=> Epoch 051 | Train: 0.7305 (Easy: 0.4663, Hard: 0.9905) | Val: 0.6335 (Easy: 0.4398, Hard: 0.8360) | LR: 0.001000
=> Epoch 052 | Train: 0.7121 (Easy: 0.4560, Hard: 0.9659) | Val: 0.6559 (Easy: 0.4534, Hard: 0.8720) | LR: 0.001000
=> Epoch 053 | Train: 0.7314 (Easy: 0.4643, Hard: 0.9909) | Val: 0.6524 (Easy: 0.4678, Hard: 0.8504) | LR: 0.001000
=> Epoch 054 | Train: 0.7265 (Easy: 0.4665, Hard: 0.9814) | Val: 0.6437 (Easy: 0.4498, Hard: 0.8484) | LR: 0.001000
=> Epoch 055 | Train: 0.7139 (Easy: 0.4671, Hard: 0.9534) | Val: 0.6456 (Easy: 0.4481, Hard: 0.8582) | LR: 0.001000
=> Epoch 056 | Train: 0.7249 (Easy: 0.4577, Hard: 0.9857) | Val: 0.6305 (Easy: 0.4445, Hard: 0.8311) | LR: 0.001000
=> Epoch 057 | Train: 0.7247 (Easy: 0.4662, Hard: 0.9746) | Val: 0.6503 (Easy: 0.4539, Hard: 0.8663) | LR: 0.001000
=> Epoch 058 | Train: 0.7273 (Easy: 0.4681, Hard: 0.9833) | Val: 0.6386 (Easy: 0.4510, Hard: 0.8387) | LR: 0.001000
