=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'is_stair']
=> Epoch 000 | Train: 1.1893 (Easy: 0.8433, Hard: 1.5248) | Val: 0.9033 (Easy: 0.5622, Hard: 1.2299) | LR: 0.001000
=> Epoch 001 | Train: 1.0008 (Easy: 0.5826, Hard: 1.4134) | Val: 0.8376 (Easy: 0.5101, Hard: 1.1557) | LR: 0.001000
=> Epoch 002 | Train: 0.9655 (Easy: 0.5706, Hard: 1.3647) | Val: 0.7927 (Easy: 0.4922, Hard: 1.0883) | LR: 0.001000
=> Epoch 003 | Train: 0.9256 (Easy: 0.5564, Hard: 1.2989) | Val: 0.7676 (Easy: 0.4859, Hard: 1.0484) | LR: 0.001000
=> Epoch 004 | Train: 0.9022 (Easy: 0.5383, Hard: 1.2589) | Val: 0.7558 (Easy: 0.4797, Hard: 1.0337) | LR: 0.001000
=> Epoch 005 | Train: 0.8938 (Easy: 0.5408, Hard: 1.2490) | Val: 0.7474 (Easy: 0.4764, Hard: 1.0224) | LR: 0.001000
=> Epoch 006 | Train: 0.8811 (Easy: 0.5224, Hard: 1.2361) | Val: 0.7351 (Easy: 0.4576, Hard: 1.0186) | LR: 0.001000
=> Epoch 007 | Train: 0.8734 (Easy: 0.5218, Hard: 1.2199) | Val: 0.7341 (Easy: 0.4582, Hard: 1.0148) | LR: 0.001000
=> Epoch 008 | Train: 0.8563 (Easy: 0.5122, Hard: 1.1959) | Val: 0.7252 (Easy: 0.4496, Hard: 1.0083) | LR: 0.001000
=> Epoch 009 | Train: 0.8588 (Easy: 0.5261, Hard: 1.1827) | Val: 0.7270 (Easy: 0.4522, Hard: 1.0075) | LR: 0.001000
=> Epoch 010 | Train: 0.8595 (Easy: 0.5144, Hard: 1.2029) | Val: 0.7226 (Easy: 0.4500, Hard: 1.0018) | LR: 0.001000
=> Epoch 011 | Train: 0.8325 (Easy: 0.4929, Hard: 1.1629) | Val: 0.7145 (Easy: 0.4449, Hard: 0.9919) | LR: 0.001000
=> Epoch 012 | Train: 0.8325 (Easy: 0.4959, Hard: 1.1607) | Val: 0.7144 (Easy: 0.4503, Hard: 0.9871) | LR: 0.001000
=> Epoch 013 | Train: 0.8308 (Easy: 0.4986, Hard: 1.1547) | Val: 0.7090 (Easy: 0.4430, Hard: 0.9828) | LR: 0.001000
=> Epoch 014 | Train: 0.8302 (Easy: 0.5017, Hard: 1.1555) | Val: 0.7085 (Easy: 0.4453, Hard: 0.9788) | LR: 0.001000
=> Epoch 015 | Train: 0.8190 (Easy: 0.4848, Hard: 1.1470) | Val: 0.7059 (Easy: 0.4454, Hard: 0.9728) | LR: 0.001000
=> Epoch 016 | Train: 0.8236 (Easy: 0.4944, Hard: 1.1370) | Val: 0.6998 (Easy: 0.4380, Hard: 0.9674) | LR: 0.001000
=> Epoch 017 | Train: 0.8135 (Easy: 0.4955, Hard: 1.1234) | Val: 0.6945 (Easy: 0.4327, Hard: 0.9628) | LR: 0.001000
=> Epoch 018 | Train: 0.8115 (Easy: 0.4873, Hard: 1.1242) | Val: 0.7010 (Easy: 0.4384, Hard: 0.9696) | LR: 0.001000
=> Epoch 019 | Train: 0.8088 (Easy: 0.5011, Hard: 1.1101) | Val: 0.6910 (Easy: 0.4324, Hard: 0.9584) | LR: 0.001000
=> Epoch 020 | Train: 0.7929 (Easy: 0.4932, Hard: 1.0837) | Val: 0.6834 (Easy: 0.4303, Hard: 0.9457) | LR: 0.001000
=> Epoch 021 | Train: 0.7910 (Easy: 0.4785, Hard: 1.0941) | Val: 0.6820 (Easy: 0.4299, Hard: 0.9414) | LR: 0.001000
=> Epoch 022 | Train: 0.7858 (Easy: 0.4837, Hard: 1.0771) | Val: 0.6806 (Easy: 0.4320, Hard: 0.9363) | LR: 0.001000
=> Epoch 023 | Train: 0.7794 (Easy: 0.4705, Hard: 1.0785) | Val: 0.6753 (Easy: 0.4294, Hard: 0.9302) | LR: 0.001000
=> Epoch 024 | Train: 0.7723 (Easy: 0.4749, Hard: 1.0632) | Val: 0.6712 (Easy: 0.4259, Hard: 0.9270) | LR: 0.001000
=> Epoch 025 | Train: 0.7719 (Easy: 0.4764, Hard: 1.0564) | Val: 0.6701 (Easy: 0.4261, Hard: 0.9221) | LR: 0.001000
=> Epoch 026 | Train: 0.7715 (Easy: 0.4666, Hard: 1.0697) | Val: 0.6608 (Easy: 0.4227, Hard: 0.9082) | LR: 0.001000
=> Epoch 027 | Train: 0.7618 (Easy: 0.4675, Hard: 1.0449) | Val: 0.6548 (Easy: 0.4189, Hard: 0.9007) | LR: 0.001000
=> Epoch 028 | Train: 0.7520 (Easy: 0.4736, Hard: 1.0236) | Val: 0.6684 (Easy: 0.4276, Hard: 0.9209) | LR: 0.001000
=> Epoch 029 | Train: 0.7553 (Easy: 0.4699, Hard: 1.0397) | Val: 0.6588 (Easy: 0.4241, Hard: 0.9054) | LR: 0.001000
=> Epoch 030 | Train: 0.7522 (Easy: 0.4697, Hard: 1.0334) | Val: 0.6550 (Easy: 0.4247, Hard: 0.8985) | LR: 0.001000
=> Epoch 031 | Train: 0.7411 (Easy: 0.4567, Hard: 1.0208) | Val: 0.6486 (Easy: 0.4169, Hard: 0.8928) | LR: 0.001000
=> Epoch 032 | Train: 0.7445 (Easy: 0.4668, Hard: 1.0140) | Val: 0.6520 (Easy: 0.4206, Hard: 0.8964) | LR: 0.001000
=> Epoch 033 | Train: 0.7316 (Easy: 0.4573, Hard: 0.9956) | Val: 0.6627 (Easy: 0.4230, Hard: 0.9165) | LR: 0.001000
=> Epoch 034 | Train: 0.7257 (Easy: 0.4485, Hard: 0.9948) | Val: 0.6477 (Easy: 0.4152, Hard: 0.8962) | LR: 0.001000
=> Epoch 035 | Train: 0.7353 (Easy: 0.4580, Hard: 1.0030) | Val: 0.6465 (Easy: 0.4146, Hard: 0.8930) | LR: 0.001000
=> Epoch 036 | Train: 0.7313 (Easy: 0.4557, Hard: 0.9986) | Val: 0.6472 (Easy: 0.4191, Hard: 0.8904) | LR: 0.001000
=> Epoch 037 | Train: 0.7336 (Easy: 0.4615, Hard: 1.0013) | Val: 0.6442 (Easy: 0.4135, Hard: 0.8921) | LR: 0.001000
=> Epoch 038 | Train: 0.7220 (Easy: 0.4549, Hard: 0.9790) | Val: 0.6472 (Easy: 0.4168, Hard: 0.8922) | LR: 0.001000
=> Epoch 039 | Train: 0.7216 (Easy: 0.4502, Hard: 0.9885) | Val: 0.6350 (Easy: 0.4123, Hard: 0.8710) | LR: 0.001000
=> Epoch 040 | Train: 0.7247 (Easy: 0.4497, Hard: 0.9865) | Val: 0.6333 (Easy: 0.4136, Hard: 0.8682) | LR: 0.001000
=> Epoch 041 | Train: 0.7244 (Easy: 0.4537, Hard: 0.9789) | Val: 0.6364 (Easy: 0.4114, Hard: 0.8749) | LR: 0.001000
=> Epoch 042 | Train: 0.7194 (Easy: 0.4439, Hard: 0.9851) | Val: 0.6300 (Easy: 0.4078, Hard: 0.8664) | LR: 0.001000
=> Epoch 043 | Train: 0.7170 (Easy: 0.4517, Hard: 0.9734) | Val: 0.6416 (Easy: 0.4175, Hard: 0.8783) | LR: 0.001000
=> Epoch 044 | Train: 0.7200 (Easy: 0.4566, Hard: 0.9618) | Val: 0.6222 (Easy: 0.4121, Hard: 0.8440) | LR: 0.001000
=> Epoch 045 | Train: 0.7096 (Easy: 0.4497, Hard: 0.9578) | Val: 0.6294 (Easy: 0.4089, Hard: 0.8667) | LR: 0.001000
=> Epoch 046 | Train: 0.7116 (Easy: 0.4460, Hard: 0.9686) | Val: 0.6337 (Easy: 0.4102, Hard: 0.8727) | LR: 0.001000
=> Epoch 047 | Train: 0.7028 (Easy: 0.4431, Hard: 0.9504) | Val: 0.6175 (Easy: 0.4049, Hard: 0.8438) | LR: 0.001000
=> Epoch 048 | Train: 0.7044 (Easy: 0.4470, Hard: 0.9547) | Val: 0.6144 (Easy: 0.4061, Hard: 0.8388) | LR: 0.001000
=> Epoch 049 | Train: 0.7120 (Easy: 0.4482, Hard: 0.9678) | Val: 0.6148 (Easy: 0.4091, Hard: 0.8361) | LR: 0.001000
=> Epoch 050 | Train: 0.7030 (Easy: 0.4480, Hard: 0.9482) | Val: 0.6202 (Easy: 0.4094, Hard: 0.8438) | LR: 0.001000
=> Epoch 051 | Train: 0.7061 (Easy: 0.4463, Hard: 0.9560) | Val: 0.6080 (Easy: 0.4028, Hard: 0.8242) | LR: 0.001000
=> Epoch 052 | Train: 0.6923 (Easy: 0.4353, Hard: 0.9325) | Val: 0.6053 (Easy: 0.4044, Hard: 0.8215) | LR: 0.001000
=> Epoch 053 | Train: 0.6978 (Easy: 0.4432, Hard: 0.9407) | Val: 0.6096 (Easy: 0.4076, Hard: 0.8222) | LR: 0.001000
=> Epoch 054 | Train: 0.6971 (Easy: 0.4444, Hard: 0.9371) | Val: 0.6005 (Easy: 0.4032, Hard: 0.8106) | LR: 0.001000
=> Epoch 055 | Train: 0.6857 (Easy: 0.4426, Hard: 0.9184) | Val: 0.6131 (Easy: 0.4087, Hard: 0.8292) | LR: 0.001000
=> Epoch 056 | Train: 0.6931 (Easy: 0.4420, Hard: 0.9291) | Val: 0.6252 (Easy: 0.4136, Hard: 0.8467) | LR: 0.001000
=> Epoch 057 | Train: 0.6930 (Easy: 0.4409, Hard: 0.9334) | Val: 0.6101 (Easy: 0.4093, Hard: 0.8220) | LR: 0.001000
=> Epoch 058 | Train: 0.6859 (Easy: 0.4267, Hard: 0.9272) | Val: 0.6067 (Easy: 0.4093, Hard: 0.8194) | LR: 0.001000
=> Epoch 059 | Train: 0.7076 (Easy: 0.4488, Hard: 0.9569) | Val: 0.5994 (Easy: 0.4103, Hard: 0.8017) | LR: 0.001000
=> Epoch 060 | Train: 0.6902 (Easy: 0.4401, Hard: 0.9176) | Val: 0.6081 (Easy: 0.4142, Hard: 0.8185) | LR: 0.001000
=> Epoch 061 | Train: 0.6766 (Easy: 0.4353, Hard: 0.9038) | Val: 0.6018 (Easy: 0.4046, Hard: 0.8103) | LR: 0.001000
=> Epoch 062 | Train: 0.6941 (Easy: 0.4462, Hard: 0.9241) | Val: 0.5922 (Easy: 0.4035, Hard: 0.7898) | LR: 0.001000
=> Epoch 063 | Train: 0.6748 (Easy: 0.4314, Hard: 0.9014) | Val: 0.6188 (Easy: 0.4119, Hard: 0.8319) | LR: 0.001000
=> Epoch 064 | Train: 0.6771 (Easy: 0.4352, Hard: 0.9061) | Val: 0.5967 (Easy: 0.4048, Hard: 0.7979) | LR: 0.001000
=> Epoch 065 | Train: 0.6769 (Easy: 0.4349, Hard: 0.9074) | Val: 0.5949 (Easy: 0.4038, Hard: 0.7967) | LR: 0.001000
=> Epoch 066 | Train: 0.6773 (Easy: 0.4367, Hard: 0.9036) | Val: 0.5870 (Easy: 0.4005, Hard: 0.7810) | LR: 0.001000
=> Epoch 067 | Train: 0.6755 (Easy: 0.4272, Hard: 0.9109) | Val: 0.5925 (Easy: 0.3981, Hard: 0.7975) | LR: 0.001000
=> Epoch 068 | Train: 0.6753 (Easy: 0.4265, Hard: 0.9079) | Val: 0.5930 (Easy: 0.4081, Hard: 0.7906) | LR: 0.001000
=> Epoch 069 | Train: 0.6782 (Easy: 0.4325, Hard: 0.9042) | Val: 0.5943 (Easy: 0.4078, Hard: 0.7922) | LR: 0.001000
=> Epoch 070 | Train: 0.6842 (Easy: 0.4391, Hard: 0.9143) | Val: 0.5911 (Easy: 0.4084, Hard: 0.7818) | LR: 0.001000
=> Epoch 071 | Train: 0.6664 (Easy: 0.4344, Hard: 0.8840) | Val: 0.5886 (Easy: 0.4106, Hard: 0.7756) | LR: 0.001000
=> Epoch 072 | Train: 0.6580 (Easy: 0.4219, Hard: 0.8725) | Val: 0.5848 (Easy: 0.4028, Hard: 0.7775) | LR: 0.001000
=> Epoch 073 | Train: 0.6645 (Easy: 0.4200, Hard: 0.8916) | Val: 0.6033 (Easy: 0.4181, Hard: 0.7974) | LR: 0.001000
=> Epoch 074 | Train: 0.6753 (Easy: 0.4302, Hard: 0.8986) | Val: 0.5835 (Easy: 0.4019, Hard: 0.7741) | LR: 0.001000
