=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'last_node']
=> Epoch 000 | Train: 1.1824 (Easy: 0.8432, Hard: 1.5130) | Val: 0.8926 (Easy: 0.5531, Hard: 1.2154) | LR: 0.001000
=> Epoch 001 | Train: 0.9994 (Easy: 0.5811, Hard: 1.4153) | Val: 0.8319 (Easy: 0.5076, Hard: 1.1459) | LR: 0.001000
=> Epoch 002 | Train: 0.9680 (Easy: 0.5675, Hard: 1.3723) | Val: 0.7873 (Easy: 0.4838, Hard: 1.0847) | LR: 0.001000
=> Epoch 003 | Train: 0.9371 (Easy: 0.5538, Hard: 1.3212) | Val: 0.7596 (Easy: 0.4752, Hard: 1.0430) | LR: 0.001000
=> Epoch 004 | Train: 0.9054 (Easy: 0.5328, Hard: 1.2645) | Val: 0.7441 (Easy: 0.4636, Hard: 1.0285) | LR: 0.001000
=> Epoch 005 | Train: 0.9038 (Easy: 0.5401, Hard: 1.2656) | Val: 0.7441 (Easy: 0.4705, Hard: 1.0204) | LR: 0.001000
=> Epoch 006 | Train: 0.8911 (Easy: 0.5209, Hard: 1.2526) | Val: 0.7297 (Easy: 0.4505, Hard: 1.0148) | LR: 0.001000
=> Epoch 007 | Train: 0.8800 (Easy: 0.5216, Hard: 1.2287) | Val: 0.7259 (Easy: 0.4457, Hard: 1.0122) | LR: 0.001000
=> Epoch 008 | Train: 0.8632 (Easy: 0.5143, Hard: 1.2003) | Val: 0.7180 (Easy: 0.4410, Hard: 1.0021) | LR: 0.001000
=> Epoch 009 | Train: 0.8718 (Easy: 0.5258, Hard: 1.2033) | Val: 0.7192 (Easy: 0.4430, Hard: 1.0010) | LR: 0.001000
=> Epoch 010 | Train: 0.8635 (Easy: 0.5148, Hard: 1.2049) | Val: 0.7158 (Easy: 0.4442, Hard: 0.9935) | LR: 0.001000
=> Epoch 011 | Train: 0.8448 (Easy: 0.4974, Hard: 1.1744) | Val: 0.7120 (Easy: 0.4407, Hard: 0.9886) | LR: 0.001000
=> Epoch 012 | Train: 0.8489 (Easy: 0.4999, Hard: 1.1805) | Val: 0.7083 (Easy: 0.4412, Hard: 0.9813) | LR: 0.001000
=> Epoch 013 | Train: 0.8422 (Easy: 0.5063, Hard: 1.1619) | Val: 0.7070 (Easy: 0.4385, Hard: 0.9809) | LR: 0.001000
=> Epoch 014 | Train: 0.8397 (Easy: 0.5033, Hard: 1.1667) | Val: 0.7057 (Easy: 0.4399, Hard: 0.9763) | LR: 0.001000
=> Epoch 015 | Train: 0.8383 (Easy: 0.4986, Hard: 1.1566) | Val: 0.7012 (Easy: 0.4370, Hard: 0.9694) | LR: 0.001000
=> Epoch 016 | Train: 0.8431 (Easy: 0.5049, Hard: 1.1595) | Val: 0.6962 (Easy: 0.4347, Hard: 0.9616) | LR: 0.001000
=> Epoch 017 | Train: 0.8221 (Easy: 0.4999, Hard: 1.1280) | Val: 0.6980 (Easy: 0.4337, Hard: 0.9658) | LR: 0.001000
=> Epoch 018 | Train: 0.8283 (Easy: 0.4956, Hard: 1.1408) | Val: 0.7006 (Easy: 0.4367, Hard: 0.9678) | LR: 0.001000
=> Epoch 019 | Train: 0.8254 (Easy: 0.5030, Hard: 1.1315) | Val: 0.6927 (Easy: 0.4305, Hard: 0.9585) | LR: 0.001000
=> Epoch 020 | Train: 0.8186 (Easy: 0.4985, Hard: 1.1193) | Val: 0.6895 (Easy: 0.4301, Hard: 0.9537) | LR: 0.001000
=> Epoch 021 | Train: 0.8130 (Easy: 0.4899, Hard: 1.1196) | Val: 0.6946 (Easy: 0.4296, Hard: 0.9607) | LR: 0.001000
=> Epoch 022 | Train: 0.8050 (Easy: 0.4903, Hard: 1.1008) | Val: 0.6878 (Easy: 0.4278, Hard: 0.9487) | LR: 0.001000
=> Epoch 023 | Train: 0.8038 (Easy: 0.4796, Hard: 1.1098) | Val: 0.6827 (Easy: 0.4277, Hard: 0.9401) | LR: 0.001000
=> Epoch 024 | Train: 0.7860 (Easy: 0.4794, Hard: 1.0770) | Val: 0.6779 (Easy: 0.4290, Hard: 0.9313) | LR: 0.001000
=> Epoch 025 | Train: 0.7928 (Easy: 0.4828, Hard: 1.0822) | Val: 0.6831 (Easy: 0.4248, Hard: 0.9438) | LR: 0.001000
