=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_outside', 'room_area']
=> Epoch 000 | Train: 1.1805 (Easy: 0.8408, Hard: 1.5114) | Val: 0.8914 (Easy: 0.5574, Hard: 1.2089) | LR: 0.001000
=> Epoch 001 | Train: 0.9933 (Easy: 0.5775, Hard: 1.4070) | Val: 0.8277 (Easy: 0.5105, Hard: 1.1318) | LR: 0.001000
=> Epoch 002 | Train: 0.9628 (Easy: 0.5666, Hard: 1.3633) | Val: 0.7912 (Easy: 0.4941, Hard: 1.0746) | LR: 0.001000
=> Epoch 003 | Train: 0.9333 (Easy: 0.5516, Hard: 1.3159) | Val: 0.7648 (Easy: 0.4835, Hard: 1.0350) | LR: 0.001000
=> Epoch 004 | Train: 0.9030 (Easy: 0.5309, Hard: 1.2607) | Val: 0.7514 (Easy: 0.4737, Hard: 1.0208) | LR: 0.001000
=> Epoch 005 | Train: 0.8917 (Easy: 0.5298, Hard: 1.2500) | Val: 0.7524 (Easy: 0.4784, Hard: 1.0195) | LR: 0.001000
=> Epoch 006 | Train: 0.8838 (Easy: 0.5166, Hard: 1.2425) | Val: 0.7439 (Easy: 0.4631, Hard: 1.0190) | LR: 0.001000
=> Epoch 007 | Train: 0.8715 (Easy: 0.5144, Hard: 1.2166) | Val: 0.7389 (Easy: 0.4617, Hard: 1.0108) | LR: 0.001000
=> Epoch 008 | Train: 0.8524 (Easy: 0.5072, Hard: 1.1860) | Val: 0.7335 (Easy: 0.4550, Hard: 1.0071) | LR: 0.001000
=> Epoch 009 | Train: 0.8654 (Easy: 0.5199, Hard: 1.1951) | Val: 0.7362 (Easy: 0.4564, Hard: 1.0102) | LR: 0.001000
=> Epoch 010 | Train: 0.8565 (Easy: 0.5130, Hard: 1.1907) | Val: 0.7279 (Easy: 0.4546, Hard: 0.9969) | LR: 0.001000
=> Epoch 011 | Train: 0.8353 (Easy: 0.4921, Hard: 1.1630) | Val: 0.7252 (Easy: 0.4526, Hard: 0.9939) | LR: 0.001000
=> Epoch 012 | Train: 0.8378 (Easy: 0.4948, Hard: 1.1677) | Val: 0.7178 (Easy: 0.4509, Hard: 0.9826) | LR: 0.001000
=> Epoch 013 | Train: 0.8387 (Easy: 0.5044, Hard: 1.1581) | Val: 0.7184 (Easy: 0.4490, Hard: 0.9854) | LR: 0.001000
=> Epoch 014 | Train: 0.8287 (Easy: 0.4980, Hard: 1.1512) | Val: 0.7175 (Easy: 0.4535, Hard: 0.9803) | LR: 0.001000
=> Epoch 015 | Train: 0.8248 (Easy: 0.4869, Hard: 1.1515) | Val: 0.7127 (Easy: 0.4494, Hard: 0.9747) | LR: 0.001000
=> Epoch 016 | Train: 0.8280 (Easy: 0.4961, Hard: 1.1419) | Val: 0.7147 (Easy: 0.4469, Hard: 0.9811) | LR: 0.001000
=> Epoch 017 | Train: 0.8228 (Easy: 0.5004, Hard: 1.1289) | Val: 0.7120 (Easy: 0.4458, Hard: 0.9769) | LR: 0.001000
=> Epoch 018 | Train: 0.8074 (Easy: 0.4822, Hard: 1.1179) | Val: 0.7071 (Easy: 0.4483, Hard: 0.9663) | LR: 0.001000
=> Epoch 019 | Train: 0.8140 (Easy: 0.4989, Hard: 1.1174) | Val: 0.7086 (Easy: 0.4457, Hard: 0.9723) | LR: 0.001000
