=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'is_stair']
=> Epoch 000 | Train: 1.2047 (Easy: 0.8725, Hard: 1.5224) | Val: 0.8932 (Easy: 0.5600, Hard: 1.2156) | LR: 0.001000
=> Epoch 001 | Train: 0.9876 (Easy: 0.5768, Hard: 1.3921) | Val: 0.8181 (Easy: 0.5096, Hard: 1.1207) | LR: 0.001000
=> Epoch 002 | Train: 0.9471 (Easy: 0.5683, Hard: 1.3265) | Val: 0.7800 (Easy: 0.4909, Hard: 1.0687) | LR: 0.001000
=> Epoch 003 | Train: 0.9325 (Easy: 0.5498, Hard: 1.3195) | Val: 0.7662 (Easy: 0.4842, Hard: 1.0525) | LR: 0.001000
=> Epoch 004 | Train: 0.9004 (Easy: 0.5401, Hard: 1.2560) | Val: 0.7573 (Easy: 0.4819, Hard: 1.0386) | LR: 0.001000
=> Epoch 005 | Train: 0.8963 (Easy: 0.5397, Hard: 1.2540) | Val: 0.7485 (Easy: 0.4734, Hard: 1.0328) | LR: 0.001000
=> Epoch 006 | Train: 0.8948 (Easy: 0.5261, Hard: 1.2589) | Val: 0.7414 (Easy: 0.4652, Hard: 1.0282) | LR: 0.001000
=> Epoch 007 | Train: 0.8728 (Easy: 0.5169, Hard: 1.2269) | Val: 0.7400 (Easy: 0.4677, Hard: 1.0208) | LR: 0.001000
=> Epoch 008 | Train: 0.8650 (Easy: 0.5153, Hard: 1.2116) | Val: 0.7389 (Easy: 0.4700, Hard: 1.0158) | LR: 0.001000
=> Epoch 009 | Train: 0.8538 (Easy: 0.5125, Hard: 1.1869) | Val: 0.7271 (Easy: 0.4640, Hard: 0.9986) | LR: 0.001000
=> Epoch 010 | Train: 0.8464 (Easy: 0.5074, Hard: 1.1751) | Val: 0.7185 (Easy: 0.4610, Hard: 0.9843) | LR: 0.001000
=> Epoch 011 | Train: 0.8348 (Easy: 0.4981, Hard: 1.1589) | Val: 0.7116 (Easy: 0.4533, Hard: 0.9783) | LR: 0.001000
=> Epoch 012 | Train: 0.8238 (Easy: 0.4930, Hard: 1.1436) | Val: 0.7049 (Easy: 0.4524, Hard: 0.9669) | LR: 0.001000
=> Epoch 013 | Train: 0.8252 (Easy: 0.4979, Hard: 1.1472) | Val: 0.7021 (Easy: 0.4513, Hard: 0.9597) | LR: 0.001000
=> Epoch 014 | Train: 0.8201 (Easy: 0.4888, Hard: 1.1462) | Val: 0.7010 (Easy: 0.4533, Hard: 0.9540) | LR: 0.001000
=> Epoch 015 | Train: 0.8117 (Easy: 0.4904, Hard: 1.1262) | Val: 0.6951 (Easy: 0.4542, Hard: 0.9427) | LR: 0.001000
=> Epoch 016 | Train: 0.7986 (Easy: 0.4898, Hard: 1.0904) | Val: 0.6868 (Easy: 0.4476, Hard: 0.9318) | LR: 0.001000
=> Epoch 017 | Train: 0.7976 (Easy: 0.4885, Hard: 1.0960) | Val: 0.6867 (Easy: 0.4500, Hard: 0.9297) | LR: 0.001000
=> Epoch 018 | Train: 0.7947 (Easy: 0.4903, Hard: 1.0897) | Val: 0.6828 (Easy: 0.4471, Hard: 0.9267) | LR: 0.001000
=> Epoch 019 | Train: 0.7900 (Easy: 0.4874, Hard: 1.0873) | Val: 0.6875 (Easy: 0.4546, Hard: 0.9261) | LR: 0.001000
=> Epoch 020 | Train: 0.7900 (Easy: 0.4895, Hard: 1.0786) | Val: 0.6815 (Easy: 0.4482, Hard: 0.9212) | LR: 0.001000
=> Epoch 021 | Train: 0.7813 (Easy: 0.4761, Hard: 1.0755) | Val: 0.6732 (Easy: 0.4439, Hard: 0.9100) | LR: 0.001000
=> Epoch 022 | Train: 0.7828 (Easy: 0.4830, Hard: 1.0732) | Val: 0.6783 (Easy: 0.4529, Hard: 0.9105) | LR: 0.001000
=> Epoch 023 | Train: 0.7614 (Easy: 0.4727, Hard: 1.0450) | Val: 0.6617 (Easy: 0.4334, Hard: 0.9039) | LR: 0.001000
=> Epoch 024 | Train: 0.7678 (Easy: 0.4711, Hard: 1.0607) | Val: 0.6651 (Easy: 0.4425, Hard: 0.8978) | LR: 0.001000
=> Epoch 025 | Train: 0.7620 (Easy: 0.4679, Hard: 1.0519) | Val: 0.6758 (Easy: 0.4483, Hard: 0.9106) | LR: 0.001000
=> Epoch 026 | Train: 0.7577 (Easy: 0.4619, Hard: 1.0482) | Val: 0.6495 (Easy: 0.4254, Hard: 0.8884) | LR: 0.001000
=> Epoch 027 | Train: 0.7682 (Easy: 0.4745, Hard: 1.0504) | Val: 0.6523 (Easy: 0.4334, Hard: 0.8868) | LR: 0.001000
=> Epoch 028 | Train: 0.7562 (Easy: 0.4733, Hard: 1.0349) | Val: 0.6653 (Easy: 0.4461, Hard: 0.8966) | LR: 0.001000
=> Epoch 029 | Train: 0.7475 (Easy: 0.4633, Hard: 1.0233) | Val: 0.6434 (Easy: 0.4266, Hard: 0.8762) | LR: 0.001000
=> Epoch 030 | Train: 0.7587 (Easy: 0.4656, Hard: 1.0510) | Val: 0.6512 (Easy: 0.4370, Hard: 0.8793) | LR: 0.001000
=> Epoch 031 | Train: 0.7394 (Easy: 0.4565, Hard: 1.0147) | Val: 0.6461 (Easy: 0.4319, Hard: 0.8734) | LR: 0.001000
=> Epoch 032 | Train: 0.7415 (Easy: 0.4640, Hard: 1.0147) | Val: 0.6453 (Easy: 0.4347, Hard: 0.8707) | LR: 0.001000
=> Epoch 033 | Train: 0.7244 (Easy: 0.4539, Hard: 0.9809) | Val: 0.6492 (Easy: 0.4406, Hard: 0.8696) | LR: 0.001000
=> Epoch 034 | Train: 0.7423 (Easy: 0.4605, Hard: 1.0232) | Val: 0.6415 (Easy: 0.4303, Hard: 0.8699) | LR: 0.001000
=> Epoch 035 | Train: 0.7427 (Easy: 0.4679, Hard: 1.0136) | Val: 0.6410 (Easy: 0.4285, Hard: 0.8690) | LR: 0.001000
=> Epoch 036 | Train: 0.7362 (Easy: 0.4522, Hard: 1.0148) | Val: 0.6409 (Easy: 0.4358, Hard: 0.8608) | LR: 0.001000
