=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'last_node']
=> Epoch 000 | Train: 1.1979 (Easy: 0.8651, Hard: 1.5140) | Val: 0.8875 (Easy: 0.5520, Hard: 1.2111) | LR: 0.001000
=> Epoch 001 | Train: 0.9949 (Easy: 0.5757, Hard: 1.4054) | Val: 0.8175 (Easy: 0.5004, Hard: 1.1320) | LR: 0.001000
=> Epoch 002 | Train: 0.9539 (Easy: 0.5631, Hard: 1.3384) | Val: 0.7742 (Easy: 0.4746, Hard: 1.0746) | LR: 0.001000
=> Epoch 003 | Train: 0.9468 (Easy: 0.5488, Hard: 1.3432) | Val: 0.7597 (Easy: 0.4689, Hard: 1.0549) | LR: 0.001000
=> Epoch 004 | Train: 0.9103 (Easy: 0.5369, Hard: 1.2734) | Val: 0.7520 (Easy: 0.4684, Hard: 1.0412) | LR: 0.001000
=> Epoch 005 | Train: 0.9118 (Easy: 0.5388, Hard: 1.2743) | Val: 0.7440 (Easy: 0.4614, Hard: 1.0352) | LR: 0.001000
=> Epoch 006 | Train: 0.9143 (Easy: 0.5317, Hard: 1.2859) | Val: 0.7440 (Easy: 0.4571, Hard: 1.0381) | LR: 0.001000
=> Epoch 007 | Train: 0.8883 (Easy: 0.5256, Hard: 1.2418) | Val: 0.7418 (Easy: 0.4569, Hard: 1.0323) | LR: 0.001000
=> Epoch 008 | Train: 0.8794 (Easy: 0.5216, Hard: 1.2270) | Val: 0.7333 (Easy: 0.4506, Hard: 1.0219) | LR: 0.001000
=> Epoch 009 | Train: 0.8758 (Easy: 0.5191, Hard: 1.2193) | Val: 0.7281 (Easy: 0.4523, Hard: 1.0106) | LR: 0.001000
=> Epoch 010 | Train: 0.8653 (Easy: 0.5139, Hard: 1.2039) | Val: 0.7286 (Easy: 0.4548, Hard: 1.0090) | LR: 0.001000
=> Epoch 011 | Train: 0.8524 (Easy: 0.5030, Hard: 1.1853) | Val: 0.7232 (Easy: 0.4475, Hard: 1.0035) | LR: 0.001000
=> Epoch 012 | Train: 0.8478 (Easy: 0.5073, Hard: 1.1768) | Val: 0.7167 (Easy: 0.4448, Hard: 0.9933) | LR: 0.001000
=> Epoch 013 | Train: 0.8520 (Easy: 0.5057, Hard: 1.1872) | Val: 0.7174 (Easy: 0.4454, Hard: 0.9931) | LR: 0.001000
=> Epoch 014 | Train: 0.8509 (Easy: 0.5087, Hard: 1.1860) | Val: 0.7155 (Easy: 0.4420, Hard: 0.9926) | LR: 0.001000
=> Epoch 015 | Train: 0.8397 (Easy: 0.4937, Hard: 1.1755) | Val: 0.7077 (Easy: 0.4448, Hard: 0.9744) | LR: 0.001000
=> Epoch 016 | Train: 0.8312 (Easy: 0.5053, Hard: 1.1347) | Val: 0.7106 (Easy: 0.4464, Hard: 0.9787) | LR: 0.001000
=> Epoch 017 | Train: 0.8320 (Easy: 0.5035, Hard: 1.1422) | Val: 0.6998 (Easy: 0.4359, Hard: 0.9663) | LR: 0.001000
=> Epoch 018 | Train: 0.8220 (Easy: 0.4954, Hard: 1.1309) | Val: 0.7021 (Easy: 0.4390, Hard: 0.9671) | LR: 0.001000
=> Epoch 019 | Train: 0.8243 (Easy: 0.5008, Hard: 1.1347) | Val: 0.6990 (Easy: 0.4378, Hard: 0.9610) | LR: 0.001000
=> Epoch 020 | Train: 0.8249 (Easy: 0.4966, Hard: 1.1366) | Val: 0.6939 (Easy: 0.4347, Hard: 0.9548) | LR: 0.001000
=> Epoch 021 | Train: 0.8150 (Easy: 0.4938, Hard: 1.1229) | Val: 0.6968 (Easy: 0.4340, Hard: 0.9618) | LR: 0.001000
=> Epoch 022 | Train: 0.8130 (Easy: 0.4959, Hard: 1.1130) | Val: 0.6938 (Easy: 0.4388, Hard: 0.9509) | LR: 0.001000
=> Epoch 023 | Train: 0.8006 (Easy: 0.4839, Hard: 1.1043) | Val: 0.6838 (Easy: 0.4310, Hard: 0.9410) | LR: 0.001000
=> Epoch 024 | Train: 0.7978 (Easy: 0.4838, Hard: 1.1007) | Val: 0.6802 (Easy: 0.4328, Hard: 0.9312) | LR: 0.001000
=> Epoch 025 | Train: 0.8009 (Easy: 0.4842, Hard: 1.1021) | Val: 0.6814 (Easy: 0.4326, Hard: 0.9329) | LR: 0.001000
=> Epoch 026 | Train: 0.7958 (Easy: 0.4826, Hard: 1.0972) | Val: 0.6777 (Easy: 0.4317, Hard: 0.9256) | LR: 0.001000
=> Epoch 027 | Train: 0.8020 (Easy: 0.4967, Hard: 1.0913) | Val: 0.6728 (Easy: 0.4309, Hard: 0.9178) | LR: 0.001000
=> Epoch 028 | Train: 0.7913 (Easy: 0.4831, Hard: 1.0903) | Val: 0.6799 (Easy: 0.4433, Hard: 0.9208) | LR: 0.001000
=> Epoch 029 | Train: 0.7854 (Easy: 0.4842, Hard: 1.0746) | Val: 0.6668 (Easy: 0.4291, Hard: 0.9110) | LR: 0.001000
=> Epoch 030 | Train: 0.7819 (Easy: 0.4803, Hard: 1.0745) | Val: 0.6681 (Easy: 0.4366, Hard: 0.9047) | LR: 0.001000
=> Epoch 031 | Train: 0.7777 (Easy: 0.4824, Hard: 1.0562) | Val: 0.6618 (Easy: 0.4285, Hard: 0.9013) | LR: 0.001000
=> Epoch 032 | Train: 0.7743 (Easy: 0.4744, Hard: 1.0640) | Val: 0.6584 (Easy: 0.4320, Hard: 0.8909) | LR: 0.001000
=> Epoch 033 | Train: 0.7596 (Easy: 0.4755, Hard: 1.0283) | Val: 0.6632 (Easy: 0.4370, Hard: 0.8942) | LR: 0.001000
=> Epoch 034 | Train: 0.7660 (Easy: 0.4676, Hard: 1.0560) | Val: 0.6574 (Easy: 0.4308, Hard: 0.8919) | LR: 0.001000
