=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_entrance', 'room_area']
=> Epoch 000 | Train: 1.1900 (Easy: 0.8573, Hard: 1.5080) | Val: 0.8843 (Easy: 0.5520, Hard: 1.2025) | LR: 0.001000
=> Epoch 001 | Train: 0.9799 (Easy: 0.5672, Hard: 1.3852) | Val: 0.8113 (Easy: 0.5047, Hard: 1.1067) | LR: 0.001000
=> Epoch 002 | Train: 0.9405 (Easy: 0.5570, Hard: 1.3207) | Val: 0.7809 (Easy: 0.4909, Hard: 1.0612) | LR: 0.001000
=> Epoch 003 | Train: 0.9302 (Easy: 0.5425, Hard: 1.3158) | Val: 0.7662 (Easy: 0.4856, Hard: 1.0399) | LR: 0.001000
=> Epoch 004 | Train: 0.8939 (Easy: 0.5327, Hard: 1.2463) | Val: 0.7637 (Easy: 0.4933, Hard: 1.0285) | LR: 0.001000
=> Epoch 005 | Train: 0.8850 (Easy: 0.5268, Hard: 1.2342) | Val: 0.7602 (Easy: 0.4862, Hard: 1.0310) | LR: 0.001000
=> Epoch 006 | Train: 0.8895 (Easy: 0.5189, Hard: 1.2473) | Val: 0.7520 (Easy: 0.4707, Hard: 1.0297) | LR: 0.001000
=> Epoch 007 | Train: 0.8637 (Easy: 0.5124, Hard: 1.2019) | Val: 0.7491 (Easy: 0.4710, Hard: 1.0221) | LR: 0.001000
=> Epoch 008 | Train: 0.8600 (Easy: 0.5093, Hard: 1.1946) | Val: 0.7431 (Easy: 0.4607, Hard: 1.0218) | LR: 0.001000
=> Epoch 009 | Train: 0.8549 (Easy: 0.5114, Hard: 1.1834) | Val: 0.7378 (Easy: 0.4662, Hard: 1.0056) | LR: 0.001000
=> Epoch 010 | Train: 0.8453 (Easy: 0.5060, Hard: 1.1700) | Val: 0.7346 (Easy: 0.4618, Hard: 1.0021) | LR: 0.001000
=> Epoch 011 | Train: 0.8316 (Easy: 0.4958, Hard: 1.1524) | Val: 0.7296 (Easy: 0.4567, Hard: 0.9956) | LR: 0.001000
=> Epoch 012 | Train: 0.8243 (Easy: 0.4946, Hard: 1.1400) | Val: 0.7205 (Easy: 0.4554, Hard: 0.9807) | LR: 0.001000
=> Epoch 013 | Train: 0.8285 (Easy: 0.4977, Hard: 1.1483) | Val: 0.7167 (Easy: 0.4541, Hard: 0.9747) | LR: 0.001000
=> Epoch 014 | Train: 0.8233 (Easy: 0.4913, Hard: 1.1471) | Val: 0.7142 (Easy: 0.4547, Hard: 0.9690) | LR: 0.001000
=> Epoch 015 | Train: 0.8161 (Easy: 0.4894, Hard: 1.1362) | Val: 0.7015 (Easy: 0.4531, Hard: 0.9476) | LR: 0.001000
=> Epoch 016 | Train: 0.8058 (Easy: 0.4888, Hard: 1.1027) | Val: 0.6988 (Easy: 0.4500, Hard: 0.9445) | LR: 0.001000
=> Epoch 017 | Train: 0.8048 (Easy: 0.4881, Hard: 1.1101) | Val: 0.7008 (Easy: 0.4504, Hard: 0.9489) | LR: 0.001000
