=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_hallway']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_hallway']
=> Epoch 000 | Train: 1.2856 (Easy: 0.9484, Hard: 1.6060) | Val: 0.9377 (Easy: 0.6064, Hard: 1.2559) | LR: 0.001000
=> Epoch 001 | Train: 1.0034 (Easy: 0.6176, Hard: 1.3733) | Val: 0.8328 (Easy: 0.5320, Hard: 1.1231) | LR: 0.001000
=> Epoch 002 | Train: 0.9531 (Easy: 0.5830, Hard: 1.3105) | Val: 0.7842 (Easy: 0.4996, Hard: 1.0594) | LR: 0.001000
=> Epoch 003 | Train: 0.9274 (Easy: 0.5575, Hard: 1.2905) | Val: 0.7639 (Easy: 0.4890, Hard: 1.0314) | LR: 0.001000
=> Epoch 004 | Train: 0.9007 (Easy: 0.5481, Hard: 1.2429) | Val: 0.7460 (Easy: 0.4758, Hard: 1.0131) | LR: 0.001000
=> Epoch 005 | Train: 0.8995 (Easy: 0.5449, Hard: 1.2521) | Val: 0.7428 (Easy: 0.4737, Hard: 1.0083) | LR: 0.001000
=> Epoch 006 | Train: 0.8958 (Easy: 0.5505, Hard: 1.2349) | Val: 0.7344 (Easy: 0.4688, Hard: 0.9986) | LR: 0.001000
=> Epoch 007 | Train: 0.8678 (Easy: 0.5256, Hard: 1.2024) | Val: 0.7291 (Easy: 0.4634, Hard: 0.9960) | LR: 0.001000
=> Epoch 008 | Train: 0.8759 (Easy: 0.5302, Hard: 1.2185) | Val: 0.7223 (Easy: 0.4621, Hard: 0.9845) | LR: 0.001000
=> Epoch 009 | Train: 0.8658 (Easy: 0.5312, Hard: 1.1978) | Val: 0.7255 (Easy: 0.4584, Hard: 0.9976) | LR: 0.001000
=> Epoch 010 | Train: 0.8643 (Easy: 0.5206, Hard: 1.2033) | Val: 0.7207 (Easy: 0.4615, Hard: 0.9827) | LR: 0.001000
=> Epoch 011 | Train: 0.8545 (Easy: 0.5103, Hard: 1.1943) | Val: 0.7094 (Easy: 0.4536, Hard: 0.9690) | LR: 0.001000
=> Epoch 012 | Train: 0.8479 (Easy: 0.5097, Hard: 1.1829) | Val: 0.7123 (Easy: 0.4550, Hard: 0.9749) | LR: 0.001000
=> Epoch 013 | Train: 0.8501 (Easy: 0.5114, Hard: 1.1854) | Val: 0.7106 (Easy: 0.4540, Hard: 0.9708) | LR: 0.001000
=> Epoch 014 | Train: 0.8387 (Easy: 0.5051, Hard: 1.1694) | Val: 0.7036 (Easy: 0.4528, Hard: 0.9595) | LR: 0.001000
=> Epoch 015 | Train: 0.8168 (Easy: 0.4924, Hard: 1.1388) | Val: 0.7077 (Easy: 0.4510, Hard: 0.9696) | LR: 0.001000
=> Epoch 016 | Train: 0.8333 (Easy: 0.5041, Hard: 1.1568) | Val: 0.7095 (Easy: 0.4554, Hard: 0.9666) | LR: 0.001000
=> Epoch 017 | Train: 0.8231 (Easy: 0.5077, Hard: 1.1374) | Val: 0.7020 (Easy: 0.4534, Hard: 0.9530) | LR: 0.001000
=> Epoch 018 | Train: 0.8295 (Easy: 0.5098, Hard: 1.1447) | Val: 0.7042 (Easy: 0.4599, Hard: 0.9473) | LR: 0.001000
=> Epoch 019 | Train: 0.8187 (Easy: 0.5013, Hard: 1.1348) | Val: 0.7079 (Easy: 0.4638, Hard: 0.9522) | LR: 0.001000
=> Epoch 020 | Train: 0.8109 (Easy: 0.5031, Hard: 1.1149) | Val: 0.6958 (Easy: 0.4541, Hard: 0.9416) | LR: 0.001000
=> Epoch 021 | Train: 0.8177 (Easy: 0.4988, Hard: 1.1354) | Val: 0.6870 (Easy: 0.4545, Hard: 0.9256) | LR: 0.001000
=> Epoch 022 | Train: 0.7940 (Easy: 0.4947, Hard: 1.0875) | Val: 0.6788 (Easy: 0.4493, Hard: 0.9153) | LR: 0.001000
