=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_outside']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_outside']
=> Epoch 000 | Train: 1.2365 (Easy: 0.9446, Hard: 1.5171) | Val: 0.9040 (Easy: 0.5633, Hard: 1.2281) | LR: 0.001000
=> Epoch 001 | Train: 0.9967 (Easy: 0.5862, Hard: 1.4002) | Val: 0.8429 (Easy: 0.5063, Hard: 1.1685) | LR: 0.001000
=> Epoch 002 | Train: 0.9635 (Easy: 0.5665, Hard: 1.3569) | Val: 0.8037 (Easy: 0.4839, Hard: 1.1181) | LR: 0.001000
=> Epoch 003 | Train: 0.9531 (Easy: 0.5641, Hard: 1.3450) | Val: 0.7794 (Easy: 0.4781, Hard: 1.0787) | LR: 0.001000
=> Epoch 004 | Train: 0.9205 (Easy: 0.5526, Hard: 1.2840) | Val: 0.7660 (Easy: 0.4699, Hard: 1.0637) | LR: 0.001000
=> Epoch 005 | Train: 0.9133 (Easy: 0.5453, Hard: 1.2805) | Val: 0.7619 (Easy: 0.4720, Hard: 1.0526) | LR: 0.001000
=> Epoch 006 | Train: 0.9065 (Easy: 0.5431, Hard: 1.2657) | Val: 0.7454 (Easy: 0.4510, Hard: 1.0432) | LR: 0.001000
=> Epoch 007 | Train: 0.8904 (Easy: 0.5257, Hard: 1.2503) | Val: 0.7536 (Easy: 0.4663, Hard: 1.0407) | LR: 0.001000
=> Epoch 008 | Train: 0.8771 (Easy: 0.5254, Hard: 1.2212) | Val: 0.7411 (Easy: 0.4610, Hard: 1.0231) | LR: 0.001000
=> Epoch 009 | Train: 0.8809 (Easy: 0.5367, Hard: 1.2178) | Val: 0.7310 (Easy: 0.4509, Hard: 1.0143) | LR: 0.001000
=> Epoch 010 | Train: 0.8689 (Easy: 0.5201, Hard: 1.2104) | Val: 0.7268 (Easy: 0.4531, Hard: 1.0015) | LR: 0.001000
=> Epoch 011 | Train: 0.8651 (Easy: 0.5172, Hard: 1.2052) | Val: 0.7207 (Easy: 0.4507, Hard: 0.9929) | LR: 0.001000
=> Epoch 012 | Train: 0.8492 (Easy: 0.5146, Hard: 1.1768) | Val: 0.7190 (Easy: 0.4475, Hard: 0.9909) | LR: 0.001000
=> Epoch 013 | Train: 0.8513 (Easy: 0.5101, Hard: 1.1857) | Val: 0.7177 (Easy: 0.4515, Hard: 0.9836) | LR: 0.001000
=> Epoch 014 | Train: 0.8467 (Easy: 0.5168, Hard: 1.1701) | Val: 0.7135 (Easy: 0.4494, Hard: 0.9771) | LR: 0.001000
=> Epoch 015 | Train: 0.8409 (Easy: 0.5095, Hard: 1.1673) | Val: 0.7050 (Easy: 0.4449, Hard: 0.9644) | LR: 0.001000
=> Epoch 016 | Train: 0.8362 (Easy: 0.5139, Hard: 1.1408) | Val: 0.7115 (Easy: 0.4501, Hard: 0.9697) | LR: 0.001000
=> Epoch 017 | Train: 0.8311 (Easy: 0.5081, Hard: 1.1515) | Val: 0.7004 (Easy: 0.4414, Hard: 0.9582) | LR: 0.001000
=> Epoch 018 | Train: 0.8347 (Easy: 0.5098, Hard: 1.1519) | Val: 0.7092 (Easy: 0.4479, Hard: 0.9673) | LR: 0.001000
=> Epoch 019 | Train: 0.8293 (Easy: 0.5068, Hard: 1.1457) | Val: 0.7102 (Easy: 0.4498, Hard: 0.9675) | LR: 0.001000
=> Epoch 020 | Train: 0.8254 (Easy: 0.5124, Hard: 1.1338) | Val: 0.6927 (Easy: 0.4402, Hard: 0.9443) | LR: 0.001000
=> Epoch 021 | Train: 0.8284 (Easy: 0.5055, Hard: 1.1415) | Val: 0.6903 (Easy: 0.4382, Hard: 0.9404) | LR: 0.001000
