=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_stair']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'is_stair']
=> Epoch 000 | Train: 1.2651 (Easy: 0.9367, Hard: 1.5775) | Val: 0.9185 (Easy: 0.5718, Hard: 1.2577) | LR: 0.001000
=> Epoch 001 | Train: 0.9931 (Easy: 0.5841, Hard: 1.3917) | Val: 0.8361 (Easy: 0.5003, Hard: 1.1710) | LR: 0.001000
=> Epoch 002 | Train: 0.9579 (Easy: 0.5711, Hard: 1.3413) | Val: 0.7986 (Easy: 0.4824, Hard: 1.1227) | LR: 0.001000
=> Epoch 003 | Train: 0.9467 (Easy: 0.5709, Hard: 1.3250) | Val: 0.7815 (Easy: 0.4734, Hard: 1.1014) | LR: 0.001000
=> Epoch 004 | Train: 0.9297 (Easy: 0.5627, Hard: 1.2969) | Val: 0.7684 (Easy: 0.4642, Hard: 1.0869) | LR: 0.001000
=> Epoch 005 | Train: 0.9244 (Easy: 0.5575, Hard: 1.2954) | Val: 0.7587 (Easy: 0.4635, Hard: 1.0656) | LR: 0.001000
=> Epoch 006 | Train: 0.9159 (Easy: 0.5528, Hard: 1.2797) | Val: 0.7523 (Easy: 0.4579, Hard: 1.0571) | LR: 0.001000
=> Epoch 007 | Train: 0.8975 (Easy: 0.5412, Hard: 1.2534) | Val: 0.7504 (Easy: 0.4599, Hard: 1.0539) | LR: 0.001000
=> Epoch 008 | Train: 0.8875 (Easy: 0.5401, Hard: 1.2369) | Val: 0.7432 (Easy: 0.4572, Hard: 1.0436) | LR: 0.001000
=> Epoch 009 | Train: 0.8894 (Easy: 0.5437, Hard: 1.2343) | Val: 0.7424 (Easy: 0.4589, Hard: 1.0378) | LR: 0.001000
=> Epoch 010 | Train: 0.8710 (Easy: 0.5286, Hard: 1.2173) | Val: 0.7389 (Easy: 0.4617, Hard: 1.0263) | LR: 0.001000
=> Epoch 011 | Train: 0.8644 (Easy: 0.5180, Hard: 1.2095) | Val: 0.7315 (Easy: 0.4622, Hard: 1.0096) | LR: 0.001000
=> Epoch 012 | Train: 0.8552 (Easy: 0.5214, Hard: 1.1877) | Val: 0.7197 (Easy: 0.4508, Hard: 0.9985) | LR: 0.001000
=> Epoch 013 | Train: 0.8560 (Easy: 0.5154, Hard: 1.1965) | Val: 0.7230 (Easy: 0.4578, Hard: 0.9941) | LR: 0.001000
=> Epoch 014 | Train: 0.8393 (Easy: 0.5113, Hard: 1.1658) | Val: 0.7197 (Easy: 0.4569, Hard: 0.9874) | LR: 0.001000
=> Epoch 015 | Train: 0.8363 (Easy: 0.5059, Hard: 1.1666) | Val: 0.7152 (Easy: 0.4565, Hard: 0.9763) | LR: 0.001000
=> Epoch 016 | Train: 0.8380 (Easy: 0.5046, Hard: 1.1595) | Val: 0.7031 (Easy: 0.4438, Hard: 0.9641) | LR: 0.001000
=> Epoch 017 | Train: 0.8321 (Easy: 0.5055, Hard: 1.1558) | Val: 0.7005 (Easy: 0.4431, Hard: 0.9590) | LR: 0.001000
=> Epoch 018 | Train: 0.8302 (Easy: 0.5069, Hard: 1.1485) | Val: 0.6988 (Easy: 0.4422, Hard: 0.9571) | LR: 0.001000
=> Epoch 019 | Train: 0.8301 (Easy: 0.5066, Hard: 1.1490) | Val: 0.6927 (Easy: 0.4404, Hard: 0.9453) | LR: 0.001000
=> Epoch 020 | Train: 0.8220 (Easy: 0.5082, Hard: 1.1337) | Val: 0.6859 (Easy: 0.4360, Hard: 0.9364) | LR: 0.001000
