=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'last_node']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'last_node']
=> Epoch 000 | Train: 1.2568 (Easy: 0.9213, Hard: 1.5742) | Val: 0.9168 (Easy: 0.5716, Hard: 1.2518) | LR: 0.001000
=> Epoch 001 | Train: 1.0056 (Easy: 0.5830, Hard: 1.4154) | Val: 0.8434 (Easy: 0.5047, Hard: 1.1837) | LR: 0.001000
=> Epoch 002 | Train: 0.9689 (Easy: 0.5669, Hard: 1.3609) | Val: 0.8002 (Easy: 0.4827, Hard: 1.1206) | LR: 0.001000
=> Epoch 003 | Train: 0.9552 (Easy: 0.5619, Hard: 1.3414) | Val: 0.7860 (Easy: 0.4765, Hard: 1.1026) | LR: 0.001000
=> Epoch 004 | Train: 0.9329 (Easy: 0.5534, Hard: 1.3022) | Val: 0.7641 (Easy: 0.4649, Hard: 1.0682) | LR: 0.001000
=> Epoch 005 | Train: 0.9270 (Easy: 0.5486, Hard: 1.3025) | Val: 0.7602 (Easy: 0.4666, Hard: 1.0627) | LR: 0.001000
=> Epoch 006 | Train: 0.9202 (Easy: 0.5530, Hard: 1.2828) | Val: 0.7436 (Easy: 0.4569, Hard: 1.0374) | LR: 0.001000
=> Epoch 007 | Train: 0.9067 (Easy: 0.5327, Hard: 1.2749) | Val: 0.7473 (Easy: 0.4609, Hard: 1.0437) | LR: 0.001000
=> Epoch 008 | Train: 0.8936 (Easy: 0.5351, Hard: 1.2494) | Val: 0.7414 (Easy: 0.4597, Hard: 1.0311) | LR: 0.001000
=> Epoch 009 | Train: 0.8908 (Easy: 0.5413, Hard: 1.2344) | Val: 0.7394 (Easy: 0.4609, Hard: 1.0249) | LR: 0.001000
=> Epoch 010 | Train: 0.8764 (Easy: 0.5257, Hard: 1.2249) | Val: 0.7367 (Easy: 0.4591, Hard: 1.0223) | LR: 0.001000
=> Epoch 011 | Train: 0.8677 (Easy: 0.5199, Hard: 1.2075) | Val: 0.7325 (Easy: 0.4581, Hard: 1.0157) | LR: 0.001000
=> Epoch 012 | Train: 0.8577 (Easy: 0.5201, Hard: 1.1937) | Val: 0.7216 (Easy: 0.4531, Hard: 0.9963) | LR: 0.001000
=> Epoch 013 | Train: 0.8636 (Easy: 0.5179, Hard: 1.2049) | Val: 0.7216 (Easy: 0.4505, Hard: 0.9988) | LR: 0.001000
=> Epoch 014 | Train: 0.8480 (Easy: 0.5104, Hard: 1.1815) | Val: 0.7229 (Easy: 0.4578, Hard: 0.9909) | LR: 0.001000
=> Epoch 015 | Train: 0.8437 (Easy: 0.5077, Hard: 1.1778) | Val: 0.7246 (Easy: 0.4694, Hard: 0.9790) | LR: 0.001000
=> Epoch 016 | Train: 0.8433 (Easy: 0.5067, Hard: 1.1677) | Val: 0.7141 (Easy: 0.4594, Hard: 0.9678) | LR: 0.001000
=> Epoch 017 | Train: 0.8389 (Easy: 0.5117, Hard: 1.1656) | Val: 0.7101 (Easy: 0.4592, Hard: 0.9602) | LR: 0.001000
=> Epoch 018 | Train: 0.8436 (Easy: 0.5075, Hard: 1.1738) | Val: 0.7320 (Easy: 0.4839, Hard: 0.9753) | LR: 0.001000
=> Epoch 019 | Train: 0.8376 (Easy: 0.5084, Hard: 1.1613) | Val: 0.7145 (Easy: 0.4791, Hard: 0.9447) | LR: 0.001000
=> Epoch 020 | Train: 0.8417 (Easy: 0.5181, Hard: 1.1595) | Val: 0.6994 (Easy: 0.4668, Hard: 0.9279) | LR: 0.001000
=> Epoch 021 | Train: 0.8291 (Easy: 0.5028, Hard: 1.1508) | Val: 0.6848 (Easy: 0.4577, Hard: 0.9096) | LR: 0.001000
=> Epoch 022 | Train: 0.8191 (Easy: 0.5058, Hard: 1.1247) | Val: 0.6973 (Easy: 0.4726, Hard: 0.9205) | LR: 0.001000
=> Epoch 023 | Train: 0.8114 (Easy: 0.4980, Hard: 1.1181) | Val: 0.6916 (Easy: 0.4694, Hard: 0.9116) | LR: 0.001000
=> Epoch 024 | Train: 0.8120 (Easy: 0.5005, Hard: 1.1190) | Val: 0.6829 (Easy: 0.4682, Hard: 0.8934) | LR: 0.001000
=> Epoch 025 | Train: 0.8212 (Easy: 0.5109, Hard: 1.1216) | Val: 0.6932 (Easy: 0.4751, Hard: 0.9062) | LR: 0.001000
=> Epoch 026 | Train: 0.8084 (Easy: 0.4974, Hard: 1.1154) | Val: 0.6788 (Easy: 0.4579, Hard: 0.9005) | LR: 0.001000
=> Epoch 027 | Train: 0.8186 (Easy: 0.5092, Hard: 1.1153) | Val: 0.6814 (Easy: 0.4701, Hard: 0.8881) | LR: 0.001000
=> Epoch 028 | Train: 0.8008 (Easy: 0.4953, Hard: 1.1006) | Val: 0.6695 (Easy: 0.4674, Hard: 0.8695) | LR: 0.001000
=> Epoch 029 | Train: 0.7918 (Easy: 0.4985, Hard: 1.0761) | Val: 0.6676 (Easy: 0.4614, Hard: 0.8757) | LR: 0.001000
=> Epoch 030 | Train: 0.7916 (Easy: 0.5013, Hard: 1.0748) | Val: 0.6648 (Easy: 0.4549, Hard: 0.8744) | LR: 0.001000
=> Epoch 031 | Train: 0.7906 (Easy: 0.5033, Hard: 1.0678) | Val: 0.6579 (Easy: 0.4500, Hard: 0.8663) | LR: 0.001000
=> Epoch 032 | Train: 0.7941 (Easy: 0.4956, Hard: 1.0863) | Val: 0.6511 (Easy: 0.4500, Hard: 0.8533) | LR: 0.001000
=> Epoch 033 | Train: 0.7776 (Easy: 0.4973, Hard: 1.0445) | Val: 0.6674 (Easy: 0.4605, Hard: 0.8763) | LR: 0.001000
