=> Trial Start: ['dir_sim', 'recency', 'has_target', 'betweenness', 'room_area']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'betweenness', 'room_area']
=> Epoch 000 | Train: 1.2524 (Easy: 0.9173, Hard: 1.5688) | Val: 0.9157 (Easy: 0.5684, Hard: 1.2516) | LR: 0.001000
=> Epoch 001 | Train: 0.9943 (Easy: 0.5755, Hard: 1.3994) | Val: 0.8418 (Easy: 0.5087, Hard: 1.1656) | LR: 0.001000
=> Epoch 002 | Train: 0.9607 (Easy: 0.5670, Hard: 1.3472) | Val: 0.8134 (Easy: 0.4885, Hard: 1.1333) | LR: 0.001000
=> Epoch 003 | Train: 0.9536 (Easy: 0.5639, Hard: 1.3407) | Val: 0.8014 (Easy: 0.4764, Hard: 1.1253) | LR: 0.001000
=> Epoch 004 | Train: 0.9360 (Easy: 0.5531, Hard: 1.3110) | Val: 0.7737 (Easy: 0.4673, Hard: 1.0781) | LR: 0.001000
=> Epoch 005 | Train: 0.9308 (Easy: 0.5484, Hard: 1.3105) | Val: 0.7741 (Easy: 0.4666, Hard: 1.0842) | LR: 0.001000
=> Epoch 006 | Train: 0.9221 (Easy: 0.5525, Hard: 1.2875) | Val: 0.7645 (Easy: 0.4581, Hard: 1.0749) | LR: 0.001000
=> Epoch 007 | Train: 0.9059 (Easy: 0.5412, Hard: 1.2640) | Val: 0.7784 (Easy: 0.4618, Hard: 1.1043) | LR: 0.001000
=> Epoch 008 | Train: 0.8963 (Easy: 0.5397, Hard: 1.2491) | Val: 0.7736 (Easy: 0.4631, Hard: 1.0906) | LR: 0.001000
=> Epoch 009 | Train: 0.9013 (Easy: 0.5470, Hard: 1.2517) | Val: 0.7713 (Easy: 0.4628, Hard: 1.0890) | LR: 0.001000
=> Epoch 010 | Train: 0.8938 (Easy: 0.5382, Hard: 1.2461) | Val: 0.7625 (Easy: 0.4601, Hard: 1.0706) | LR: 0.001000
=> Epoch 011 | Train: 0.8761 (Easy: 0.5257, Hard: 1.2159) | Val: 0.7748 (Easy: 0.4798, Hard: 1.0756) | LR: 0.001000
=> Epoch 012 | Train: 0.8721 (Easy: 0.5287, Hard: 1.2097) | Val: 0.7585 (Easy: 0.4727, Hard: 1.0483) | LR: 0.001000
=> Epoch 013 | Train: 0.8767 (Easy: 0.5278, Hard: 1.2180) | Val: 0.7659 (Easy: 0.4835, Hard: 1.0486) | LR: 0.001000
=> Epoch 014 | Train: 0.8609 (Easy: 0.5205, Hard: 1.1963) | Val: 0.7597 (Easy: 0.4877, Hard: 1.0273) | LR: 0.001000
=> Epoch 015 | Train: 0.8554 (Easy: 0.5199, Hard: 1.1900) | Val: 0.7518 (Easy: 0.4746, Hard: 1.0244) | LR: 0.001000
