=> Trial Start: ['dir_sim', 'recency', 'has_target', 'closeness']

=> Split: 0 | Features: ['dir_sim', 'recency', 'has_target', 'closeness']
=> Epoch 000 | Train: 1.3294 (Easy: 0.9922, Hard: 1.6491) | Val: 0.9454 (Easy: 0.5918, Hard: 1.2917) | LR: 0.001000
=> Epoch 001 | Train: 1.0346 (Easy: 0.6059, Hard: 1.4471) | Val: 0.8541 (Easy: 0.5237, Hard: 1.1834) | LR: 0.001000
=> Epoch 002 | Train: 0.9827 (Easy: 0.5775, Hard: 1.3709) | Val: 0.8123 (Easy: 0.5061, Hard: 1.1212) | LR: 0.001000
=> Epoch 003 | Train: 0.9611 (Easy: 0.5710, Hard: 1.3366) | Val: 0.7883 (Easy: 0.4971, Hard: 1.0851) | LR: 0.001000
=> Epoch 004 | Train: 0.9407 (Easy: 0.5597, Hard: 1.3059) | Val: 0.7704 (Easy: 0.4789, Hard: 1.0697) | LR: 0.001000
=> Epoch 005 | Train: 0.9302 (Easy: 0.5521, Hard: 1.2992) | Val: 0.7654 (Easy: 0.4876, Hard: 1.0495) | LR: 0.001000
=> Epoch 006 | Train: 0.9248 (Easy: 0.5571, Hard: 1.2825) | Val: 0.7561 (Easy: 0.4770, Hard: 1.0425) | LR: 0.001000
=> Epoch 007 | Train: 0.9087 (Easy: 0.5443, Hard: 1.2650) | Val: 0.7495 (Easy: 0.4747, Hard: 1.0301) | LR: 0.001000
=> Epoch 008 | Train: 0.9059 (Easy: 0.5414, Hard: 1.2645) | Val: 0.7598 (Easy: 0.4845, Hard: 1.0423) | LR: 0.001000
=> Epoch 009 | Train: 0.8926 (Easy: 0.5453, Hard: 1.2343) | Val: 0.7585 (Easy: 0.4824, Hard: 1.0397) | LR: 0.001000
=> Epoch 010 | Train: 0.8873 (Easy: 0.5322, Hard: 1.2376) | Val: 0.7487 (Easy: 0.4787, Hard: 1.0265) | LR: 0.001000
=> Epoch 011 | Train: 0.8669 (Easy: 0.5219, Hard: 1.2086) | Val: 0.7243 (Easy: 0.4570, Hard: 0.9984) | LR: 0.001000
=> Epoch 012 | Train: 0.8741 (Easy: 0.5215, Hard: 1.2236) | Val: 0.7386 (Easy: 0.4789, Hard: 1.0030) | LR: 0.001000
=> Epoch 013 | Train: 0.8708 (Easy: 0.5251, Hard: 1.2116) | Val: 0.7273 (Easy: 0.4718, Hard: 0.9824) | LR: 0.001000
=> Epoch 014 | Train: 0.8574 (Easy: 0.5193, Hard: 1.1948) | Val: 0.7222 (Easy: 0.4677, Hard: 0.9784) | LR: 0.001000
=> Epoch 015 | Train: 0.8443 (Easy: 0.5079, Hard: 1.1799) | Val: 0.7312 (Easy: 0.4917, Hard: 0.9675) | LR: 0.001000
=> Epoch 016 | Train: 0.8459 (Easy: 0.5168, Hard: 1.1656) | Val: 0.7098 (Easy: 0.4616, Hard: 0.9567) | LR: 0.001000
=> Epoch 017 | Train: 0.8392 (Easy: 0.5106, Hard: 1.1655) | Val: 0.7068 (Easy: 0.4706, Hard: 0.9389) | LR: 0.001000
=> Epoch 018 | Train: 0.8312 (Easy: 0.5074, Hard: 1.1531) | Val: 0.7227 (Easy: 0.4870, Hard: 0.9540) | LR: 0.001000
=> Epoch 019 | Train: 0.8288 (Easy: 0.5115, Hard: 1.1413) | Val: 0.7076 (Easy: 0.4867, Hard: 0.9223) | LR: 0.001000
=> Epoch 020 | Train: 0.8280 (Easy: 0.5153, Hard: 1.1413) | Val: 0.6910 (Easy: 0.4725, Hard: 0.9043) | LR: 0.001000
=> Epoch 021 | Train: 0.8180 (Easy: 0.5068, Hard: 1.1260) | Val: 0.6774 (Easy: 0.4643, Hard: 0.8856) | LR: 0.001000
=> Epoch 022 | Train: 0.8116 (Easy: 0.5072, Hard: 1.1141) | Val: 0.6824 (Easy: 0.4733, Hard: 0.8825) | LR: 0.001000
=> Epoch 023 | Train: 0.8080 (Easy: 0.5047, Hard: 1.1180) | Val: 0.6949 (Easy: 0.4863, Hard: 0.8989) | LR: 0.001000
=> Epoch 024 | Train: 0.8160 (Easy: 0.5075, Hard: 1.1278) | Val: 0.6835 (Easy: 0.4791, Hard: 0.8778) | LR: 0.001000
=> Epoch 025 | Train: 0.7970 (Easy: 0.5087, Hard: 1.0817) | Val: 0.6890 (Easy: 0.4840, Hard: 0.8860) | LR: 0.001000
=> Epoch 026 | Train: 0.7970 (Easy: 0.5120, Hard: 1.0890) | Val: 0.6734 (Easy: 0.4739, Hard: 0.8694) | LR: 0.001000
=> Epoch 027 | Train: 0.8036 (Easy: 0.5016, Hard: 1.0961) | Val: 0.6666 (Easy: 0.4667, Hard: 0.8594) | LR: 0.001000
=> Epoch 028 | Train: 0.7894 (Easy: 0.4965, Hard: 1.0865) | Val: 0.6769 (Easy: 0.4909, Hard: 0.8546) | LR: 0.001000
=> Epoch 029 | Train: 0.7898 (Easy: 0.4965, Hard: 1.0831) | Val: 0.6738 (Easy: 0.4845, Hard: 0.8569) | LR: 0.001000
=> Epoch 030 | Train: 0.7813 (Easy: 0.4972, Hard: 1.0670) | Val: 0.6657 (Easy: 0.4722, Hard: 0.8524) | LR: 0.001000
=> Epoch 031 | Train: 0.7757 (Easy: 0.5078, Hard: 1.0432) | Val: 0.6530 (Easy: 0.4648, Hard: 0.8375) | LR: 0.001000
=> Epoch 032 | Train: 0.7697 (Easy: 0.4911, Hard: 1.0545) | Val: 0.6565 (Easy: 0.4689, Hard: 0.8400) | LR: 0.001000
=> Epoch 033 | Train: 0.7741 (Easy: 0.5045, Hard: 1.0418) | Val: 0.6526 (Easy: 0.4613, Hard: 0.8445) | LR: 0.001000
=> Epoch 034 | Train: 0.7773 (Easy: 0.4940, Hard: 1.0627) | Val: 0.6434 (Easy: 0.4555, Hard: 0.8288) | LR: 0.001000
=> Epoch 035 | Train: 0.7756 (Easy: 0.4993, Hard: 1.0527) | Val: 0.6405 (Easy: 0.4562, Hard: 0.8226) | LR: 0.001000
=> Epoch 036 | Train: 0.7839 (Easy: 0.4942, Hard: 1.0782) | Val: 0.6456 (Easy: 0.4670, Hard: 0.8152) | LR: 0.001000
=> Epoch 037 | Train: 0.7630 (Easy: 0.4908, Hard: 1.0329) | Val: 0.6434 (Easy: 0.4569, Hard: 0.8321) | LR: 0.001000
=> Epoch 038 | Train: 0.7677 (Easy: 0.4938, Hard: 1.0440) | Val: 0.6396 (Easy: 0.4524, Hard: 0.8282) | LR: 0.001000
=> Epoch 039 | Train: 0.7699 (Easy: 0.5052, Hard: 1.0314) | Val: 0.6341 (Easy: 0.4529, Hard: 0.8091) | LR: 0.001000
=> Epoch 040 | Train: 0.7625 (Easy: 0.4862, Hard: 1.0347) | Val: 0.6315 (Easy: 0.4452, Hard: 0.8173) | LR: 0.001000
=> Epoch 041 | Train: 0.7503 (Easy: 0.4871, Hard: 1.0069) | Val: 0.6252 (Easy: 0.4433, Hard: 0.8056) | LR: 0.001000
=> Epoch 042 | Train: 0.7550 (Easy: 0.4835, Hard: 1.0172) | Val: 0.6295 (Easy: 0.4429, Hard: 0.8119) | LR: 0.001000
=> Epoch 043 | Train: 0.7557 (Easy: 0.4809, Hard: 1.0299) | Val: 0.6344 (Easy: 0.4574, Hard: 0.8081) | LR: 0.001000
=> Epoch 044 | Train: 0.7634 (Easy: 0.4945, Hard: 1.0293) | Val: 0.6269 (Easy: 0.4463, Hard: 0.8034) | LR: 0.001000
=> Epoch 045 | Train: 0.7501 (Easy: 0.4752, Hard: 1.0233) | Val: 0.6231 (Easy: 0.4400, Hard: 0.8038) | LR: 0.001000
=> Epoch 046 | Train: 0.7440 (Easy: 0.4762, Hard: 1.0094) | Val: 0.6212 (Easy: 0.4408, Hard: 0.7983) | LR: 0.001000
=> Epoch 047 | Train: 0.7515 (Easy: 0.4832, Hard: 1.0150) | Val: 0.6200 (Easy: 0.4364, Hard: 0.8030) | LR: 0.001000
=> Epoch 048 | Train: 0.7433 (Easy: 0.4781, Hard: 1.0077) | Val: 0.6204 (Easy: 0.4439, Hard: 0.7963) | LR: 0.001000
=> Epoch 049 | Train: 0.7424 (Easy: 0.4756, Hard: 1.0023) | Val: 0.6191 (Easy: 0.4413, Hard: 0.7945) | LR: 0.001000
